source_row,code,species,sex,catalogue_number,body_weight_g,brain_weight_fresh_g,brain_material,staining,section_thickness_um,plane_of_sectioning,distance_between_sections,collection_group
93,,Papio spec?,---,P 2,---,---,both hem 1 both hem 2 brain stem,Cresylviolet Gallyas Myelin Cresylviolet Gallyas Myelin Cresylviolet Gallyas Myelin,20 20 20,coronal coronal coronal,20 20 20 20 20 20,Simier
94,3468,Cercopithecus sp?,m,Cer,4.5,---,whole brain,Cresylviolet unstained,20,coronal,10,Simier
95,,Cercopithecus sp?,---,L,---,---,whole brain,Cresylviolet Gallyas Myelin unstained,20,coronal,10 10,Simier
96,,Cercopithecus sp?,---,Li,---,---,right brain,Cresylviolet Gallyas Myelin,20,sagittal,20 20,Simier
97,,Cercopithecus sp?,---,S,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,20 20,Simier
98,3471,Erythrocebus patas,m,1545,---,---,whole brain,Cresylviolet Gallyas Myelin,20 20,coronal coronal,10 10,Simier
99,3539,Hylobates lar,m,1547,---,---,whole brain,Cresylviolet Gallyas Myelin,20,coronal,10 10,Simier
100,,Hylobates lar,f,YN 81/146,3980,92,whole brain,Merker Cell body,20,coronal,10,Simier
101,,Hylobates lar,,3/97,,,whole brain,Merker Cell body Heidenhain-Woelcke Myelin,20,coronal,10 10,Simier
102,3544,Hylobates spec?,---,2436,---,---,le hem right hem,Merker Cell body Gallyas Myelin Merker Cell body Gallyas Myelin,20 20,sagittal coronal,10 10 10 10,Simier
103,3545,Pongo pygmaeus,---,O I,---,---,right hem,Merker Cell body Gallyas Myelin,20,coronal,10 10,Simier
104,,Pongo pygmaeus,---,0 II a,---,---,?,Cresylviolet Merker Cell body Gallyas Myelin,20,coronal,6 6 6,Simier
105,,Pongo pygmaeus,---,0 II b,---,---,?,Cresylviolet Merker Cell body Gallyas Myelin,20,coronal,6 6 6,Simier
106,,Pongo pygmaeus,---,0 II c,---,---,?,Cresylviolet Merker Cell body Gallyas Myelin,20,coronal,6 6 6,Simier
107,,Pongo pygmaeus,f,O 475,,,whole brain,MerkerCell body Cresylviolet,20,coronal,20 40,Simier
108,,Pongo pygmaeus,f,O 459,---,---,le hem,Cresylviolet,20,coronal,20,Simier
109,,Pongo pymaeus,m,YN85-38,58200,369,whole brain,Merker Cell body,20,coronal,15,Simier
110,,Pongo pymaeus,m,2/97,114000,440,whole brain,Merker Cell body Heidenhain-Woelcke Myelin,20,coronal,10 10,Simier
111,,Pongo pygmaeus,---,5/97,---,---,whole brain,Merker Cell body Heidenhain-Woelcke Myelin,20,coronal,10 10,Simier
112,,Pan troglodytes,m,5/73,---,---,le hem,Cresylviolet Heidenhain-Woelcke Myelin,20,coronal,10 10,Simier
113,,Pan troglodytes,---,1548,---,---,whole brain,Cresylviolet Merker Cell body Gallyas Myelin,20,coronal,20 10 20,Simier
114,,Pan troglodytes,m,YN89-278,53000,420,whole brain,Merker Cell body,20,coronal,15,Simier
115,,Pan troglodytes,,4/97,,,whole brain,Merker Cell body Heidenhain-Woelcke Myelin,20,coronal,10 10,Simier
116,3547,Pan paniscus,f,YN86-137,10360,392,whole brain,Merker Cell body,20,coronal,15,Simier
117,,Pan paniscus,---,Pan1,---,---,right+le hem brain stem,Merker Cell body Gallyas Myelin Merker Cell body Gallyas Myelin,20 20,coronal coronal,10 10 10 10,Simier
118,,Pan paniscus,,1/97,,440,whole brain,Merker Cell body Heidenhain-Woelcke Myelin,20,coronal,10 10,Simier
119,3551,Gorilla gorilla,f,YN82-140,84700,376,whole brain,Merker Cell body,20,coronal,15,Simier
