source_row,species,sex,catalogue_number,body_weight_g,brain_weight_fresh_mg,plane_of_sectioning,section_thickness_um,staining,distance_between_sections,collection_group
1,Solenodon paradoxus,F,1087,674,5000,coronal,15,Gallocyanin Heidenhain-Woelke,8 16,Insectivora
2,Solenodon paradoxus,F,1088,426,4570,sagittal,10,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
3,Solenodon paradoxus,M,1089,640,4450,coronal,15,Cresylviolet Heidenhain-Woelke,10 20,Insectivora
4,Solenodon paradoxus,F,1273,682,4850,coronal,20,Cresylviolet Heidenhain-Woelke,6 12,Insectivora
5,Solenodon paradoxus,F,1276,,4590,sagittal,20,Cresylviolet,10,Insectivora
6,Tenrec ecaudatus,M,M 96,915,2660,coronal,20,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
7,Tenrec ecaudatus,F,M 101,465,2320,sagittal,15,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
8,Tenrec ecaudatus,M,M 152,1010,3080,coronal,20,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
9,Tenrec ecaudatus,M,1003,366,2240,horizontal,20,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
10,Tenrec ecaudatus,M,1004,691,2460,sagittal,10,Cresylviolet Heidenhain-Woelke,10 20,Insectivora
11,Tenrec ecaudatus,F,1005,761,2370,coronal,10,Cresylviolet Heidenhain-Woelke,7 14,Insectivora
12,Tenrec ecaudatus,M,1015,176,1800,coronal,10,Cresylviolet Heidenhain-Woelke,10 20,Insectivora
13,Setifer setosus,F,M 6,192,1400,coronal,20,Hematoxylin Heidenhain-Woelke,4 8,Insectivora
14,Setifer setosus,F,M 37,303,1570,horizontal,20,Gallocyanin,5,Insectivora
15,Setifer setosus,M,931,190,1320,coronal,10,Cresylviolet Thionin Heidenhain-Woelcke,5 5 5,Insectivora
16,Setifer setosus,M,932,185,1530,coronal,10,Cresylviolet Heidenhain-Woelke,5 5,Insectivora
17,Setifer setosus,M,958,212,1430,sagittal,15,Cresylviolet Heidenhain-Woelke Palmgren,10 incomplete incomplete,Insectivora
18,Setifer setosus,M,959,162,1470,sagittal,10,Cresylviolet Heidenhain-Woelke Gomori Palmgren Goldner Perdrau,10 20 incomplete incomplete incomplete incomplete,Insectivora
19,Setifer setosus,M,1010,24.7,50,coronal,10,Cresylviolet,5,Insectivora
20,Setifer setosus,F,1012,309,1460,coronal,10,Cresylviolet Heidenhain-Woelke,8 16,Insectivora
21,Setifer setosus,F,1013,172,1260,horizontal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
22,Hemicentetes semispinosus,F,M 46,120,840,coronal,20,Gallocyanin,3,Insectivora
23,Hemicentetes semispinosus,F,M 47,104.9,830,coronal,10,Cresylviolet Heidenhain-Woelke,6 12,Insectivora
24,Hemicentetes semispinosus,F,M 156,123.5,860,coronal,10,Cresylviolet Heidenhain-Woelke,6 12,Insectivora
25,Hemicentetes semispinosus,M,M 157,116.4,890,sagittal,10,Cresylviolet Heidenhain-Woelke,6 12,Insectivora
26,Echinops telfairi,F,1048,80.7,650,coronal,10,Cresylviolet Hematoxylin,6 12,Insectivora
27,Echinops telfairi,M,1049,57.1,570,horizontal,20,Cresylviolet,4,Insectivora
28,Echinops telfairi,F,1050,120,730,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
29,Echinops telfairi,M,1055,76,550,sagittal,20,Cresylviolet Heidenhain-Woelke,2 4,Insectivora
30,Echinops telfairi,F,1056,107.5,620,sagittal,10,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
31,Echinops telfairi,M,1057,84,620,coronal,10,Cresylviolet Heidenhain-Woelke,6 12,Insectivora
32,Oryzorictes talpoides,F,M 34,44.2,580,coronal,10,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
33,Microgale cowani,F,M 180,15.2,420,coronal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
34,Microgale dobsoni,M,M 60,35.3,550,coronal,10,Cresylviolet,5,Insectivora
35,Microgale dobsoni,F,M 64,29.4,560,sagittal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
36,Microgale dobsoni,M,M 65,31,560,coronal,15,Cresylviolet Heidenhain-Woelke,5 5,Insectivora
37,Microgale talazaci,M,M 11,47.5,790,coronal,10,Cresylviolet,6,Insectivora
38,Microgale talazaci,F,M 15,53.4,830,sagittal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
39,Microgale talazaci,M,M 17,53.5,810,sagittal,10,Cresylviolet Heidenhain- Woelke,4 8,Insectivora
40,Microgale talazaci,F,M 32,62.3,910,coronal,20,Gallocyanin,4,Insectivora
41,Microgale talazaci,F,M 132,56.9,780,coronal,10,Cresylviolet,5,Insectivora
42,Limnogale mergulus,U,1047,92,1150,coronal,10,Cresylviolet Heidenhain-Woelke,7 14,Insectivora
43,Limnogale mergulus,M,1065,80,,sagittal,10,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
44,Limnogale mergulus,F,1067,99,,coronal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
45,Potamogale velox,M,A 240,780,4700,coronal,20,Cresylviolet Heidenhain-Woelke,5 5,Insectivora
46,Potamogale velox,M,A 339,,,coronal,20,Cresylviolet Heidenhain-Woelke,3 incomplete,Insectivora
47,Potamogale velox,M,A 345,743,4500,horizontal,20,Cresylviolet Heidenhain-Woelke,2 4,Insectivora
48,Potamogale velox,M,A 357,668,4100,sagittal,10,Cresylviolet Heidenhain-Woelke Gomori Perdrau Palmgren,10 10 incomplete incomplete incomplete,Insectivora
49,Potamogale velox,F,A 365,592,3820,sagittal,10,Cresylviolet Heidenhain-Woelke Gomori Perdrau Azan Rogers,10 incomplete incomplete incomplete incomplete incomplete,Insectivora
50,Potamogale velox,M,A 367,517,3700,coronal,10,Cresylviolet,"5, 10",Insectivora
51,Potamogale velox,F,3661,640,3931,coronal,20,Cresylviolet,5,Insectivora
52,Potamogale velox,F,3662,578,4056,coronal,20,Gallocyanin,5,Insectivora
53,Potamogale velox,M,3665,595,4029,coronal,20,Cresylviolet,5,Insectivora
54,Micropotamogale lamottei,F,1728,67.3,630,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
55,Micropotamogale ruwenzorii,M,3666,117.3,1237,coronal,20,Cresylviolet,4,Insectivora
56,Micropotamogale ruwenzorii,F,3667,102.8,1221,coronal,20,Cresylviolet,4,Insectivora
57,Micropotamogale ruwenzorii,F,3668,87.7,1014,coronal,20,Cresylviolet,4,Insectivora
58,Micropotamogale ruwenzorii,M,3669,86,1063,coronal,20,Gallocyanin,3,Insectivora
59,Chrysochloris asiatica,M,973,49,700,coronal,10,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
60,Chrysochloris stuhlmanni,M,A 195,43,820,sagittal,10,Cresylviolet Heidenhain-Woelke Azan Perdrau Gomori Palmgren,10 incomplete incomplete incomplete incomplete incomplete,Insectivora
61,Chrysochloris stuhlmanni,F,A 205,32.5,720,coronal,10,Cresylviolet,4,Insectivora
62,Chrysochloris stuhlmanni,M,A 206,47,750,coronal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
63,Chrysochloris stuhlmanni,M,A 207,40.5,800,sagittal,10,Cresylviolet Gomori Perdrau Azan Heidenhain-Woelke Bodian,10 incomplete incomplete incomplete incomplete incomplete,Insectivora
64,Chrysochloris stuhlmanni,M,A 210,50.5,800,horizontal,10,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
65,Chrysochloris stuhlmanni,F,A 211,35,680,coronal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
66,Chlorotalpa leucorhina,F,1042,60,520,coronal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
67,Echinosorex gymnurus,F,4415,408,4458,coronal,20,Gallocyanin,5,Insectivora
68,Echinosorex gymnurus,M,4819,750,5956,coronal,20,Gallocyanin,7,Insectivora
69,Echinosorex gymnurus,M,4820,895,6460,coronal,20,Gallocyanin,7,Insectivora
70,Echinosorex gymnurus,M,4821,630,5766,sagittal,20,Gallocyanin Heidenhain-Woelke Myelin Gallyas,20 incomplete incomlpete,Insectivora
71,Hylomys suillus,M,4822,57,1200,coronal,20,Gallocyanin,4,Insectivora
72,Aethechinus algirus,F,1191,574,3230,sagittal,20,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
73,Aethechinus algirus,M,1192,810,3380,coronal,20,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
74,Aethechinus algirus,M,1193,472,3040,coronal,20,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
75,Aethechinus algirus,M,1402,785,3210,coronal,20,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
76,Aethechinus algirus,F,1404,779,3160,sagittal,20,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
77,Aethechinus algirus,M,4988,780,2745,"sagittal, horizontal",20,Gallocyanin Myelin Gallyas Heidenhain-Woelke,"8, 12 incomplete incomplete",Insectivora
78,Aethechinus algirus,F,4989,730,2629,coronal,20,Gallocyanin,10,Insectivora
79,Aethechinus algirus,M,4990,730,2939,coronal,20,Gallocyanin,10,Insectivora
80,Erinaceus europaeus,M,320,,2730,coronal,20,Cresylviolet,3,Insectivora
81,Erinaceus europaeus,U,427,,,coronal,20,Cresylviolet,3,Insectivora
82,Erinaceus europaeus,U,428,,,coronal,20,Cresylviolet Heidenhain-Woelke Gomori,3 6,Insectivora
83,Erinaceus europaeus,M,518,864,3220,sagittal,"10, 20",Cresylviolet Azan Gomori Bodian Heidenhain-Woelke Hematoxylin,10 incomplete incomplete incomplete 10 incomplete,Insectivora
84,Erinaceus europaeus,M,519,740,3310,coronal,10,Cresylviolet,10,Insectivora
85,Erinaceus europaeus,F,922,890,,coronal,10,Cresylviolet,8,Insectivora
86,Erinaceus europaeus,F,927,946,3500,horizontal,10,Cresylviolet,4,Insectivora
87,Erinaceus europaeus,M,939,1190,3520,coronal,10,Cresylviolet Heidenhain-Woelke,6 12,Insectivora
88,Erinaceus europaeus,M,1070,730,3120,coronal,20,Cresylviolet Heidenhain-Woelke,6 12,Insectivora
89,Erinaceus europaeus,M,1071,775,3040,horizontal,20,Cresylviolet Heidenhain-Woelke,2 4,Insectivora
90,Hemiechinus auritus,M,1377,222,1920,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
91,Hemiechinus auritus,M,1379,216,1990,sagittal,20,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
92,Hemiechinus auritus,M,1380,191,1980,sagittal,20,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
93,Hemiechinus auritus,M,1381,218,1910,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
94,Hemiechinus auritus,M,1382,193.5,1670,sagittal,20,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
95,Hemiechinus auritus,M,1401,370,2040,sagittal,20,Cresylviolet Heidenhain-Woelke,2 4,Insectivora
96,Sorex alpinus,F,3603,7.7,258,coronal,"10, 20",Cresylviolet,2,Insectivora
97,Sorex alpinus,M,3604,8.1,266,coronal,20,Cresylviolet,2,Insectivora
98,Sorex alpinus,M,3606,12.6,246,sagittal,"10, 20",Gallocyanin Heidenhain-Woelke Myelin Gallyas,18 incomplete incomplete,Insectivora
99,Sorex alpinus,M,3608,12.4,249,coronal,10,Cresylviolet,4,Insectivora
100,Sorex araneus,M,345,7.5,,coronal,20,Cresylviolet,complete,Insectivora
101,Sorex araneus,U,346,7,,coronal,20,Cresylviolet,complete,Insectivora
102,Sorex araneus,F,353,7,,coronal,20,Cresylviolet,complete,Insectivora
103,Sorex araneus,M,460,6,210,coronal,20,Cresylviolet,complete,Insectivora
104,Sorex araneus,M,461,6.5,210,coronal,20,Cresylviolet,complete,Insectivora
105,Sorex araneus,F,462,6,190,coronal,20,Cresylviolet,complete,Insectivora
106,Sorex araneus,M,463,6,190,coronal,20,Cresylviolet,complete,Insectivora
107,Sorex araneus,F,506,9.460000000000001,200,sagittal,10,Gomori Cresylviolet Perdrau Azan Hematoxylin Bodian,20 incomplete incomplete incomplete incomplete incomplete,Insectivora
108,Sorex araneus,M,513,11.6,200,sagittal,10,Gomori,incomplete,Insectivora
109,Sorex araneus,F,947,8.74,220,coronal,10,Cresylviolet Heidenhain-Woelke,2 4,Insectivora
110,Sorex araneus,M,951,6.6,220,horizontal,10,Cresylviolet,5,Insectivora
111,Sorex araneus,M,966,9.98,200,sagittal,10,Cresylviolet Heidenhain- Woelke,20 incomplete,Insectivora
112,Sorex araneus,M,967,10.59,190,horizontal,10,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
113,Sorex cinereus,F,3058,4,173,coronal,10,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
