Organism,Genus,Species,Common name,VA,MT,SUBSTRATE,METHOD DETAILS,SECONDARY SOURCE,PRIMARY SOURCE 1,PRIMARY SOURCE 2,SPECIES IN PRIMARY REFERENCE,NOTE,PROCEDURE NOTE
Felis catus,Felis,catus,Domestic cat ,8.85,B,,,Veilleaux and Kirk 2014,22,,,,
Galago senegalensis,Galago,senegalensis,Northern lesser galago,6.70,B,,,Veilleaux and Kirk 2014,88,,,,
Geomys bursarius,Geomys,bursarius,pocket gopher ,1.7,A,,ganglion cell density,Heffner and Heffner 1992,Heffner and Heffner 1992,,,From Heffner spreadsheet,
Giraffa camelopardalis,Giraffa,camelopardalis,Giraffe,25.46,A,,,Veilleaux and Kirk 2014,14,,,,
Heterocephalus glaber,Heterocephalus,glaber,Naked mole-rat ,0.44,A,,,Veilleaux and Kirk 2014,99,,,,
Homo sapiens,Homo,sapiens,Human,64.00,B,,,Veilleaux and Kirk 2014,"Pettigrew et al., 1998",,,,
Hydrochoerus hydrochaeris,Hydrochoerus,hydrochaeris,Capybara,5.80,A,,,Veilleaux and Kirk 2014,95,,,,
Inia geoffrensis,Inia,geoffrensis,Amazon dolphin (boutos) ,0.60,A,air,,Kirk and Kay 2004,"Mass and Supin, 1989, 1999",,,Not included in Veilleaux and Kirk 2014,
Inia geoffrensis,Inia,geoffrensis,Amazon dolphin (boutos) ,0.80,A,water,,Kirk and Kay 2004,"Mass and Supin, 1989, 1999",,,Not included in Veilleaux and Kirk 2014,
Lagenorhynchus obliquidens,Lagenorhynchus,obliquidens,Pacific white-sided dolphin ,5.00,B,,,Kirk and Kay 2004,"Spong and White, 1971",,,Not included in Veilleaux and Kirk 2014,
Lemmus lemmus,Lemmus,lemmus,Norway lemming,0.83,B,,,Veilleaux and Kirk 2014,101,,,,
Lemur catta,Lemur,catta,Ring-tailed lemur ,6.70,B,,,Veilleaux and Kirk 2014,90,,,,
Loxodonta africana,Loxodonta,africana,African elephant ,13.16,A,,,Veilleaux and Kirk 2014,94,,,,
Lynx lynx,Lynx,lynx,Eurasian lynx,8.00,,,,Veilleaux and Kirk 2014,25,,,,
Macaca fascicularis,Macaca,fascicularis,Crab-eating macaque ,46.00,B,,,Veilleaux and Kirk 2014,"De Valois, Morgan and Snodderly, 1974",,,,
Macaca mulatta,Macaca,mulatta,Rhesus macaque ,53.60,B,,,Veilleaux and Kirk 2014,83,84,,,
Macaca nemestrina,Macaca,nemestrina,Pig-tailed macaque ,46.00,B,,,Veilleaux and Kirk 2014,"De Valois, Morgan and Snodderly, 1974",,,,
