Species,measure_class,Measure,Units,Value,Value_median,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,value_min,value_max
Ailurus fulgens,cerebellar_folding,Cerebellar_section_area,mm2,157.28422358318,157.28422358318,1,1,1,TRUE,Heuer2023,primary,157.28422358318,157.28422358318
Ailurus fulgens,cerebellar_folding,Cerebellar_section_length,mm,251.5177455954,251.5177455954,1,1,1,TRUE,Heuer2023,primary,251.5177455954,251.5177455954
Ailurus fulgens,cerebellar_folding,Cerebral_section_area,mm2,396.8752479568,396.8752479568,1,1,1,TRUE,Heuer2023,primary,396.8752479568,396.8752479568
Ailurus fulgens,cerebellar_folding,Cerebral_section_length,mm,164.7050676422,164.7050676422,1,1,1,TRUE,Heuer2023,primary,164.7050676422,164.7050676422
Ailurus fulgens,cerebellar_folding,Folial_perimeter_median,mm,2.35322062747,2.35322062747,1,1,1,TRUE,Heuer2023,primary,2.35322062747,2.35322062747
Ailurus fulgens,cerebellar_folding,Folial_width_median,mm,0.865360712138,0.865360712138,1,1,1,TRUE,Heuer2023,primary,0.865360712138,0.865360712138
Ailurus fulgens,cerebellar_folding,Molecular_layer_thickness_median,mm,0.211721,0.211721,1,1,1,TRUE,Heuer2023,primary,0.211721,0.211721
Alouatta palliata,cerebellar_folding,Cerebellar_section_area,mm2,182.35020784984,182.35020784984,1,1,1,TRUE,Heuer2023,primary,182.35020784984,182.35020784984
Alouatta palliata,cerebellar_folding,Cerebellar_section_length,mm,231.3379706354,231.3379706354,1,1,1,TRUE,Heuer2023,primary,231.3379706354,231.3379706354
Alouatta palliata,cerebellar_folding,Cerebral_section_area,mm2,606.9332948107,606.9332948107,1,1,1,TRUE,Heuer2023,primary,606.9332948107,606.9332948107
Alouatta palliata,cerebellar_folding,Cerebral_section_length,mm,229.1880648625,229.1880648625,1,1,1,TRUE,Heuer2023,primary,229.1880648625,229.1880648625
Alouatta palliata,cerebellar_folding,Folial_perimeter_median,mm,5.36663328513,5.36663328513,1,1,1,TRUE,Heuer2023,primary,5.36663328513,5.36663328513
Alouatta palliata,cerebellar_folding,Folial_width_median,mm,1.499532400145,1.499532400145,1,1,1,TRUE,Heuer2023,primary,1.499532400145,1.499532400145
Alouatta palliata,cerebellar_folding,Molecular_layer_thickness_median,mm,0.244158,0.244158,1,1,1,TRUE,Heuer2023,primary,0.244158,0.244158
Aotus trivirgatus,cerebellar_folding,Cerebellar_section_area,mm2,114.89076445908,114.89076445908,1,1,1,TRUE,Heuer2023,primary,114.89076445908,114.89076445908
Aotus trivirgatus,cerebellar_folding,Cerebellar_section_length,mm,170.5011941224,170.5011941224,1,1,1,TRUE,Heuer2023,primary,170.5011941224,170.5011941224
Aotus trivirgatus,cerebellar_folding,Cerebral_section_area,mm2,439.5293452311,439.5293452311,1,1,1,TRUE,Heuer2023,primary,439.5293452311,439.5293452311
Aotus trivirgatus,cerebellar_folding,Cerebral_section_length,mm,141.6035217178,141.6035217178,1,1,1,TRUE,Heuer2023,primary,141.6035217178,141.6035217178
Aotus trivirgatus,cerebellar_folding,Folial_perimeter_median,mm,5.27315773218,5.27315773218,1,1,1,TRUE,Heuer2023,primary,5.27315773218,5.27315773218
Aotus trivirgatus,cerebellar_folding,Folial_width_median,mm,1.460221478958,1.460221478958,1,1,1,TRUE,Heuer2023,primary,1.460221478958,1.460221478958
Aotus trivirgatus,cerebellar_folding,Molecular_layer_thickness_median,mm,0.268048,0.268048,1,1,1,TRUE,Heuer2023,primary,0.268048,0.268048
Aplodontia rufa,cerebellar_folding,Cerebellar_section_area,mm2,88.86929807273,88.86929807273,1,1,1,TRUE,Heuer2023,primary,88.86929807273,88.86929807273
Aplodontia rufa,cerebellar_folding,Cerebellar_section_length,mm,135.5861152159,135.5861152159,1,1,1,TRUE,Heuer2023,primary,135.5861152159,135.5861152159
Aplodontia rufa,cerebellar_folding,Cerebral_section_area,mm2,120.2267123648,120.2267123648,1,1,1,TRUE,Heuer2023,primary,120.2267123648,120.2267123648
Aplodontia rufa,cerebellar_folding,Cerebral_section_length,mm,49.3116291510,49.3116291510,1,1,1,TRUE,Heuer2023,primary,49.3116291510,49.3116291510
Aplodontia rufa,cerebellar_folding,Folial_perimeter_median,mm,2.14586629576,2.14586629576,1,1,1,TRUE,Heuer2023,primary,2.14586629576,2.14586629576
Aplodontia rufa,cerebellar_folding,Folial_width_median,mm,0.899859467193,0.899859467193,1,1,1,TRUE,Heuer2023,primary,0.899859467193,0.899859467193
Aplodontia rufa,cerebellar_folding,Molecular_layer_thickness_median,mm,0.171626,0.171626,1,1,1,TRUE,Heuer2023,primary,0.171626,0.171626
Bassariscus astutus,cerebellar_folding,Cerebellar_section_area,mm2,90.09787582234,90.09787582234,1,1,1,TRUE,Heuer2023,primary,90.09787582234,90.09787582234
Bassariscus astutus,cerebellar_folding,Cerebellar_section_length,mm,202.3658252303,202.3658252303,1,1,1,TRUE,Heuer2023,primary,202.3658252303,202.3658252303
Bassariscus astutus,cerebellar_folding,Cerebral_section_area,mm2,208.1849913433,208.1849913433,1,1,1,TRUE,Heuer2023,primary,208.1849913433,208.1849913433
Bassariscus astutus,cerebellar_folding,Cerebral_section_length,mm,113.4685297229,113.4685297229,1,1,1,TRUE,Heuer2023,primary,113.4685297229,113.4685297229
