Species,measure_class,Measure,Units,Value,Value_median,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,value_min,value_max
Alouatta belzebul,hand_morphology,log10_mc1_mm,log10 mm,1.316319878258,1.316319878258,1,1,1,True,Baker,primary,1.316319878258,1.316319878258
Alouatta belzebul,hand_morphology,log10_mc2_mm,log10 mm,1.4367985102318,1.4367985102318,1,1,1,True,Baker,primary,1.4367985102318,1.4367985102318
Alouatta belzebul,hand_morphology,log10_mc3_mm,log10 mm,1.48201557645071,1.48201557645071,1,1,1,True,Baker,primary,1.48201557645071,1.48201557645071
Alouatta belzebul,hand_morphology,log10_mc4_mm,log10 mm,1.47402190538789,1.47402190538789,1,1,1,True,Baker,primary,1.47402190538789,1.47402190538789
Alouatta belzebul,hand_morphology,log10_mc5_mm,log10 mm,1.44855173920158,1.44855173920158,1,1,1,True,Baker,primary,1.44855173920158,1.44855173920158
Alouatta belzebul,hand_morphology,log10_pp1_mm,log10 mm,1.30934622202062,1.30934622202062,1,1,1,True,Baker,primary,1.30934622202062,1.30934622202062
Alouatta belzebul,hand_morphology,log10_pp2_mm,log10 mm,1.41580772763554,1.41580772763554,1,1,1,True,Baker,primary,1.41580772763554,1.41580772763554
Alouatta belzebul,hand_morphology,log10_pp3_mm,log10 mm,1.47769992833213,1.47769992833213,1,1,1,True,Baker,primary,1.47769992833213,1.47769992833213
Alouatta belzebul,hand_morphology,log10_pp4_mm,log10 mm,1.48948973196227,1.48948973196227,1,1,1,True,Baker,primary,1.48948973196227,1.48948973196227
Alouatta caraya,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Alouatta caraya,locomotion,Intermembral_index,ratio,97,97,1,1,1,True,Granatosky,primary,97,97
Alouatta caraya,locomotion,Locomotor_diversity_index,index,1.60859743143501,1.60859743143501,1,1,1,True,Granatosky,primary,1.60859743143501,1.60859743143501
Alouatta caraya,manipulation,Tool_use,category,0,,1,1,0,False,Baker,secondary,,
Alouatta caraya,hand_morphology,log10_ip3_mm,log10 mm,1.30813737863804,1.30813737863804,1,1,1,True,Baker,primary,1.30813737863804,1.30813737863804
Alouatta caraya,hand_morphology,log10_mc1_mm,log10 mm,1.36172783601759,1.36172783601759,1,1,1,True,Baker,primary,1.36172783601759,1.36172783601759
Alouatta caraya,hand_morphology,log10_mc4_mm,log10 mm,1.55059520748933,1.55059520748933,1,1,1,True,Baker,primary,1.55059520748933,1.55059520748933
Alouatta caraya,hand_morphology,log10_mc5_mm,log10 mm,1.48995847942483,1.48995847942483,1,1,1,True,Baker,primary,1.48995847942483,1.48995847942483
Alouatta caraya,hand_morphology,log10_pp3_mm,log10 mm,1.48826861549546,1.48826861549546,1,1,1,True,Baker,primary,1.48826861549546,1.48826861549546
Alouatta palliata,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Alouatta palliata,locomotion,Intermembral_index,ratio,98,98,1,1,1,True,Granatosky,primary,98,98
Alouatta palliata,locomotion,Locomotor_diversity_index,index,1.18941283574095,1.18941283574095,1,1,1,True,Granatosky,primary,1.18941283574095,1.18941283574095
Alouatta palliata,vocalization,VocalRepertoire,count,22,22,1,1,1,True,Schniter,primary,22,22
Alouatta palliatus,manipulation,Tool_use,category,0,,1,1,0,False,Baker,secondary,,
Alouatta palliatus,hand_morphology,log10_dp1_mm,log10 mm,1.10720996964787,1.10720996964787,1,1,1,True,Baker,primary,1.10720996964787,1.10720996964787
Alouatta palliatus,hand_morphology,log10_ip3_mm,log10 mm,1.31026836663245,1.31026836663245,1,1,1,True,Baker,primary,1.31026836663245,1.31026836663245
Alouatta palliatus,hand_morphology,log10_ip4_mm,log10 mm,1.36172783601759,1.36172783601759,1,1,1,True,Baker,primary,1.36172783601759,1.36172783601759
Alouatta palliatus,hand_morphology,log10_mc1_mm,log10 mm,1.32376758329678,1.32376758329678,1,1,1,True,Baker,primary,1.32376758329678,1.32376758329678
Alouatta palliatus,hand_morphology,log10_mc2_mm,log10 mm,1.47129171105894,1.47129171105894,1,1,1,True,Baker,primary,1.47129171105894,1.47129171105894
Alouatta palliatus,hand_morphology,log10_mc3_mm,log10 mm,1.5152113043278,1.5152113043278,1,1,1,True,Baker,primary,1.5152113043278,1.5152113043278
Alouatta palliatus,hand_morphology,log10_mc4_mm,log10 mm,1.49899936358015,1.49899936358015,1,1,1,True,Baker,primary,1.49899936358015,1.49899936358015
Alouatta palliatus,hand_morphology,log10_mc5_mm,log10 mm,1.44754562126701,1.44754562126701,1,1,1,True,Baker,primary,1.44754562126701,1.44754562126701
Alouatta palliatus,hand_morphology,log10_pp1_mm,log10 mm,1.35506820634885,1.35506820634885,1,1,1,True,Baker,primary,1.35506820634885,1.35506820634885
Alouatta palliatus,hand_morphology,log10_pp3_mm,log10 mm,1.50155218746609,1.50155218746609,1,1,1,True,Baker,primary,1.50155218746609,1.50155218746609
Alouatta palliatus,hand_morphology,log10_pp4_mm,log10 mm,1.52762990087134,1.52762990087134,1,1,1,True,Baker,primary,1.52762990087134,1.52762990087134
Alouatta pigra,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Alouatta pigra,locomotion,Locomotor_diversity_index,index,0.230466836328381,0.230466836328381,1,1,1,True,Granatosky,primary,0.230466836328381,0.230466836328381
Alouatta seniculus,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Alouatta seniculus,gait,Duty_Factor,percent,68.32675986,68.32675986,1,1,1,True,Wimberly,primary,68.32675986,68.32675986
Alouatta seniculus,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Alouatta seniculus,gait,Gait,category,DSDC,,1,1,1,True,Wimberly,primary,,
Alouatta seniculus,locomotion,Intermembral_index,ratio,97,97,1,1,1,True,Granatosky,primary,97,97
Alouatta seniculus,locomotion,Locomotor_diversity_index,index,0.600482908245825,0.600482908245825,1,1,1,True,Granatosky,primary,0.600482908245825,0.600482908245825
Alouatta seniculus,gait,Phase,percent,56.89748148,56.89748148,1,1,1,True,Wimberly,primary,56.89748148,56.89748148
Alouatta seniculus,manipulation,Tool_Manufacture,category,1,,1,1,1,True,Baker,primary,,
Alouatta seniculus,manipulation,Tool_use,category,1,,1,1,0,False,Baker,secondary,,
Alouatta seniculus,manipulation,True_Tool_Use,category,1,,1,1,1,True,Baker,primary,,
Alouatta seniculus,hand_morphology,log10_dp1_mm,log10 mm,1.11991541025799,1.11991541025799,1,1,1,True,Baker,primary,1.11991541025799,1.11991541025799
Alouatta seniculus,hand_morphology,log10_dp2_mm,log10 mm,1.03941411917614,1.03941411917614,1,1,1,True,Baker,primary,1.03941411917614,1.03941411917614
Alouatta seniculus,hand_morphology,log10_ip2_mm,log10 mm,1.27443077259293,1.27443077259293,1,1,1,True,Baker,primary,1.27443077259293,1.27443077259293
Alouatta seniculus,hand_morphology,log10_ip3_mm,log10 mm,1.33931891323648,1.33931891323648,1,1,1,True,Baker,primary,1.33931891323648,1.33931891323648
Alouatta seniculus,hand_morphology,log10_ip4_mm,log10 mm,1.3458244569982,1.3458244569982,1,1,1,True,Baker,primary,1.3458244569982,1.3458244569982
Alouatta seniculus,hand_morphology,log10_mc1_mm,log10 mm,1.33439091464906,1.33439091464906,1,1,1,True,Baker,primary,1.33439091464906,1.33439091464906
Alouatta seniculus,hand_morphology,log10_mc2_mm,log10 mm,1.48127908446486,1.48127908446486,1,1,1,True,Baker,primary,1.48127908446486,1.48127908446486
Alouatta seniculus,hand_morphology,log10_mc3_mm,log10 mm,1.52501662348241,1.52501662348241,1,1,1,True,Baker,primary,1.52501662348241,1.52501662348241
Alouatta seniculus,hand_morphology,log10_mc4_mm,log10 mm,1.50130248034113,1.50130248034113,1,1,1,True,Baker,primary,1.50130248034113,1.50130248034113
Alouatta seniculus,hand_morphology,log10_mc5_mm,log10 mm,1.44983724551267,1.44983724551267,1,1,1,True,Baker,primary,1.44983724551267,1.44983724551267
Alouatta seniculus,hand_morphology,log10_pp1_mm,log10 mm,1.30802343170697,1.30802343170697,1,1,1,True,Baker,primary,1.30802343170697,1.30802343170697
Alouatta seniculus,hand_morphology,log10_pp2_mm,log10 mm,1.46601787390354,1.46601787390354,1,1,1,True,Baker,primary,1.46601787390354,1.46601787390354
Alouatta seniculus,hand_morphology,log10_pp3_mm,log10 mm,1.51045564000733,1.51045564000733,1,1,1,True,Baker,primary,1.51045564000733,1.51045564000733
Alouatta seniculus,hand_morphology,log10_pp4_mm,log10 mm,1.50574672306446,1.50574672306446,1,1,1,True,Baker,primary,1.50574672306446,1.50574672306446
Alouatta seniculus,hand_morphology,peak_workspace,index,-1.53760200210104,-1.53760200210104,1,1,1,True,Baker,primary,-1.53760200210104,-1.53760200210104
Alouatta seniculus,hand_morphology,real_size,index,1.06069784035361,1.06069784035361,1,1,1,True,Baker,primary,1.06069784035361,1.06069784035361
Alouatta seniculus,hand_morphology,relative_size,index,-1.09691001300806,-1.09691001300806,1,1,1,True,Baker,primary,-1.09691001300806,-1.09691001300806
Ammotragus lervia,gait,Duty_Factor,percent,71,71,1,1,1,True,Wimberly,primary,71,71
Ammotragus lervia,gait,Foot_Posture,category,unguligrade,,1,1,1,True,Wimberly,primary,,
Ammotragus lervia,gait,Gait,category,LSDC,,1,1,1,True,Wimberly,primary,,
Ammotragus lervia,gait,Phase,percent,26,26,1,1,1,True,Wimberly,primary,26,26
Antilocapra americana,gait,Duty_Factor,percent,62.01923077,62.01923077,1,1,1,True,Wimberly,primary,62.01923077,62.01923077
Antilocapra americana,gait,Foot_Posture,category,unguligrade,,1,1,1,True,Wimberly,primary,,
Antilocapra americana,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Antilocapra americana,gait,Phase,percent,17.94872,17.94872,1,1,1,True,Wimberly,primary,17.94872,17.94872
Aotus azarae,manipulation,Tool_use,category,0,,1,1,0,False,Baker,secondary,,
Aotus azarae,hand_morphology,log10_ip2_mm,log10 mm,0.974050902792877,0.974050902792877,1,1,1,True,Baker,primary,0.974050902792877,0.974050902792877
Aotus azarae,hand_morphology,log10_ip3_mm,log10 mm,0.992995098431341,0.992995098431341,1,1,1,True,Baker,primary,0.992995098431341,0.992995098431341
Aotus azarae,hand_morphology,log10_ip4_mm,log10 mm,1.04453976039241,1.04453976039241,1,1,1,True,Baker,primary,1.04453976039241,1.04453976039241
Aotus azarae,hand_morphology,log10_mc1_mm,log10 mm,1.02407498730743,1.02407498730743,1,1,1,True,Baker,primary,1.02407498730743,1.02407498730743
Aotus azarae,hand_morphology,log10_mc2_mm,log10 mm,1.25788616710497,1.25788616710497,1,1,1,True,Baker,primary,1.25788616710497,1.25788616710497
Aotus azarae,hand_morphology,log10_mc3_mm,log10 mm,1.29086578494364,1.29086578494364,1,1,1,True,Baker,primary,1.29086578494364,1.29086578494364
Aotus azarae,hand_morphology,log10_mc4_mm,log10 mm,1.25981943472062,1.25981943472062,1,1,1,True,Baker,primary,1.25981943472062,1.25981943472062
Aotus azarae,hand_morphology,log10_mc5_mm,log10 mm,1.14406801413637,1.14406801413637,1,1,1,True,Baker,primary,1.14406801413637,1.14406801413637
Aotus azarae,hand_morphology,log10_pp1_mm,log10 mm,0.976349979003273,0.976349979003273,1,1,1,True,Baker,primary,0.976349979003273,0.976349979003273
Aotus azarae,hand_morphology,log10_pp2_mm,log10 mm,1.14426277376199,1.14426277376199,1,1,1,True,Baker,primary,1.14426277376199,1.14426277376199
Aotus azarae,hand_morphology,log10_pp3_mm,log10 mm,1.18241465243455,1.18241465243455,1,1,1,True,Baker,primary,1.18241465243455,1.18241465243455
Aotus azarae,hand_morphology,log10_pp4_mm,log10 mm,1.18412335423967,1.18412335423967,1,1,1,True,Baker,primary,1.18412335423967,1.18412335423967
Aotus nancymaae,gait,Duty_Factor,percent,59.59001804,59.59001804,1,1,1,True,Wimberly,primary,59.59001804,59.59001804
Aotus nancymaae,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Aotus nancymaae,gait,Gait,category,DSDC,,1,1,1,True,Wimberly,primary,,
Aotus nancymaae,gait,Phase,percent,58.37598712,58.37598712,1,1,1,True,Wimberly,primary,58.37598712,58.37598712
Aotus trivirgatus,manipulation,Tool_use,category,0,,1,1,0,False,Baker,secondary,,
Aotus trivirgatus,hand_morphology,log10_ip2_mm,log10 mm,0.957193284252354,0.957193284252354,1,1,1,True,Baker,primary,0.957193284252354,0.957193284252354
Aotus trivirgatus,hand_morphology,log10_ip3_mm,log10 mm,1.03342375548695,1.03342375548695,1,1,1,True,Baker,primary,1.03342375548695,1.03342375548695
Aotus trivirgatus,hand_morphology,log10_ip4_mm,log10 mm,1.04342426355766,1.04342426355766,1,1,1,True,Baker,primary,1.04342426355766,1.04342426355766
Aotus trivirgatus,hand_morphology,log10_mc1_mm,log10 mm,1.07766298919408,1.07766298919408,1,1,1,True,Baker,primary,1.07766298919408,1.07766298919408
Aotus trivirgatus,hand_morphology,log10_mc2_mm,log10 mm,1.21276002023605,1.21276002023605,1,1,1,True,Baker,primary,1.21276002023605,1.21276002023605
Aotus trivirgatus,hand_morphology,log10_mc3_mm,log10 mm,1.23044892137827,1.23044892137827,1,1,1,True,Baker,primary,1.23044892137827,1.23044892137827
Aotus trivirgatus,hand_morphology,log10_mc4_mm,log10 mm,1.22276059369364,1.22276059369364,1,1,1,True,Baker,primary,1.22276059369364,1.22276059369364
Aotus trivirgatus,hand_morphology,log10_mc5_mm,log10 mm,1.10226355721697,1.10226355721697,1,1,1,True,Baker,primary,1.10226355721697,1.10226355721697
Aotus trivirgatus,hand_morphology,log10_pp1_mm,log10 mm,1.0097956280686,1.0097956280686,1,1,1,True,Baker,primary,1.0097956280686,1.0097956280686
Aotus trivirgatus,hand_morphology,log10_pp2_mm,log10 mm,1.149619634858,1.149619634858,1,1,1,True,Baker,primary,1.149619634858,1.149619634858
Aotus trivirgatus,hand_morphology,log10_pp3_mm,log10 mm,1.19033169817029,1.19033169817029,1,1,1,True,Baker,primary,1.19033169817029,1.19033169817029
Aotus trivirgatus,hand_morphology,log10_pp4_mm,log10 mm,1.18740746429153,1.18740746429153,1,1,1,True,Baker,primary,1.18740746429153,1.18740746429153
Apodemus agrarius,gait,Duty_Factor,percent,74.01,74.01,1,1,1,True,Wimberly,primary,74.01,74.01
Apodemus agrarius,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Apodemus agrarius,gait,Gait,category,LSDC,,1,1,1,True,Wimberly,primary,,
Apodemus agrarius,gait,Phase,percent,35.52,35.52,1,1,1,True,Wimberly,primary,35.52,35.52
Apodemus flavicollis,gait,Duty_Factor,percent,72.51,72.51,1,1,1,True,Wimberly,primary,72.51,72.51
Apodemus flavicollis,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Apodemus flavicollis,gait,Gait,category,LSDC,,1,1,1,True,Wimberly,primary,,
