Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species_printed,species name exactly as printed in the primary source,,,,info,Mammals,CST_termination_compilation,printed name preserved,
species_sci,project join label after source-scoped nomenclatural normalization,,,,info,Mammals,CST_termination_compilation,Cebus apella maps to Sapajus apella,
CST_termination_grade,ordinal extent of primary-motor corticospinal termination in ventral horn or lamina IX,spinal cord / M1 output,grade,ordinal,secondary,Mammals,CST_termination_compilation,0 = absent or virtually absent; 1 = sparse/restricted; 2 = dense/extensive,curatorial code from explicit tract-tracing description
CM_monosynaptic,direct monosynaptic corticomotoneuronal connection established by the cited method,spinal cord / M1 output,presence,binary,secondary,Mammals,CST_termination_compilation,left blank because light-microscopic terminal fields cannot prove presence or absence,Bortoff & Strick 1993 discussion pp. 5110-5111
CM_connection_inference,paper's conservative inference about a corticomotoneuronal connection,spinal cord / M1 output,inference,category,secondary,Mammals,CST_termination_compilation,likely or against; not equivalent to a proven binary CM field,
Segment_summary,spinal levels and pattern summarized from the source,,,,info,Mammals,CST_termination_compilation,,
Method,experimental method used to observe the termination pattern,,,,method,Mammals,CST_termination_compilation,,
Source,primary paper from which the row was coded,,,,info,Mammals,CST_termination_compilation,one paper per datum,
DOI,digital object identifier of the source paper,,,,info,Mammals,CST_termination_compilation,,
Source_location,exact source pages and figures supporting the code,,,,info,Mammals,CST_termination_compilation,,
Evidence_summary,short paraphrase of the source evidence,,,,info,Mammals,CST_termination_compilation,no long quotations,
Curatorial_note,scope or uncertainty note attached to the coding decision,,,,note,Mammals,CST_termination_compilation,,
