status,flag_reason,code_join,code_snapshot,code_csv,species_snapshot,species_csv_baron1983,species_csv_updated,species_mdd,name_change,n_snapshot,n_snapshot_num,n_csv,n_csv_num,volume_snapshot,volume_snapshot_num,volume_csv,volume_csv_num,n_match,volume_match,faithful_name_match,csv_updated_matches_mdd
matched_by_code,faithful-name transcription typo in CSV,589,0589,589,Oryzorictes talpoides,Oryzoricles talpoides,Oryzorictes hova,NA,NA,1,1,1,1,46.9,46.9,46.9,46.9,TRUE,TRUE,FALSE,NA
matched_by_code,faithful-name transcription typo in CSV,3244,3244,3244,Avahi l. occidentalis,Avahi I. occidentalis,Avahi occidentalis,NA,NA,2*,2,2*,2,70.1,70.1,70.1,70.1,TRUE,TRUE,FALSE,NA
