Species,VA,Common,Substrate,Lowest.audible.frequency,Highest.Audible.Frequency,Functional.head.size,best.frequency,best.sensitivity,Hearing.range,Sound.localization.threshold,Delta.t,Field.of.best.vision,Visual.acuity,Binocular.field.in.deg,Trophic.level,VA.Max.orig,VA_Hearingdata,VA.Max
Acinonyx_jubatus,23.02,,,,,,,,,,,,,,,23.02,VA_Hearingdata,23.02
Acomys_cahirinus,,spiny mouse,,2.3,71,64,8,14,,19,64,,,75,5,,VA_Hearingdata,0
Alouatta_caraya,59.61,,,,,,,,,,,,,,,59.61,VA_Hearingdata,59.61
Aonyx_cinerea,2.2,,,,,,,,,,,,,,,2.2,VA_Hearingdata,2.2
Aotus_azarai,8.3,,,,,,,,,,,,,,,8.3,VA_Hearingdata,8.3
Aotus_trivirgatus,10,owl monkey,,,49.5,227.9461678,10,-8,,,,,,,,10,VA_Hearingdata,10
Artibeus_cinereus,1.4,,,,,,,,,,,,,,,1.4,VA_Hearingdata,1.4
Artibeus_jamaicensis,0.17,Jamaican fruit-eating bat,,2.8,131,89,16,8.5,,9.9,,34,1.1,,,1.27,VA_Hearingdata,1.27
Balaenoptera_acutorostrata,4.2,,,,,,,,,,,,,,,4.2,VA_Hearingdata,4.2
Bos_taurus,10.31,cattle,,0.023,37,1282.029787,8,-11,,30,1281,132,12.4,20,5,22.71,VA_Hearingdata,22.71
Callithrix_jacchus,30,Marmoset,,,30,,7,-9,,,,,,,,30,VA_Hearingdata,30
Callorhinus_ursinus,7.1,Northern fur seal_in air,Air,0.2,,,,,,,,,,,,7.1,VA_Hearingdata,7.1
Camelus_bactrianus,10,,,,,,,,,,,,,,,10,VA_Hearingdata,10
Camelus_dromedarius,10.4,,,,,,,,,,,,,,,10.4,VA_Hearingdata,10.4
Canis_lupus,14.57,dog,,0.067,44,437.6405593,8,-1,,8,435,5.1,8.3,75,1,22.87,VA_Hearingdata,22.87
Capra_hircus,8.43,goat,,0.078,37,682.6548946,2,-11,,18,680,,12.5,23,5,20.93,VA_Hearingdata,20.93
Carollia_perspicillata,0.94,short-tailed fruit bat,,5.2,150,47,25,0,,14.7,,110,0.71,,,1.65,VA_Hearingdata,1.65
Cavia_porcellus,,guinea pig,,0.047,49,162.0539629,8,-6,,,,,,,,,VA_Hearingdata,0
Sapajus_apella,54.75,,,,,,,,,,,,,,,54.75,VA_Hearingdata,54.75
Cercopithecus_mitis,,blue monkey,,0.046,48,400.4514018,1.4,4,10.03,,,,,,,,VA_Hearingdata,0
Cercopithecus_neglectus,,DeBrazza monkey,,0.063,43,421.6749167,5.7,2,9.38,,,,,,,,VA_Hearingdata,0
Cheirogaleus_medius,2.84,,,,,,,,,,,,,,,2.84,VA_Hearingdata,2.84
Chinchilla_lanigera,,chinchilla,,0.05,33,225,1,1,,15.6,,144,,,,,VA_Hearingdata,0
Chlorocebus_aethiops,55.23,vervet,,0.069,45,400.4005936,1.4,-4,9.35,,,,,,,55.23,VA_Hearingdata,55.23
Choloepus_didactylus,1.54,,,,,,,,,,,,,,,1.54,VA_Hearingdata,1.54
Crocuta_crocuta,8.4,,,,,,,,,,,,,,,8.4,VA_Hearingdata,8.4
Cuniculus_paca,2.8,,,,,,,,,,,,,,,2.8,VA_Hearingdata,2.8
Cynomys_leucurus,,white-tailed prairie dog,,0.044,26,120,8,24,,,,,,,,,VA_Hearingdata,0
Cynomys_ludovicianus,,black-tailed prairie dog,,0.029,26,134.4486871,4,20,,,,,,,,,VA_Hearingdata,0
Cynopterus_brachyotis,,Dog-faced fruit bat,,2.63,70,86,10,6.5,,10.5,,,,,,,VA_Hearingdata,0
Dama_dama,18.48,,,,,,,,,,,,,,,18.48,VA_Hearingdata,18.48
Dasyprocta_leporina,6.21,,,,,,,,,,,,,,,6.21,VA_Hearingdata,6.21
Dasyurus_hallucatus,2.8,,,,,,,,,,,,,,,2.8,VA_Hearingdata,2.8
Delphinapterus_leucas,2.6,beluga whale,,0.119595114,123.9781395,,,,,,,,,,,2.6,VA_Hearingdata,2.6
Delphinus_delphis,3.8,,,,,,,,,,,,,,,3.8,VA_Hearingdata,3.8
Desmodus_rotundus,0.63,vampire bat,,0.716,113,61,15,-10,,13.1,,,,,,0.63,VA_Hearingdata,0.63
Diceros_bicornis,6,,,,,,,,,,,,,,,6,VA_Hearingdata,6
