species_sci,Species,Neuronal_number,GI,status
Blarina carolinensis,Blarina carolinensis,14200000,1,matched
Cavia porcellus,Cavia porcellus,43500000,1,matched
Scalopus aquaticus,Scalopus aquaticus,22800000,1,matched
Sorex fumeus,Sorex fumeus,7140000,1,matched
Talpa hairy,Talpa hairy,13400000,1,matched
Talpa star,Talpa star,15200000,1,matched
Mesocricetus auratus,Mesocricetus auratus,17400000,1.01,matched
Rattus norvegicus,Rattus rattus,31000000,1.02,matched
Mus musculus,Mus musculus,13700000,1.03,matched
Tupaia glis,Tupaia glis,60400000,1.062,matched
Microcebus murinus,Microcebus murinus,22300000,1.1,matched
Oryctolagus cuniculus,Oryctolagus cuniculus,71500000,1.15,matched
Callithrix jacchus,Callithrix jacchus,245000000,1.17,matched
Dasyprocta leporina,Dasyprocta leporina,113000000,1.23,matched
Callimico goeldii,Callimico goeldii,357000000,1.255,matched
Otolemur garnetti,Otolemur garnetti,226000000,1.255,matched
Hydrochoerus hydrochaeris,Hydrochoerus hydrochaeris,306000000,1.3,matched
Aotus trivirgatus,Aotus trivirgatus,441000000,1.31,matched
Cebus apella,Cebus apella,1140000000,1.69,matched
Macaca mulatta,Macaca mulatta,1710000000,1.79,matched
Macaca radiata,Macaca radiata,1660000000,1.79,matched
Papio cynocephalus,Papio cynocephalus,2880000000,1.985,matched
Pongo pygmaeus,Pongo pygmaeus,8900000000,2.21,matched
Gorilla gorilla,Gorilla gorilla,9100000000,2.26,matched
Homo sapiens,Homo sapiens,16300000000,2.56,matched
