Species,status,mismatched_cols
Tachyglossus_aculeatus,matched,
Mus_musculus,matched,
Rattus_norvegicus,matched,
Mesocricetus_auratus,matched,
Castor_canadensis,matched,
Hydrochoerus_hydrochaeris,matched,
Dasyprocta_leporina,matched,
Oryctolagus_cuniculus*,matched,
Cercopithecus_mitis,matched,
Erythrocebus_patas,matched,
Miopithecus_talapoin,matched,
Mandrillus_sphinx*,matched,
Lophocebus_albigena,matched,
Papio_hamadryas,matched,
Macaca_mulatta,matched,
Piliocolobus_badius,matched,
Pygathrix_nemaeus,matched,
Gorilla_gorilla,matched,
Homo_sapiens,matched,
Pan_troglodytes,matched,
Pongo_pygmaeus,matched,
Hylobates_lar,matched,
Alouatta_palliata*,matched,
Alouatta_seniculus,matched,
Ateles_paniscus,matched,
Lagothrix_lagothricha,matched,
Callicebus_moloch*,matched,
Aotus_trivirgatus,matched,
Callimico_goeldii,matched,
Callithrix_jacchus,matched,
Saguinus_midas,matched,
Saguinus_oedipus,matched,
Cebus_albifrons,matched,
Saimiri_sciureus,matched,
Tarsius_bancanus,matched,
Tarsius_syrichta,matched,
Microcebus_murinus,matched,
Cheirogaleus_major,matched,
Cheirogaleus_medius,matched,
Avahi_laniger,matched,
Avahi_occidentalis,matched,
Propithecus_verreauxi,matched,
Indri_indri,matched,
Daubentonia_madagascariensis,matched,
Eulemur_fulvus,matched,
Eulemur_mongoz,matched,
Lemur_catta,matched,
Varecia_variegata,matched,
Lepilemur_ruficaudatus,matched,
Perodicticus_potto,matched,
Loris_tardigradus,matched,
Nycticebus_coucang,matched,
Galago_senegalensis,matched,
Otolemur_crassicaudatus,matched,
Galago_demidoff,matched,
Cynocephalus_volans*,matched,
Tupaia_glis*,matched,
Ovis_aries,matched,
Capra_hircus_domestica*,matched,
Bos_taurus_indicus,matched,
Odocoileus_virginiatus,matched,
Phocoena_phocoena,matched,
Delphinus_delphis,matched,
Tursiops_truncatus,matched,
Pseudorca_crassidens,matched,
Globicephala_macrorhynchus,matched,
Grampus_griseus,matched,
Sus_scrofa_domesticus,matched,
Lama_glama_domesticus,matched,
Equus_burchelli,matched,
Equus_caballus,matched,
Mustela_putorius,matched,
Procyon_lotor,matched,
Zalophus_californianus,matched,
Phoca_vitulina,matched,
Ursus_maritimus,matched,
Canis_latrans,matched,
Vulpes_vulpes,matched,
Panthera_leo,matched,
Felis_catus,matched,
Crocuta_crocuta,matched,
Cynictis_penicillata,matched,
Pteropus_giganteus*,matched,
Talpa_europaea,matched,
Galemys_pyrenaicus,matched,
Erinaceus_europaeus,matched,
Crocidura_flavescens,matched,
Crocidura_russala,matched,
Sorex_araneus,matched,
Sorex_minutus,matched,
Neomys_fodiens,matched,
Choloepus_didactylus*,matched,
Dasypus_novemcinctus*,matched,
Potamogale_velox,matched,
Elephantulus_fuscipes,matched,
Trichechus_manatus*,matched,
Procavia_capensis*,matched,
Loxodonta_africana,matched,
Macropus_eugenii,matched,
Macropus_fuliginosus,matched,
Macropus_rufogriseus,matched,
Didelphis_virginiana,matched,
¶ See Table S2 for column definitions,matched,
*Calculated from images of Nissl-stained coronal sections from www.brainmuseum.org (see Methods),matched,
