ref_key,cited_in_column,citation,note
Allman and McGuinness (1988),binocular_visual_field_reference,"Allman J, McGuinness E. 1988. Visual cortex in primates. In: Steklis HD, Erwin J, editors. Comparative primate biology, vol. 4, neurosciences. New York: Alan R. Liss. p 279 –326.",
Arrese et al. (1999),binocular_visual_field_reference,"Arrese C, Dunlop SA, Harman AM, Braekevelt CR, Ross WM, Shand J, Beazley LD. 1999. Retinal structure and visual acuity in a polyprotodont marsupial, the fat-tailed dunnart (Sminthopsis crassicaudata). Brain Behav Evol 53:111–126.",
Arrese et al. (2000),binocular_visual_field_reference,"Arrese C, Archer M, Runham P, Dunlop SA, Beazley LD. 2000. Visual system in a diurnal marsupial, the Numbat (Myrmecobius fasciatus): retinal organization, visual acuity and visual fields. Brain Behav Evol 55:163–175.",
Bruce et al. (1996),binocular_visual_field_reference,"Bruce V, Green PR, Georgeson MA. 1996. Visual perception: physiology, psychology, and ecology, 3rd ed. East Sussex, U.K.: Psychology Press/Taylor and Francis Group.",
Drager (1978),binocular_visual_field_reference,Drager UC. 1978. Observations on monocular deprivation in mice. J Neurophysiol 41:28 – 42.,
Dunlop et al. (1998),binocular_visual_field_reference,,Cited in Table 1 but no matching entry in LITERATURE CITED; plausible targets: Dunlop et al. 1997 (J Comp Neurol 384:26-40) or Rodger et al. 1998 (Vis Neurosci 15:677-684). Kept as printed.
Finlay and Berian (1984),binocular_visual_field_reference,"Finlay BL, Berian CA. 1984. The hamster visual and sensory processes. In: Siegel HI, editor. The hamster: reproduction and behavior. New York: Plenum Press. p 409 – 431.",
Harman et al. (1986),binocular_visual_field_reference,"Harman AM, Nelson JE, Crewther SG, Crewther DP. 1986. Visual acuity of the northern native cat (Dasyurus hallucatus): behavioral and anatomical estimates. Behav Brain Res 22:211–216.",
Hughes (1977),binocular_visual_field_reference,"Hughes A. 1977. The topography of vision in mammals of contrasting lifestyle: comparative optics and retinal organisation. In: Crescitelli F, editor. The visual system in vertebrates. New York: Springer Verlag. p 613–756.",
Hughes (1979),binocular_visual_field_reference,Hughes A. 1979. A schematic eye for the rat. Vision Res 19:569 –588.,
Hughes and Whitteridge (1973),binocular_visual_field_reference,"Hughes A, Whitteridge D. 1973. The receptive fields and topographical organization of goat retinal ganglion cells. Vision Res 13:1101– 1114.",
Illing and Wassle (1981),binocular_visual_field_reference,"Illing RB, Wassle H. 1981. The retinal projection to the thalamus in the cat: a quantitative investigation and a comparison with the retinotectal pathway. J Comp Neurol 202:265–285.",
Morgan et al. (1987),binocular_visual_field_reference,"Morgan JE, Henderson Z, Thompson ID. 1987. Retinal decussation patterns in pigmented and albino ferrets. Neuroscience 20:519 – 535.",
Oswaldo-Cruz et al. (1979),binocular_visual_field_reference,"Oswaldo-Cruz E, Hokoc JN, Sousa APB. 1979. A schematic eye for the opossum. Vision Res 19:263–278.",
Piggins and Phillips (1996),binocular_visual_field_reference,"Piggins D, Phillips CJC. 1996. The eye of the domesticated sheep with implications for vision. Anim Sci 62:301–308.",
Rapaport et al. (1981),binocular_visual_field_reference,"Rapaport DH, Wilson P, Rowe MH. 1981. The distribution of ganglion cells in the retina of the North American opossum (Didelphis virginiana). J Comp Neurol 199:465– 480.",
Rodger et al. (1998),binocular_visual_field_reference,"Rodger J, Dunlop SA, Beazley LD. 1998. The ipsilateral retinal projection in the fat-tailed dunnart, Sminthopsis crassicaudata. Vis Neurosci 15:677– 684.",
Rosa and Schmid (1994),binocular_visual_field_reference,"Rosa MGP, Schmid LM. 1994. Topography and extent of visual-field representation in the superior colliculus of the megachiropteran Pteropus. Vis Neurosci 11:1037–1057.",
Ross (2000),binocular_visual_field_reference,Ross CF. 2000. Into the light: the origin of Anthropoidea. Ann Rev Anthropol 29:147–194.,
Sousa et al. (1978),binocular_visual_field_reference,"Sousa APB, Gattas R, Hokoc JN, Oswaldo-Cruz E. 1978. The visual field of the opossum. In: Rocha-Miranda CE, Lent R, editors. Opossum neurobiology. Rio de Janeiro: Academic Brasileira de Ciencias. p 51– 65.",
Vakkur and Bishop (1963),binocular_visual_field_reference,"Vakkur GJ, Bishop PO. 1963. The schematic eye in the cat. Vision Res 3:357–381.",
Walls (1942),binocular_visual_field_reference,Walls GL. 1942. The vertebrate eye and its adaptive radiation. New York: Hafner.,
Wye-Dvorak et al. (1987),binocular_visual_field_reference,"Wye-Dvorak J, Levick WR, and Mark RM. 1987. Retinotopic organization in the dorsal lateral geniculate nucleus of the Tammar wallaby (Macropus eugenii). J Comp Neurol 263:198 –213.",
