Species,Symbol,Sound localization threshold in deg,threshold_footnote,Delta t in usec,Field of best vision in deg,Visual acuity in c/deg,acuity_footnote,Binocular field in deg,Trophic level
dolphin,Do,1.1,2,80,—,—,,—,1
elephant,E,1.2,3,3350,—,—,,80,3
man,M,1.3,4,875,.7,67.0,24,105,2
seal,S,3.2,5,378,—,3.6,25,—,1
opossum,Op,4.6,6,273,15.8,1.8,26,77,4
pig,P,4.6,7,498,11.6,8.0,,47,2
macaque,Mk,5.0,8,424,4.3,46.8,27,111,2
cat,C,5.7,9,258,4.9,9.0,28,105,1
dog,D,8.0,10,435,5.1,8.3,,75,1
ferret,F,8.5,11,180,—,—,,—,1
sea lion,Sl,8.8,12,392,—,4.3,25,—,1
norway rat domestic,Rd,11.1,13,150,—,—,,76,4
least weasel,W,12.0,14,76,23.0,2.2,,69,1
norway rat wild,Rw,12.8,15,130,52.8,1.5,,35,4
goat,G,18.0,10,680,—,12.5,29,23,5
wood rat,Wr,19.0,16,115,156.2,2.3,,85,5
hedgehog,Hh,19.0,17,167,—,—,,35,2
spiny mouse,Sp,19.0,18,64,—,—,,75,5
grasshopper mouse,Gm,19.3,16,61,68.5,2.3,,52,2
horse,H,25.0,19,684,—,—,,28,5
cow,Cw,30.0,10,1281,132.0,12.4,,20,5
gerbil,Gr,27.0,20,87,200.0,2.0,30,48,4
kangaroo rat,Kr,27.0,21,90,—,—,,20,5
gopher,Go,90.0,22,111,166.0,1.7,,4,5
