Species,Cortical_Mean,StDev,Layers,Layer_Mean,Layer_StDev
Human,15.17,1.8926,"II, III",14.40,1.9375
Human,,,IV,18.04,0.6749
Human,,,"V, VI",16.04,1.6770
Chimpanzee,17.52,1.5751,"II, III",16.69,2.6288
Chimpanzee,,,IV,18.45,0.3298
Chimpanzee,,,"V, VI",17.95,1.0200
Bonobo,18.17,3.0265,"II, III",18.95,2.4088
Bonobo,,,IV,21.60,0.9547
Bonobo,,,"V, VI",16.21,3.4732
Gorilla,15.87,3.5655,"II, III",16.43,3.2118
Gorilla,,,IV,17.87,1.0712
Gorilla,,,"V, VI",15.05,4.2290
Orangutan,20.10,1.7282,"II, III",19.81,1.9910
Orangutan,,,IV,21.49,0.2924
Orangutan,,,"V, VI",19.65,2.2236
Gibbon,19.80,2.3440,"II, III",19.43,2.4329
Gibbon,,,IV,21.64,2.2680
Gibbon,,,"V, VI",19.56,1.9485
Macaque,20.34,1.8557,"II, III",20.16,1.7844
Macaque,,,IV,24.03,0.9154
Macaque,,,"V, VI",19.91,2.1464
