accepted_name,source_publication,variant_name,species_confidence,note
Cephalorhynchus commersonii,Lyamin_etal_2008,Commerson's dolphin,high,
Delphinapterus leucas,Lyamin_etal_2008,Beluga,high,monotypic genus
Eschrichtius robustus,Lyamin_etal_2008,Gray whale,high,monotypic genus
Inia geoffrensis,Lyamin_etal_2008,Amazon River dolphin,high,
Orcinus orca,Lyamin_etal_2008,Killer whale,high,monotypic genus
Phocoena phocoena,Lyamin_etal_2008,Harbor porpoise,high,
Tursiops truncatus,Lyamin_etal_2008,Bottlenose dolphin,medium,"Tursiops aduncus is also called bottlenose dolphin; T. truncatus taken from the cited primary, Mukhametov and Lyamin (1997)"
