"source_row","Species_Olkowicz2016_common","Species_Olkowicz2016","order_printed","Class","body_mass_g","whole_brain_mass_g","whole_brain_cell_count","whole_brain_neuron_count","whole_brain_nonneuronal_cell_count","telencephalon_mass_g","telencephalon_cell_count","telencephalon_neuron_count","telencephalon_nonneuronal_cell_count","telencephalon_neuronal_cell_percent","telencephalon_neuron_density_per_mg","telencephalon_nonneuronal_cell_density_per_mg","telencephalon_brain_mass_percent","telencephalon_brain_neuron_percent","telencephalon_brain_nonneuronal_cell_percent","pallium_mass_g","pallium_cell_count","pallium_neuron_count","pallium_nonneuronal_cell_count","pallium_neuron_density_per_mg","pallium_nonneuronal_cell_density_per_mg","subpallium_mass_g","subpallium_cell_count","subpallium_neuron_count","subpallium_nonneuronal_cell_count","subpallium_neuron_density_per_mg","subpallium_nonneuronal_cell_density_per_mg","tectum_mass_g","tectum_cell_count","tectum_neuron_count","tectum_nonneuronal_cell_count","tectum_neuronal_cell_percent","tectum_neuron_density_per_mg","tectum_nonneuronal_cell_density_per_mg","tectum_brain_mass_percent","tectum_brain_neuron_percent","tectum_brain_nonneuronal_cell_percent","diencephalon_mass_g","diencephalon_cell_count","diencephalon_neuron_count","diencephalon_nonneuronal_cell_count","diencephalon_neuronal_cell_percent","diencephalon_neuron_density_per_mg","diencephalon_nonneuronal_cell_density_per_mg","diencephalon_brain_mass_percent","diencephalon_brain_neuron_percent","diencephalon_brain_nonneuronal_cell_percent","cerebellum_mass_g","cerebellum_cell_count","cerebellum_neuron_count","cerebellum_nonneuronal_cell_count","cerebellum_neuronal_cell_percent","cerebellum_neuron_density_per_mg","cerebellum_nonneuronal_cell_density_per_mg","cerebellum_brain_mass_percent","cerebellum_brain_neuron_percent","cerebellum_brain_nonneuronal_cell_percent","brainstem_mass_g","brainstem_cell_count","brainstem_neuron_count","brainstem_nonneuronal_cell_count","brainstem_neuronal_cell_percent","brainstem_neuron_density_per_mg","brainstem_nonneuronal_cell_density_per_mg","brainstem_brain_mass_percent","brainstem_brain_neuron_percent","brainstem_brain_nonneuronal_cell_percent","rest_of_brain_mass_g","rest_of_brain_cell_count","rest_of_brain_neuron_count","rest_of_brain_nonneuronal_cell_count","rest_of_brain_neuron_density_per_mg","rest_of_brain_nonneuronal_cell_density_per_mg","rest_of_brain_brain_mass_percent","rest_of_brain_brain_neuron_percent","rest_of_brain_brain_nonneuronal_cell_percent"
1,"Green-Rumped Parrotlet","Forpus passerinus","Psittaciformes","Aves",23.2333333333333,1.1464,362213186.507936,227204428.305555,135008758.202381,0.850733333333333,203855555.555555,120840860,83014695.5555555,59.2666666666667,142092.688882305,97737.7654892568,74.2091183996278,53.1859616034804,61.4883779844229,0.714681567116249,173963484.187413,103418877.913109,70544606.2743033,144706.233757232,98707.7455473657,0.136051766217084,29892071.3681428,17421982.0868907,12470089.2812522,128054.067736924,91656.9452053632,0.0656666666666667,23862500,11440791.6666667,12421708.3333333,48.1916666666667,174735.226342003,190426.293672754,5.72807629681321,5.03546156736018,9.20066853345391,0.0673333333333333,15198555.5555556,3252600.11111111,11945955.4444444,21.3333333333333,48161.9366775683,177190.40940635,5.87345894394045,1.43157425907952,8.84828184741705,0.0983,105800714.285714,89622483.3333333,16178230.952381,84.6888888888889,912548.311333257,164635.769258721,8.57466852756455,39.4457467232129,11.983097369231,0.0643666666666667,13495861.1111111,2047693.19444444,11448167.9166667,15.2666666666667,31837.5562590054,178272.609054635,5.61467783205397,0.90125584686695,8.47957426547515,0.333418432883751,82448988.0348095,34163067.0591129,48285920.9756966,102463.042500785,144820.790374634,29.0839526241932,15.0362681369787,35.7650285941561
2,"Budgerigar","Melopsittacus undulatus","Psittaciformes","Aves",35.33,1.3165,497873166.666667,321821838.132027,176051328.53464,0.935133333333333,289220944.444445,186000113.949495,103220830.49495,64.3090909090909,199077.771696053,110444.064105564,71.0317761741993,57.7959889326058,58.6311000059508,0.775201943994446,231267409.26276,148910061.665022,82357347.5977384,192091.961093029,106239.862058871,0.159931389338888,57953535.1816845,37090052.2844734,20863482.8972112,231912.274618469,130452.708398614,0.0731333333333333,25641666.6666667,11724425,13917241.6666667,45.8333333333333,160450.17113918,190530.549919386,5.55513356121028,3.64314151831737,7.90521820113861,0.0783333333333333,18825000,3336975,15488025,18.1,43264.206621162,196948.265574006,5.9501202683884,1.03690135491396,8.79744852192501,0.144333333333333,145805555.555556,118727961.111111,27077594.4444444,81.4666666666667,822186.435705474,187987.745750822,10.9634130902646,36.8924501209278,15.3805112803319,0.0855666666666667,18380000,2032363.07142103,16347636.928579,10.9680935151957,23717.380654518,190919.777725973,6.49955690593746,0.631518073235059,9.28572199065367,0.396964722672221,120800201.848351,54183815.3558944,66616386.4924568,136495.291045383,167814.374143928,30.1530362834957,16.8365874952419,37.8391842009584
3,"Cockatiel","Nymphicus hollandicus","Psittaciformes","Aves",100.976666666667,2.20526666666667,687426666.666666,452765646.56868,234661020.097987,1.61673333333333,444588888.888889,301806055.555555,142782833.333333,67.7,188161.296148047,88196.4797607714,73.3123734091115,66.6583381143902,60.8464214779735,1.36783623868313,373309467.846024,258481503.053545,114827964.792479,188971.088602241,83948.6201235816,0.248897094650206,71279421.0428651,43324552.5020104,27954868.5408547,174066.123844867,112314.965267641,0.135533333333333,35563333.3333333,16113070,19450263.3333333,45.4666666666667,119701.809731306,145065.96223071,6.14589316484779,3.5588101973094,8.28866393115121,0.119466666666667,24466666.6666667,3635623.23534627,20831043.4313204,14.4805869464053,31010.0746669235,175234.00346402,5.4173342604069,0.802981247119594,8.87707869957354,0.1955,158872222.222222,129153777.777778,29718444.4444444,81.3333333333333,661145.793025133,151446.92213889,8.8651410260286,28.5255250164362,12.6644145806726,0.138033333333333,23935555.5555556,2057120,21878435.5555556,8.4,14906.8527451926,160002.59396421,6.25925813960519,0.454345424744578,9.32342131062919,0.641930427983539,155244976.598421,65130365.7373567,90114610.8610639,101460.162812265,140380.650196215,29.1089707057441,14.3850060690232,38.4020366158107
4,"Eastern Rosella","Platycercus eximius","Psittaciformes","Aves",102.016666666667,2.71586666666667,960048888.888889,641879038.38218,318169850.506709,2.00946666666667,599875000,406317625.867333,193557374.132667,67.7975853455454,202101.264015643,96218.1222819337,73.9898865923708,63.3012766535318,60.8346057379141,1.70472840560174,496957524.065082,333273796.950498,163683727.114585,195499.644315986,96017.4808941529,0.304738261064929,102917475.934918,73043828.916835,29873647.0180827,239693.65927855,98030.5095713521,0.174566666666667,48204444.4444444,16982358.3333333,31222086.1111111,35.0972222222222,98219.5043098634,179598.490485667,6.42765967892386,2.64572564577532,9.81302472920913,0.145066666666667,31766666.6666667,4298420.47619048,27468246.1904762,13.5095238095238,29613.3241909269,189211.844002799,5.34145024301635,0.6696620732505,8.63320209213128,0.2304,250932222.222222,211975425.185185,38956797.037037,84.4111111111111,918796.177260138,169328.794267693,8.48347979773185,33.0242012139012,12.2440253138364,0.156366666666667,29270555.5555556,2305208.52013773,26965347.0354178,8.00385752861,14839.6068278731,172437.095052463,5.75752368795719,0.359134413541199,8.4751421269091,0.780738261064929,212159142.601584,96629816.2464965,115529326.355088,123767.23553255,147974.464832178,28.7472971573812,15.0542096669875,36.3105825932591
5,"Monk Parakeet","Myiopsitta monachus","Psittaciformes","Aves",93.9633333333333,3.42043333333333,1090255611.11111,696765158.670932,393490452.440179,2.66346666666667,736247222.222222,476495283.333333,259751938.888889,64.5333333333333,179125.239236824,98122.7863635796,77.8692758227515,68.3867838974956,66.0122595803969,2.24000189293109,614070828.358267,396182909.441484,217887918.916783,176867.220823225,97271.3101736142,0.423464773735581,122176393.863955,80312373.8918488,41864019.9721062,189655.383099226,98860.6905901619,0.149533333333333,41891583.3333333,17493985.2777778,24397598.0555556,41.7888888888889,117166.913671185,163421.695217944,4.3717657606736,2.51074340616389,6.20030242265272,0.162266666666667,39012777.7777778,4777234.74030243,34235543.0374753,12.198553583169,29730.9439254344,211220.239185618,4.74403827975013,0.685630542924237,8.70047616788875,0.280666666666667,240931111.111111,195528944.444444,45402166.6666667,81.0333333333333,696925.636001841,161729.344057822,8.20558798592771,28.0623883113519,11.5383146872081,0.1645,32172916.6666667,2469710.87507454,29703205.7915921,7.64206917113894,14991.8833375048,181078.958214523,4.80933215089706,0.3544538420643,7.54864714185355,0.899764773735581,235253671.641733,105053304.785004,130200366.856729,116756.409954627,144704.894720619,26.305578447241,15.0772901712524,33.0885707770821
6,"Alexandrine Parakeet","Psittacula eupatria","Psittaciformes","Aves",222.966666666667,5.69936666666667,1668998333.33333,1096257549.05058,572740784.28275,4.3902,1057683333.33333,703960515.151515,353722818.181818,66.4212121212121,160866.816094161,80635.6629605136,77.0296114772986,64.2148841539274,61.7596699744002,3.6567927,871680533.202486,574648334.070697,297032199.131789,157145.449910436,81227.519167764,0.7334073,186002800.130847,129312181.080818,56690619.0500288,176317.008408313,77297.5930973536,0.2396,70326666.6666667,22945853.3333333,47380813.3333333,32.5777777777778,96259.861137205,198359.850646247,4.20397588036098,2.09310789724601,8.27264525830282,0.292466666666667,53070000,5157080.16772439,47912919.8322756,9.67225747960109,17610.2893817599,163814.626531863,5.13156432586077,0.470425966251333,8.36555055046018,0.5056,440383333.333333,361355816.666667,79027516.6666667,82.0666666666666,719038.2752133,156887.249126986,8.87116112316573,32.9626753293166,13.7981297709807,0.2715,47535000,2838283.73134328,44696716.2686567,5.98872305140962,10526.5599372473,164684.35593821,4.76368719331388,0.258906653258752,7.80400444585606,1.53697396666667,356934466.797514,160253398.313219,196681068.484294,104265.525499284,127966.428026656,26.9674519391044,14.6182252931355,34.3403287982364
7,"Goffin's Cockatoo","Cacatua goffini","Psittaciformes","Aves",244.795,8.2749,1952816041.66667,1160592146.43839,792223895.228275,6.6887,1259580000,715077930,544502070,56.65,106669.302254999,81539.9072757159,80.8311882923056,61.6131973832858,68.7308314328369,5.50242733322298,1005754547.83063,599226963.953287,406527583.877346,108902.294871798,73881.4997924248,1.18627266677702,253825452.169367,115850966.046713,137974486.122654,97659.6437659377,116309.251647445,0.2883,70710000,22711289.8406375,47998710.1593625,32.0882470119522,78794.7535809956,166495.082093025,3.48403001848965,1.95687088787681,6.05873042311252,0.39935,73146875,6632564.09775441,66514310.9022456,9.12103939573256,16662.8419513246,166228.024622578,4.8260401938392,0.571481042509923,8.3958980917989,0.5706,492700000,413095650,79604350,83.9,724840.532929206,138944.409310823,6.89555160787442,35.5935245010663,10.0482137031555,0.32795,56679166.6666667,3074712.5,53604454.1666667,5.45,9397.02039983867,163170.22994144,3.96318988749109,0.264926185261173,6.76632634909615,2.20187266677702,454361493.836034,148269532.485105,306091961.350929,67337.9231788791,139014.378973589,26.6090546928304,12.7753348099168,38.6370523780693
8,"Grey Parrot","Psittacus erithacus","Psittaciformes","Aves",453.5,8.8273,2446515803.57143,1565926714.72576,880589088.845666,6.9727,1750471428.57143,1147537435.71429,602933992.857143,65.525,165021.118638236,87032.1661892792,78.9901781971837,73.2816820176193,68.4693917395125,5.94096265582118,1389938866.78249,850095180.974702,539843685.807789,143090.477120193,90868.0490153948,1.03173734417882,360532561.788937,297442254.739583,63090307.0493531,288292.612861003,61149.5817276712,0.33125,72775000,20895493.1818182,51879506.8181818,28.7136363636364,63028.4258686078,156479.72615588,3.75256307138083,1.33438512705095,5.89145464954476,0.43125,79189375,6747748.4806959,72441626.5193041,8.38884652049571,15327.8378355152,169658.738925928,4.88541230047693,0.430910873238255,8.22649603963017,0.63775,478100000,387396700,90703300,80.9,607899.289406876,142207.361031712,7.22474595856038,24.7391334701027,10.3002979651837,0.45435,65980000,3349337.34896303,62630662.651037,5.0502254283138,7338.4132839933,137791.632584627,5.14710047239813,0.213888511988864,7.11235960612882,2.24858734417882,578476936.788937,328434833.751061,250042103.037876,146062.742281868,111199.639936242,25.4731043940822,20.9738317037767,28.3948672775003
9,"Sulphur-Crested Cockatoo","Cacatua galerita","Psittaciformes","Aves",430,10.1307,3123732916.66667,2121927188.75,1001805727.91667,8.0716,2179224166.66667,1490589330,688634836.666667,68.4,184670.862034789,85315.7783669491,79.6746522945107,70.2469593632988,68.7393590869895,6.767,1702524166.66667,1135449795,567074371.666667,167792.196689818,83799.9662578199,1.3046,476700000,355139535,121560465,272221.01410394,93178.3420205425,0.3041,74951250,27057401.25,47893848.75,36.1,88975.3411706675,157493.747944755,3.00176690653163,1.27513335016642,4.78075213740283,0.4962,99620000,12054020,87565980,12.1,24292.664248287,176473.15598549,4.89798335751725,0.568069444790934,8.74081446730199,0.836,7.03e+08,588411000,114589000,83.7,703840.909090909,137068.181818182,8.25214447175417,27.730027831286,11.4382456405292,0.4228,66937500,3815437.5,63122062.5,5.7,9024.21357615894,149295.322847682,4.1734529696862,0.179810010457881,6.30082866777646,2.5277,718208750,398066393.75,320142356.25,157481.66069945,126653.620386122,24.9508918436041,18.7596631901633,31.9565308251691
10,"Kea","Nestor notabilis","Psittaciformes","Aves",708,13.5916,3124247333.33333,2148672995.5993,975574337.734033,11.3822,2351672333.33333,1630492817.77778,721179515.555555,69.3333333333333,143249.355816782,63360.2919958844,83.7443715235881,75.8837115334531,73.923584053127,9.4826,1860972333.33333,1281363688.33333,579608645,135127.885636148,61123.3886275916,1.8996,490700000,349129129.444444,141570870.555556,183790.866205751,74526.6743290986,0.3718,66750000,26566500,40183500,39.8,71453.7385691232,108078.26788596,2.73551311103917,1.23641429172382,4.1189582839309,0.5038,80979166.6666667,7126166.66666667,73853000,8.8,14144.8326055313,146591.901548233,3.70670119779864,0.331654313209212,7.57020732746398,0.8252,559466666.666667,481141333.333333,78325333.3333334,86,583060.268217806,94916.7878494103,6.07139703934783,22.3924875641272,8.02863813692144,0.5086,65379166.6666667,3346177.82152231,62032988.8451444,5.11811023622047,6579.19351459361,121968.125924389,3.74201712822626,0.155732297486664,6.35861219855664,3.2838,703808333.333333,386167973.932633,317640359.4007,117597.896928142,96729.5083137524,24.1605109037935,17.9723938786192,32.5593188663084
