"source_row","Species_Olkowicz2016_common","Species_Olkowicz2016","order_printed","Class","body_mass_g","whole_brain_mass_g","whole_brain_cell_count","whole_brain_neuron_count","whole_brain_nonneuronal_cell_count","telencephalon_mass_g","telencephalon_cell_count","telencephalon_neuron_count","telencephalon_nonneuronal_cell_count","telencephalon_neuronal_cell_percent","telencephalon_neuron_density_per_mg","telencephalon_nonneuronal_cell_density_per_mg","telencephalon_brain_mass_percent","telencephalon_brain_neuron_percent","telencephalon_brain_nonneuronal_cell_percent","pallium_mass_g","pallium_cell_count","pallium_neuron_count","pallium_nonneuronal_cell_count","pallium_neuron_density_per_mg","pallium_nonneuronal_cell_density_per_mg","subpallium_mass_g","subpallium_cell_count","subpallium_neuron_count","subpallium_nonneuronal_cell_count","subpallium_neuron_density_per_mg","subpallium_nonneuronal_cell_density_per_mg","tectum_mass_g","tectum_cell_count","tectum_neuron_count","tectum_nonneuronal_cell_count","tectum_neuronal_cell_percent","tectum_neuron_density_per_mg","tectum_nonneuronal_cell_density_per_mg","tectum_brain_mass_percent","tectum_brain_neuron_percent","tectum_brain_nonneuronal_cell_percent","diencephalon_mass_g","diencephalon_cell_count","diencephalon_neuron_count","diencephalon_nonneuronal_cell_count","diencephalon_neuronal_cell_percent","diencephalon_neuron_density_per_mg","diencephalon_nonneuronal_cell_density_per_mg","diencephalon_brain_mass_percent","diencephalon_brain_neuron_percent","diencephalon_brain_nonneuronal_cell_percent","cerebellum_mass_g","cerebellum_cell_count","cerebellum_neuron_count","cerebellum_nonneuronal_cell_count","cerebellum_neuronal_cell_percent","cerebellum_neuron_density_per_mg","cerebellum_nonneuronal_cell_density_per_mg","cerebellum_brain_mass_percent","cerebellum_brain_neuron_percent","cerebellum_brain_nonneuronal_cell_percent","brainstem_mass_g","brainstem_cell_count","brainstem_neuron_count","brainstem_nonneuronal_cell_count","brainstem_neuronal_cell_percent","brainstem_neuron_density_per_mg","brainstem_nonneuronal_cell_density_per_mg","brainstem_brain_mass_percent","brainstem_brain_neuron_percent","brainstem_brain_nonneuronal_cell_percent","rest_of_brain_mass_g","rest_of_brain_cell_count","rest_of_brain_neuron_count","rest_of_brain_nonneuronal_cell_count","rest_of_brain_neuron_density_per_mg","rest_of_brain_nonneuronal_cell_density_per_mg","rest_of_brain_brain_mass_percent","rest_of_brain_brain_neuron_percent","rest_of_brain_brain_nonneuronal_cell_percent"
11,"Blue and Yellow Macaw","Ara ararauna","Psittaciformes","Aves",1008,20.7297,4935815416.66667,3135785303.36538,1800030113.30128,17.5646,3842417500,2459147200,1383270300,64,140005.875454038,78753.3049428965,84.731568715418,78.4220525990984,76.8470643784432,14.3766,3074292500,1916984440.45455,1157308059.54545,133340.597947675,80499.4268147861,3.188,768125000,542162759.545455,225962240.454545,170063.600861184,70878.9963784648,0.5055,98166666.6666667,31217000,66949666.6666667,31.8,61754.6983184965,132442.466205077,2.43853022475,0.99550820544051,3.71936370241495,0.783,122950000,7849884.61538462,115100115.384615,6.38461538461538,10025.3954219471,146998.870223008,3.77718925020623,0.250332336431323,6.39434387980988,1.2446,7.86e+08,633516000,152484000,80.6,509011.730676523,122516.471155391,6.00394602912729,20.2027861831006,8.47119161358596,0.632,86281250,4055218.75,82226031.25,4.7,6416.48536392405,130104.479825949,3.04876578049851,0.12932067592918,4.56803642574602,5.1085,1075522916.66667,585284862.910839,490238053.755828,114570.786514797,95965.1666351821,24.6433860596149,18.6646981948254,27.2349918000385
12,"Goldcrest","Regulus regulus","Passeriformes","Aves",4.516,0.3566,208029305.555556,163873739.088487,44155566.4670682,0.2252,96603333.3333333,76125820,20477513.3333333,78.8333333333333,340938.926396038,90087.7687382972,63.1519910263601,46.4539470591405,46.3758365519005,0.175593992490613,79996845.3481207,64210642.8618088,15786202.486312,365676.76348746,89901.7230737884,0.0496060075093867,16606487.9852126,11915177.1381912,4691310.84702133,240196.253164228,94571.4255704537,0.0447333333333333,23676666.6666667,16985468.6321381,6691198.03452855,71.6871845949535,380164.966133139,150334.663378876,12.5444008225837,10.3649728910905,15.1536908478321,0.0235,6815000,2726086.01190476,4088913.98809524,40.2619047619048,116368.924892214,173104.72966121,6.59001682557487,1.66352829139558,9.26024579742353,0.0398666666666667,75623333.3333333,66777176.6666667,8846156.66666667,88.3,1675776.96881118,222334.53625986,11.1796597494859,40.7491627628078,20.034069030151,0.0233,5310972.22222222,1259187.77777778,4051784.44444444,23.7333333333333,54079.9508861107,173747.317626048,6.53393157599551,0.768388995565574,9.17615777269286,0.14113934084272,52409126.8741015,32885919.5600119,19523207.3140896,233003.210611977,138325.765144712,39.579175783152,20.0678398765616,44.2146005048995
13,"Zebra Finch","Taenipygia guttata","Passeriformes","Aves",17.3933333333333,0.4935,195730555.555556,135976099.245455,59754456.3101005,0.327466666666667,93556666.6666667,64663020.8367115,28893645.8299551,69.1089943929062,198627.970636789,88516.63661918,66.3559608240459,47.5546961528777,48.3539598787566,0.276515613182064,78542878.07654,55226758.7997183,23316119.2768217,199723.835353036,84321.1672878302,0.0509510534846029,15013788.5901266,9436262.03699321,5577526.55313341,185202.491246718,109468.326397194,0.0427333333333333,17746666.6666667,10618316.1682004,7128350.49846626,59.9498977505112,249231.310524224,166738.15229058,8.65923674434313,7.80895777061006,11.9294039953658,0.0317,7842777.77777778,2395688.57463929,5447089.20313849,30.5956101121056,75853.319575576,171964.407640443,6.42350557244174,1.76184534483134,9.11578740649967,0.0559333333333333,67401666.6666667,56609690.5738605,10791976.0928062,84.0574409665019,1011044.92139895,192382.375024599,11.3340087808173,41.6320889391543,18.060537672371,0.0356666666666667,9182777.77777778,1689383.09204331,7493394.68573446,18.1914838816883,48255.2526478017,212375.643851901,7.22728807835191,1.24241179252668,12.5403110470069,0.161051053484603,49786010.8123488,24139649.8718762,25646360.9404726,149888.18358884,159243.670783715,32.634458659494,17.7528624558504,42.9195787630947
14,"Blackcap","Sylvia atricapilla","Passeriformes","Aves",16.5833333333333,0.7743,243003333.333333,156727697.087582,86275636.2457512,0.515866666666667,99513333.3333333,59710861.4473549,39802471.8859785,59.9620899090473,115629.026282052,77137.4652724022,66.6236170304361,38.0984743328344,46.1340809734552,0.454087563049431,87379312.1693122,52175621.3428235,35203690.8264887,114902.114897042,77526.2167280642,0.0617791036172359,12134021.1640211,7535240.10453136,4598781.05948979,121970.693379065,74439.1030336472,0.0708666666666667,27421111.1111111,15341138.0347327,12079973.0763784,56.1804665998591,215888.664756194,169529.985104457,9.15235266262,9.78840263706534,14.0016041631607,0.0564333333333333,12940138.8888889,3148367.38557451,9791771.50331438,24.3354984687739,55875.1025064105,173782.59861657,7.28830341383615,2.0088136583894,11.3494051500508,0.0839,93135000,76943058.714945,16191941.285055,82.5310640423882,916585.157731656,192537.62773352,10.8355934392354,49.093466020845,18.7676869040214,0.0472333333333333,9993750,1584271.50497512,8409478.49502487,15.8350746268657,33809.1347253558,178972.439949241,6.10013345387231,1.01084335086593,9.74722280931196,0.236312436950569,62489021.1640211,27609017.0298137,34880004.1342075,116832.687208878,147601.220588756,30.5194933424473,17.6159144445192,40.4285678460299
15,"Great Tit","Parus major","Passeriformes","Aves",17.12,0.940266666666667,341416041.666667,225982158.907806,115433882.75886,0.6746,156489333.333333,96381825.6410256,60107507.6923077,61.6833536833537,141502.663328539,88131.3710053069,71.7456040839478,42.6501924341498,52.0709398798197,0.579844863731656,132742031.226886,83011370.3314434,49730660.8954424,143161.34456588,85765.4590150117,0.0947551362683439,23747302.1064476,13370455.3095822,10376846.7968653,141105.335669799,109512.235489572,0.0731,27382333.3333333,16185324.5240848,11197008.8092486,59.1159922928709,222504.828169997,154001.243793609,7.77439024390244,7.16221342530314,9.69993258620517,0.0562333333333333,13765083.3333333,3470890.1984127,10294193.1349206,25.1825396825397,61713.0753830357,182767.14071484,5.98057288712422,1.53591337262545,8.9178262819289,0.0901333333333333,134211666.666667,108271508.468835,25940158.197832,80.7169376693767,1194792.81343314,286092.143195637,9.58593306863301,47.9115293844972,22.4718753089339,0.0462,9567625,1672610.07544861,7895014.92455139,17.3404386441907,35724.5173111652,170976.654348812,4.91349971639251,0.74015138342447,6.83942594311236,0.270288469601677,74462343.7731142,34699280.1075283,39763063.6655859,128378.691694339,147113.429308267,28.7459376348919,15.3548759226097,34.4466136937024
16,"Starling","Sturnus vulgaris","Passeriformes","Aves",73.0733333333333,1.85526666666667,698146611.111111,482504992.803446,215641618.307665,1.28746666666667,372130000,257083739.260397,115046260.739603,68.4059815937387,199748.64523783,89364.5219723002,69.3952351863164,53.2810526512257,53.3506758307953,1.14382642673522,323606122.495707,226287869.877214,97318252.6184933,197834.0984157,85081.3115904877,0.143640239931448,48523877.5042931,30795869.3831829,17728008.1211102,214395.836416593,123419.510643889,0.1548,51752888.8888889,25438573.1551155,26314315.7337734,49.1745874587459,165100.687851484,170975.930005889,8.34381400697115,5.2721885855134,12.2028001553158,0.113166666666667,25837555.5555556,4002461.11111111,21835094.4444444,15.3777777777778,35129.4496474577,192946.874408592,6.09975205720651,0.82951703522404,10.1256402246487,0.192533333333333,227420833.333333,193737545.096929,33683288.2364048,85.1018378650554,1004358.37375515,176144.135246735,10.3776635883431,40.1524435988271,15.6200312818778,0.1073,21005333.3333333,2242674.17989418,18762659.1534392,10.5960161842515,20771.0904124678,176039.068685853,5.78353516116282,0.464798129209776,8.70085250736231,0.518906906598115,147119655.282071,62479577.8293037,84640077.4527671,120406.140359379,163112.258435056,27.9693973875156,12.9490013080042,39.2503442132434
17,"Blackbird","Turdus merula","Passeriformes","Aves",85.0166666666667,1.88723333333333,601983055.555555,379412740.741396,222570314.81416,1.2716,263652777.777778,157633225.442138,106019552.33564,59.9152249134948,124683.573325597,83883.3899930841,67.3790557606373,41.5466347108198,47.6341835721281,1.09102169432314,222751967.14112,136218383.777342,86533583.3637782,124853.964395135,79314.2646145661,0.180578305676856,40900810.6366576,21414841.6647956,19485968.971862,118590.334450902,107908.693122484,0.1714,59445277.7777778,28264485.7240949,31180792.0536829,47.540074906367,164897.20616353,181624.441021405,9.08207782114913,7.44953521298845,14.0094118479897,0.124566666666667,27806111.1111111,4262746.11111111,23543365,15.3111111111111,34196.3401523824,190831.897821509,6.60049101859865,1.12351158866765,10.5779447810271,0.2125,228838888.888889,186729576.797386,42109312.0915033,81.3440307768677,875818.406580172,197832.863292076,11.2598689439568,49.2154207664467,18.9195545356817,0.107166666666667,22240000,2522706.66666667,19717293.3333333,11.3666666666667,23561.4810584849,184933.447329818,5.67850645565819,0.664897721077353,8.85890526317346,0.583711639010189,150392199.525546,56464780.1666683,93927419.3588782,96734.0316571667,160914.076543262,30.9294896767855,14.8821518371609,42.2012339953354
18,"Azure-Winged Magpie","Cyanopica cyanus","Passeriformes","Aves",84.11,3.39265,1090083958.33333,740589143.762984,349494814.570349,2.594,674956250,454253593.75,220702656.25,67.25,178316.22476638,85675.6667797716,76.4594048899827,61.3367880930453,63.1490503003086,2.21811846743295,585766209.413541,399694865.475649,186071343.937893,180195.454545861,83887.0180605074,0.37588153256705,89190040.5864586,54558728.2743514,34631312.3121072,145148.733170654,92133.5828222145,0.21685,73858333.3333333,35345088.762984,38513244.5703494,47.9416430594901,163796.625415374,177403.414075554,6.39175865473892,4.77256371642084,11.0196898393745,0.1708,34189375,4987891.25,29201483.75,14.7,28982.4740358443,169305.553135387,5.03441262729725,0.673503155157823,8.35534106161168,0.2707,280950000,243489600,37460400,86.55,898582.976726125,139715.598555894,7.97901345555834,32.8778246414487,10.7184422882073,0.1403,26130000,2512970,23617030,9.6,17762.1567582319,167097.136453916,4.13541037242274,0.339320393927384,6.75747651049803,0.90383153256705,223367748.919792,97404678.2873353,125963070.632457,107768.621449495,139365.651776607,26.64087166572,13.1523232696088,36.0414705400734
19,"Hill Mynah","Gracula religiosa","Passeriformes","Aves",262.075,3.6696,1286922083.33333,906127445.751599,380794637.581734,2.5772,683515000,484293705,199221295,70.8,188075.63264418,77645.9528930953,70.2310878569871,53.4465330755208,52.3172532746706,2.16077293013936,572027558.387745,410330362.287574,161697196.100171,189899.806945985,74833.0349037381,0.416427069860643,111487441.612255,73963342.7124261,37524098.8998291,177614.156392806,90109.6533238977,0.3227,106385000,47973775,58411225,45.1,148919.187796515,181433.234043298,8.79387399171572,5.29437390125707,15.33929820308,0.18385,41204166.6666667,4899354.16666667,36304812.5,11.95,26645.8477792858,197991.266440999,5.01008284281666,0.540691509747046,9.53396106903094,0.3674,417591666.666667,365738325.870647,51853340.7960199,87.581592039801,996532.519643401,141203.707134305,10.0119904076739,40.3627908618616,13.6171404947608,0.21845,38226250,3222285.71428571,35003964.2857143,8.42857142857143,14768.631518803,161061.155415031,5.95296490080663,0.355610651613466,9.19234695845763,1.14142706986064,297302858.278922,130058757.593379,167244100.685543,113943.992592761,146521.93302719,31.1049452218401,14.3532522056541,43.9197625648407
20,"Eurasian Jay","Garrulus glandarius","Passeriformes","Aves",159.99,4.59683333333333,1569841666.66667,1085422712.66363,484418954.003038,3.36046666666667,883022222.222222,600489866.666667,282532355.555556,67.4666666666667,182094.375781366,84210.9877063486,73.1039483702549,55.3231344489801,58.3239679663285,2.85408959781868,763775777.905232,528769751.580437,235006026.324795,185267.397346098,82340.1012022905,0.506377068847989,119246444.31699,71720115.0862293,47526329.2307609,141633.81301881,93855.6110743395,0.369266666666667,105568333.333333,45946189.8809524,59622143.452381,43.6482142857143,124820.231683094,161112.324990916,8.03306624125304,4.23302270579914,12.3079708090875,0.250533333333333,54593333.3333333,6748647.61904762,47844685.7142857,12.352380952381,26897.1553195425,190792.010094634,5.45012871179435,0.621752939229218,9.87671628430659,0.4114,488941666.666667,429353599.358974,59588067.3076923,87.8346153846154,1044572.68876556,144331.244155567,8.94963924440738,39.55634927754,12.3009363723862,0.205166666666667,37716111.1111111,2884409.13798754,34831701.9731236,7.65765322844969,14058.8283934188,169593.66116742,4.46321743229034,0.265740628451491,7.19040856789124,1.33134373551466,317124222.094768,127299361.724217,189824860.370551,95617.2011242513,142581.405017218,28.9621928613463,11.7280908386212,39.1860926997007
21,"Magpie","Pica pica","Passeriformes","Aves",178.55,5.42526666666667,1433243333.33333,897273540.5022,535969792.831133,4.19326666666667,814580000,497941887.638103,316638112.361896,61.1057126286791,119910.523730304,76166.2108802651,77.2914388232836,55.4949929047732,59.0776041107337,3.71385014477281,723119519.936521,443186709.901421,279932810.0351,119333.492904984,75375.3649508721,0.479416521893854,91460480.0634794,54755177.736683,36705302.3267965,114212.120851367,76562.4475806515,0.318466666666667,106725000,40437416.0649819,66287583.935018,37.8818291215403,127891.871952307,209105.978110243,5.87006475872154,4.50669882033402,12.3677835619932,0.2628,57158333.3333333,6828406.52680653,50329926.8065268,11.8962703962704,25990.9850883128,191641.427057248,4.84400152373463,0.761017261579418,9.39044093150677,0.453433333333333,413979166.666667,349250748.931624,64728417.7350427,84.2985155195682,772827.38696615,142835.956004672,8.35780729672274,38.9235537622284,12.0768779511118,0.1973,40800833.3333333,2815081.34068392,37985751.9926494,6.91497283477149,14429.7750680555,193622.493206056,3.63668759753745,0.313737251084919,7.08729344465453,1.25798318856052,296144646.730146,104836081.669155,191308565.060991,83336.63169944,152075.613410939,23.1874904194053,11.6838485631125,35.6939080559836
22,"Jackdaw","Corvus mondeula","Passeriformes","Aves",209.73,6.02326666666667,1533904861.11111,967985019.100819,565919842.010292,4.70546666666667,908088888.888889,541365466.666667,366723422.222222,59.6,114803.415215422,77812.4549354667,78.121506602176,55.9270501076093,64.8013013502984,4.16500845478935,809876280.273618,491677870.883931,318198409.389687,118049.669339458,76398.0224394958,0.540458211877311,98212608.6152707,49687595.7827356,48525012.8325351,91936.0547971748,89784.9487085798,0.339,95297222.2222222,40939888.8888889,54357333.3333333,42.8777777777778,120845.209461088,160520.605487052,5.62817518732914,4.22939281921107,9.60512943674888,0.280266666666667,58169305.5555556,6821987.98970784,51347317.5658477,11.6516600265604,24151.4248002484,183229.103909367,4.65306754917044,0.704761732371119,9.07324920494905,0.4827,433286111.111111,375464838.888889,57821272.2222222,86.6,776845.515492355,120138.741421622,8.01392378443591,38.788290260697,10.2172194593542,0.215833333333333,39063333.3333333,3392836.66666667,35670496.6666667,8.66666666666667,15788.5990752605,165879.893756714,3.58332687688851,0.350505080111502,6.30310054864942,1.37555821187731,290742469.726382,100842309.327999,189900160.398383,73310.0994616383,138053.161806372,22.8374117900139,10.4177551654336,33.5560173546503
23,"Rook","Corvus frugilegus","Passeriformes","Aves",429.333333333333,8.35713333333333,2364273809.52381,1508720534.09765,855553275.426164,6.6478,1480053333.33333,917852525.208756,562200808.124577,62.0594899571203,138449.72330965,84490.8514806067,79.5464154375105,60.8364839256143,65.7119578958465,5.76906781609195,1298851107.1769,820304589.83256,478546517.344343,142190.145094922,82950.405958049,0.878732183908046,181202226.15643,97547935.376196,83654290.7802342,111009.858478569,95198.8470573511,0.4247,122293333.333333,42724533.3333333,79568800,35.030303030303,100582.178302806,187620.208728527,5.08188613320357,2.83183879106455,9.30027413668255,0.321766666666667,61614444.4444444,7561853.33333333,54052591.1111111,12.1962962962963,23435.4140819861,167924.390496589,3.85020381789609,0.501209678163227,6.31785216229658,0.6566,638423809.52381,536279600,102144209.52381,83.9666666666667,816899.071081916,156298.054896562,7.85676109032603,35.5453238608398,11.9389653990781,0.306266666666667,61888888.8888889,4302022.22222222,57586866.6666667,7.03333333333333,14023.9347074684,188065.0141268,3.66473352106384,0.28514374431811,6.73095040609619,1.93146551724138,426998892.823097,152136344.265085,274862548.558012,78767.3105768795,142307.768947687,23.1115795357425,10.0837988763821,32.1268770107973
24,"Raven","Corvus corax","Passeriformes","Aves",1070.66666666667,14.1351,3413528313.49206,2170677585.54869,1242850727.94337,11.3068666666667,2145972222.22222,1355336051.68671,790636170.535515,63.1988755288354,120146.746864555,70140.5184157547,79.9914161673187,62.438386092429,63.6147328685105,10.1954894038402,1898115608.20445,1204033622.93621,694081985.268242,118094.735352548,68077.3583077643,1.1113772628265,247856614.017769,151302428.750495,96554185.2672732,136139.575472057,86877.9562951585,0.622933333333333,157783333.333333,47652650.9649984,110130682.368335,30.331968783588,76946.1895355628,176463.826928998,4.40699629527441,2.19528921670572,8.8611351220412,0.5698,105007777.777778,10151297.0123214,94856480.7654563,9.5459273797841,17659.2188263694,166732.109779302,4.03109988609914,0.46765567949399,7.63217002917331,1.14543333333333,927600694.444445,753640360.05063,173960334.393815,81.2339354132458,660806.196152771,152961.917502551,8.10346819855065,34.7191294123088,13.9968807582934,0.490066666666667,77164285.7142857,3897225.83403432,73267059.8802514,5.05868045229551,7958.51382591926,149646.799735245,3.46701945275708,0.17953959906253,5.8950812219816,2.7941772628265,587812010.843165,213003602.56185,374808408.281316,76231.2418025986,134139.094633593,19.767651186242,9.81277016816885,30.157154021347
25,"Rock Pigeon","Columba livia","Columbiformes","Aves",322.466666666667,2.0951,572141791.968254,309958203.676756,262183588.291498,1.09546666666667,185372288,83354629.8115556,102017658.188444,44.7555555555556,76763.3581423801,93181.0431983355,52.287082557714,26.8922160545501,38.9107719721267,0.914815532105662,155743363.42298,71862006.6541887,83881356.7687914,78553.5489201648,91692.0994724683,0.180651134561004,29628924.5770199,11492623.1573668,18136301.419653,63617.7745868841,100394.063196589,0.281433333333333,65310555.5555556,23764326.3888889,41546229.1666667,36.325,84257.7329802504,148032.975996663,13.4329308068032,7.66694544844887,15.8462356234423,0.1899,39665059.5238095,2810741.65530528,36854317.8685042,7.10387275242047,14841.448038769,194227.686098667,9.06400649133693,0.906813119305756,14.0566837568526,0.3319,245324444.444444,197719191.111111,47605253.3333333,80.5666666666667,595458.660633945,143630.71831234,15.8417259319364,63.7889846972095,18.1572209166675,0.1964,36469444.4444444,2309314.70989481,34160129.7345496,6.34692636423406,11724.2230568528,173389.868832539,9.37425421220944,0.745040680485782,13.0290877309109,0.848384467894338,171073984.100829,40377005.9114558,130696978.189374,47592.8160397257,154053.94975436,40.4937457827472,13.0265969516211,49.8494124064178
26,"Red Junglefowl","Gallus gallus","Galliformes","Aves",861.333333333333,2.81946666666667,507524646.464647,220839856.866626,286684789.598021,1.5674,205771388.888889,73793010.4166667,131978378.472222,35.9,47331.2409103291,84581.389499974,55.5920741511397,33.4147157418388,46.0360588565852,1.33498764342454,170226652.61704,60665020.0643518,109561632.552689,45442.3832034375,82069.3982392519,0.232412356575463,35544736.2718484,13127990.3523149,22416745.9195335,56485.7675631041,96452.4702982169,0.344933333333333,70883333.3333333,25496350,45386983.3333333,36.1666666666667,74142.937450701,131095.789650362,12.2339922443961,11.5451759305379,15.8316677340899,0.245066666666667,42434090.9090909,4018051.68829864,38416039.2207923,9.43459470325142,16337.8457765207,156385.230593782,8.69195119644377,1.81944135687667,13.4000967664374,0.369066666666667,142727500,114451830.833333,28275669.1666667,80.1666666666667,306868.140175156,75803.759554009,13.0899460890949,51.8257131920057,9.86298199018993,0.293,45708333.3333333,3080613.92832724,42627719.4050061,6.74663156601223,10552.9606782099,145558.261228938,10.3920363189256,1.39495377874101,14.8691946526975,1.11541235657546,194570493.847606,45723005.9689407,148847487.878665,40992.0203047772,133446.152896904,39.5611116727323,20.7041458084963,51.9202599089313
27,"Barn Owl","Tyto alba","Strigiformes","Aves",369.666666666667,5.61765717502074,1212030555.55556,689543961.108367,522486594.447189,4.14136113283564,792738888.888889,453726640.387016,339012248.501873,57.2468789013733,110007.418673229,82148.4714230844,73.7204319133333,65.8009736837808,64.8843916963192,3.85212525140156,749795287.107259,437246877.783493,312548409.323766,113507.959696898,81136.6165235797,0.289235881434086,42943601.7816299,16479762.6035237,26463839.1781062,56976.8955421919,91495.6991051506,0.192031283327408,34720138.8888889,9334511.22994653,25385627.6589424,26.8561497326203,48518.4687193249,132138.289602119,3.41835176737533,1.3537224247374,4.85861798728087,0.3472293162697,57284166.6666667,7542807.04545455,49741359.6212121,13.1545454545455,21693.4837822104,143120.167640705,6.181034289769,1.093883417285,9.52012169304371,0.510078623059604,268833333.333333,214309656.084656,54523677.2486772,79.7252747252747,423000.614711548,106489.166536209,9.07991725318698,31.0799119667696,10.435421277433,0.42695681952838,58454027.7777778,4630346.36129356,53823681.4164842,7.91663929939792,10829.5989860408,125849.985853764,7.60026477633542,0.671508507427254,10.3014473459232,1.25545330055958,193401935.114963,37987427.2402184,155414507.874745,30257.9372910858,123791.548284173,22.3483431160952,5.50906532183354,29.7451665796669
28,"Emu","Dromaius novaehollandiae","Struthioniformes","Aves",32600,21.81085,2864054166.66667,1335397760.77804,1528656405.88863,14.2377,1336933333.33333,471566200,865367133.333333,35.325,33296.2497690366,60845.2527140882,65.2780611484651,35.3127894811845,56.6096560351823,12.9785751353162,1203846500.61343,439300260.56646,764546240.046967,33848.1116753004,58908.3340871948,1.25912486468379,133086832.719906,32265939.43354,100820893.286366,25625.6868071961,80072.1962644155,1.1837,157350000,33716200,123633800,21.45,28515.9937681262,104424.443739803,5.42711540357208,2.52480579122404,8.08774290440565,1.21805,134466666.666667,10223700,124242966.666667,7.55,8347.93967710656,101933.423251022,5.58460582691642,0.765592117965167,8.12759271397176,3.3985,1045662500,814613737.5,231048762.5,77.9,239900.779048065,68102.6921559613,15.5816944318997,61.0015803100781,15.1144993479217,1.7729,189641666.666667,5277923.27803823,184363743.388628,2.75254688063469,2953.65744398679,103836.01874386,8.12852318914669,0.395232299548201,12.0605089985186,5.43377486468379,614545166.05324,81483762.7115783,533061403.341661,14995.792932308,98101.4886734145,24.913173327421,6.10183460724868,34.8712373354943
