dataset,cited_source,protocol_implied,n_species,n_in_macleod_table,median_pct_vs_stephan_raw,median_pct_vs_macleod
DeCasien_Higham_2019,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,15,8,9.6,3.5
DeCasien_Higham_2019,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,40,2,0,14.3
DeCasien_Higham_2019,other,unstated,13,8,16.1,4.2
Smaers_etal_2018,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,17,10,9.6,3.5
Smaers_etal_2018,Maseko et al. 2012,unstated,25,0,7.7,NA
Smaers_etal_2018,Smaers et al. 2011,unstated,8,0,13.6,NA
