dataset,species_key,cited_source,protocol_implied,dataset_value_mm3,stephan_1981_cerebellum_mm3,matano_1985b_ventral_pons_mm3,stephan_minus_pons_mm3,macleod_2003_cerebellum_mm3,pct_vs_stephan_raw,pct_vs_stephan_minus_pons,pct_vs_macleod,in_macleod_table
DeCasien_Higham_2019,alouatta seniculus,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,4150,NA,394.3,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,aotus trivirgatus,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,1750,1873,112.1,1760.9,NA,6.6,0.6,NA,FALSE
DeCasien_Higham_2019,ateles paniscus,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,10366.7,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,cebus apella,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,6450,NA,NA,NA,6450,NA,NA,0,TRUE
DeCasien_Higham_2019,cercocebus torquatus atys,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,8650,NA,NA,NA,8650,NA,NA,0,TRUE
DeCasien_Higham_2019,erythrocebus patas,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,7900,8738,814.5,7923.5,NA,9.6,0.3,NA,FALSE
DeCasien_Higham_2019,gorilla gorilla gorilla,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,59380,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,hylobates lar,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,12188.9,12078,1167.9,10910.1,11625,0.9,10.5,4.6,TRUE
DeCasien_Higham_2019,lophocebus albigena,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,11700,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,macaca mulatta,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,8085.7,8965,639.2,8325.8,7233.3,9.8,2.9,10.5,TRUE
