"Code","Definition","Structure","Measure","Stat","role","taxon","Reference","Note","Source Note"
"source_row","row number in Dataset S1","","","","info","Aves","Olkowicz_etal_2016_DatasetS1","1–28",""
"Species_Olkowicz2016_common","common species name printed in Dataset S1","","","","info","Aves","Olkowicz_etal_2016_DatasetS1","preserved verbatim","Species Common name"
"Species_Olkowicz2016","scientific species name printed in Dataset S1","","","","info","Aves","Olkowicz_etal_2016_DatasetS1","preserved verbatim; not yet resolved through a bird taxonomy backbone","Species Scientific name"
"order_printed","avian order printed in Dataset S1","","Class","","info","Aves","Olkowicz_etal_2016_DatasetS1","preserved verbatim","Order"
"Class","vertebrate class","","Class","","info","Aves","Olkowicz_etal_2016_DatasetS1","explicit non-mammal gate",""
"body_mass_g","mean body mass","Body","Mass.g","mean","primary","Aves","Olkowicz_etal_2016_DatasetS1","species mean over available individuals","Body mass (g)"
"whole_brain_mass_g","mean whole brain mass","WholeBrain","Mass.g","mean","primary","Aves","Olkowicz_etal_2016_DatasetS1","species mean over available individuals; isotropic fractionator","Whole brain Mass          (g)"
"whole_brain_cell_count","mean estimated total cell number in whole brain","WholeBrain","Cells.n","mean","primary","Aves","Olkowicz_etal_2016_DatasetS1","species mean over available individuals; isotropic fractionator","Whole brain # Cells"
"whole_brain_neuron_count","mean estimated neuron number in whole brain","WholeBrain","N.n","mean","primary","Aves","Olkowicz_etal_2016_DatasetS1","species mean over available individuals; isotropic fractionator","Whole brain # Neurons"
"whole_brain_nonneuronal_cell_count","mean estimated non-neuronal cell number in whole brain","WholeBrain","O.n","mean","primary","Aves","Olkowicz_etal_2016_DatasetS1","species mean over available individuals; isotropic fractionator","Whole brain # Nonneuronal cells"
"telencephalon_mass_g","mean telencephalon mass","Telencephalon","Mass.g","mean","primary","Aves","Olkowicz_etal_2016_DatasetS1","species mean over available individuals; isotropic fractionator","Telencephalon Mass          (g)"
"telencephalon_cell_count","mean estimated total cell number in telencephalon","Telencephalon","Cells.n","mean","primary","Aves","Olkowicz_etal_2016_DatasetS1","species mean over available individuals; isotropic fractionator","Telencephalon # Cells"
"telencephalon_neuron_count","mean estimated neuron number in telencephalon","Telencephalon","N.n","mean","primary","Aves","Olkowicz_etal_2016_DatasetS1","species mean over available individuals; isotropic fractionator","Telencephalon # Neurons"
"telencephalon_nonneuronal_cell_count","mean estimated non-neuronal cell number in telencephalon","Telencephalon","O.n","mean","primary","Aves","Olkowicz_etal_2016_DatasetS1","species mean over available individuals; isotropic fractionator","Telencephalon # Nonneuronal cells"
