Species,Cerebellar_section_area,Cerebellar_section_length,Cerebral_section_area,Cerebral_section_length,Folial_perimeter_median,Folial_width_median,Molecular_layer_thickness_median
Ailurus fulgens,157.28422358318,251.5177455954,396.8752479568,164.7050676422,2.35322062747,0.865360712138,0.211721
Alouatta palliata,182.35020784984,231.3379706354,606.9332948107,229.1880648625,5.36663328513,1.499532400145,0.244158
Aotus trivirgatus,114.89076445908,170.5011941224,439.5293452311,141.6035217178,5.27315773218,1.460221478958,0.268048
Aplodontia rufa,88.86929807273,135.5861152159,120.2267123648,49.3116291510,2.14586629576,0.899859467193,0.171626
Bassariscus astutus,90.09787582234,202.3658252303,208.1849913433,113.4685297229,1.94165630815,0.734816472967,0.161908
Bos taurus indicus,662.34444712364,529.7320237201,2560.3388187360,647.7995743760,4.02993745709,1.340185878276,NA
Canis lupus familiaris,293.92737574358,368.9651477619,838.7154283488,263.3396492663,2.57102021138,1.335376369799,0.280959
Capra hircus domestica,220.04436586742,395.4425538596,695.9826090670,333.4490785801,2.36831713914,0.959015863042,0.200075
Castor canadensis,141.69112140284,168.0291917041,326.1960889123,81.6284525036,3.01603364233,1.313456865028,0.191026
Cavia porcellus,25.59526563595,44.0871256715,73.2252813049,43.0647688788,2.09505742273,0.550966819206,0.153721
Chinchilla laniger,47.00839593257,95.7863395211,94.5560215487,45.1080007064,2.18576436454,0.968126769148,0.154894
Choloepus didactylus,212.83968430002,206.7646670039,283.7084069905,118.6842113007,3.24169224797,1.514743909251,0.215893
Crocuta crocuta,325.32891488177,376.4137977612,1151.2698339776,296.0847240662,3.20375727324,1.248581512163,0.332056
Cynictis penicillata,87.03875854969,127.3705274704,207.6128874730,95.4173225015,3.14549820156,1.202021921793,0.200797
Cynocephalus volans,44.54387034141,78.2030009091,102.8206590172,65.3715235204,4.05138665403,1.854524101889,0.206183
Dasypus novemcinctus,160.87314519614,186.3493519700,175.9445437965,65.7566688541,2.60686434690,1.079871530065,0.198879
Elephantulus myurus,31.92668580669,82.8620438834,77.4897774195,38.5285367286,2.00399522203,1.488311687023,0.158686
Equus burchelli,663.04282174546,594.3207642260,2227.2927656131,575.9764364331,4.09306891288,1.798252639255,NA
Erethizon dorsatum,134.47176665956,205.8706557972,308.4764354897,94.4127615487,2.46802072543,1.163720507250,0.216553
Erinaceus europaeus,28.26790506169,69.7872190594,71.2800010691,40.5441253396,2.81419104583,0.917566639381,0.155327
Eulemur mongoz,106.72471963439,155.8591681930,309.5932500783,124.3648024596,2.98239720329,1.017352407734,0.206156
Felis catus,119.84660522751,196.4067551586,379.6931121812,161.1598681601,2.01459802993,0.919179342588,0.188907
Galictis vittatus,102.57303578856,246.5553297164,297.7112451830,146.9064510944,3.77148639866,1.279115229638,0.177448
Homo sapiens,2356.47061146875,2667.3746545682,7832.5806644249,1290.6563787240,2.83890519569,1.367997201768,0.292630
Lama glama,391.16801400020,490.9959535241,1263.1556118686,413.9833334160,3.01504348461,1.393551976630,0.277680
Macaca mulatta,373.11268834204,433.0646151802,1114.7664602917,299.8611628950,3.76022711304,1.265584344300,0.174406
Macaca nemestrina,283.12780074379,405.6973159652,1187.4884306718,417.1315794751,2.78770338534,1.059082964751,0.274585
Macropus fuliginosus,181.09300859490,300.2475109115,391.4073645889,146.7398701985,2.31018859545,0.949160824026,0.232949
Mandrillus sphinx,295.81887697864,452.4943648480,1127.4713460639,397.1797492001,2.23382133056,0.968368297444,0.287488
Mustela erminea,24.35541317896,51.6574899094,64.3642996523,50.4853474221,2.38079215485,0.825559504463,0.219350
Myrmecophaga tridactyla,248.69588065855,321.9015720149,454.4830441031,124.1856151819,3.07049748345,1.075937715739,0.246509
Nasua narica,172.25183465718,246.3505674982,327.8915801510,154.7194412913,1.81806787016,0.781056674000,0.183606
Neogale vison,45.19920162442,95.9525391679,147.2236410615,102.7982013783,2.07796805369,0.685011284902,0.138601
Odocoileus virginianus,354.02368114213,380.8355177789,1015.0800690947,382.5058640213,3.75182432628,1.370950441909,0.331883
Oryctolagus cuniculus,77.16839313017,165.2522361577,140.4312206341,58.7028522086,2.68098064799,0.950024415605,0.182976
Ovis aries domestica,436.94393677588,405.1490376608,929.7821037427,316.5492037314,4.04829320074,1.628484291098,NA
Pan troglodytes,935.34011976770,953.1478000981,2393.3273394828,714.1050917177,3.11086340489,1.305895764131,NA
Panthera leo,638.30172916800,522.2665665416,1881.7197602303,520.0123476375,3.21835314607,1.525655870603,0.339366
Pecari tajacu,218.54196899359,265.2035497034,348.1671281113,170.3381006712,3.56316529063,1.614226630578,0.232494
Perodicticus potto,66.51684892139,146.3733213443,185.8268156798,106.9640822946,2.77495053445,0.752160421603,0.181923
Phoca vitulina,498.87387128446,606.2502888163,1357.8189665533,523.1225424785,2.10759661867,0.939635626889,NA
Procavia capensis,60.83644668847,117.3657962951,213.0711852034,96.7645894578,3.81096454059,0.906868616226,0.176910
Pteropus giganteus,80.29298959635,127.4539105133,177.8537626014,74.7986752877,3.34528650889,1.192554145707,0.182171
Saimiri sciureus,67.24864056903,151.9393435985,293.3466818100,158.4198809310,3.22620420237,0.900226123108,0.164569
Scalopus aquaticus,12.30410602995,29.9071609638,33.1164437403,28.6894335325,1.88483223979,0.520900611953,0.108251
Semnopithecus entellus,342.62886519820,518.1180603143,1107.6307815533,342.2953205963,3.09055990831,1.053894023512,0.273802
Sorex araneus,8.45197462989,23.7863672515,23.8195085745,22.4952516251,NA,NA,0.101187
Sus scrofa domesticus,321.77409040452,384.9856674919,612.7736296272,250.8470169837,2.49273768046,1.179016978537,0.326079
Tamandua tetradactyla,156.26540440544,231.7287517828,272.0012892054,97.8279863123,3.61336430455,0.978821951310,0.200670
Taxidea taxus,150.31372960807,220.9722269942,452.4590923206,175.1836777712,3.02657312245,1.318199310118,0.200910
Tenrec ecaudatus,46.41694457952,66.2539645776,123.6608032321,55.5551689826,3.57067361422,1.733616922901,0.223516
Thomomys talpoides,42.61843429847,87.9524992620,50.6250461825,30.7142922593,1.41333357441,0.682171818250,0.164461
Trichechus manatus latirostris,842.42412684776,914.5113758043,2005.8067322982,294.2413058738,3.78745275911,1.509118744350,0.214463
Tupaia glis,28.25321001813,79.7764668862,72.9207561094,49.6748632533,1.41934511641,0.947358546037,0.123921
Ursus maritimus,843.52861282854,676.4005756552,2021.8164584624,529.8919230660,2.89048090317,1.309556224851,NA
Zalophus californianus,1096.13864344423,1104.9672201106,1869.7767541140,729.1037643478,2.60149983919,1.155298980935,NA
