"label_as_printed","marker_id","assignment_method","distance_pt","functional_interaural_distance_us","high_freq_hearing_limit_60dB_kHz","validation","koay_us","koay_kHz","pct_diff_us","pct_diff_kHz","confidence"
"Alpaca","m067","nearest_to_label","8.63","461.962","34.3847","no_koay_counterpart","","","","","nearest_label_unvalidated"
"Black-tailed","m034","leader_line","2.74","119.559","25.9934","consistent_with_Koay1998","134.448687079661","26.1340652554299","-11.1","-0.5","AMBIGUOUS_marker_claimed_by_2_labels"
"Blindmolerat","m018","leader_line","1.81","84.7379","5.97943","consistent_with_Koay1998","88.4733382883108","5.85660655141258","-4.2","2.1","validated_vs_Koay1998"
"Cat","m053","leader_line","2.47","257.214","78.6979","consistent_with_Koay1998","258.824374766844","79.5794229240704","-0.6","-1.1","validated_vs_Koay1998"
"Cattle","m077","leader_line","2.47","1286.56","34.753","consistent_with_Koay1998","1282.02978692425","35.1539843356981","0.4","-1.1","validated_vs_Koay1998"
"Chimpanzee","m072","nearest_to_label","6.45","653.637","28.332","CHECK_disagrees_with_Koay1998","657.129829432734","23.0588920323534","-0.5","22.9","CHECK_value_differs_from_Koay1998"
"Chinchilla","m050","leader_line","2.74","225.129","32.2355","consistent_with_Koay1998","227.740585981287","33.1299696579631","-1.1","-2.7","AMBIGUOUS_marker_claimed_by_2_labels"
"Chipmunk","m023","leader_line","2.73","89.6001","51.7346","CHECK_disagrees_with_Koay1998","108.594502660992","52.5443674661784","-17.5","-1.5","CHECK_value_differs_from_Koay1998"
"Commonvampirebat","m033","nearest_to_label","20.06","119.055","91.7491","no_koay_counterpart","","","","","AMBIGUOUS_marker_claimed_by_2_labels"
"Cottonrat","m011","leader_line","2.34","64.905","72.4114","consistent_with_Koay1998","66.6102939742458","72.0905365060763","-2.6","0.4","validated_vs_Koay1998"
"Cottontail","m035","star_symbol_caption","","121.391","56.1656","consistent_with_Koay1998","123.204223088872","56.4940472440078","-1.5","-0.6","validated_vs_Koay1998"
"Darwin'smouse","m009","leader_line","2.5","63.7696","74.2815","consistent_with_Koay1998","64.1893210608206","74.0157705962958","-0.7","0.4","validated_vs_Koay1998"
"Dog-facedfruitbat","m005","leader_line","2.74","60.7221","67.7108","no_koay_counterpart","","","","","leader_line_unvalidated"
"Domesticmouse","m001","nearest_to_label","12.94","39.7242","91.4983","CHECK_disagrees_with_Koay1998","61.8615718553541","79.0568095236125","-35.8","15.7","AMBIGUOUS_marker_claimed_by_2_labels"
"Domesticrabbit","m052","star_symbol_caption","","247.742","49.4975","consistent_with_Koay1998","252.869453971435","49.1938881917886","-2.0","0.6","validated_vs_Koay1998"
"Egyptianfruitbat","m029","leader_line","2.47","114.341","76.1991","CHECK_disagrees_with_Koay1998","138.762373264572","64.0281898690842","-17.6","19.0","CHECK_value_differs_from_Koay1998"
