"Species","Species_Turner2016","case","case_number","hemisphere","age_years","sex","brain_weight_g","Brain_Mass.mg","brain_surface_area_cm2","CorticalSurface_Area.mm2","taxon_note","case_note","specimen_overlap","dedupe_status","source"
"Macaca radiata","M. radiata","12-58 LH","12-58","LH",7.5,"M",25,25000,100.6,10060,NA,"table footnote: frontal eye field and surrounding areas are missing","one specimen, two hemispheres (LH + RH rows); average to one per-hemisphere value","include","Turner_etal_2016_Table1"
"Macaca radiata","M. radiata","12-58 RH","12-58","RH",7.5,"M",24.8,24800,103.4,10340,NA,"table footnote: frontal eye field and surrounding areas are missing","one specimen, two hemispheres (LH + RH rows); average to one per-hemisphere value","include","Turner_etal_2016_Table1"
"Macaca nemestrina","M. nemestrina","11-47","11-47","RH",11,"F",36.4,36400,151.8,15180,NA,NA,NA,"include","Turner_etal_2016_Table1"
"Macaca mulatta","M. mulatta","10-50","10-50","LH",14.2,"M",33.2,33200,152.3,15230,NA,"table footnote: A-P coordinates could not be obtained","different individual from the Finlay_etal_2006_Table6.1 macaque (both kept, flagged)","include","Turner_etal_2016_Table1"
"Papio cynocephalus anubis","PHX","9-27","9-27","RH",12.6,"F",56.3,56300,186,18600,"PHX = P. hamadryas anubis/cyncephalus hybrid (printed spelling; = cynocephalus) - table footnote",NA,"same specimen as Collins_etal_2010_DatasetS1 case 09-27 (Collins cortical surface 18577 mm2 vs 18600 mm2 here)","exclude_duplicate_Collins2010","Turner_etal_2016_Table1"
"Papio cynocephalus anubis","PHA","11-31","11-31","RH",13,"F",50,50000,234,23400,"PHA = P. hamadryas anubis - table footnote",NA,"also appears in Young_etal_2013_b (excluded from merges); Turner is the merged surface source for this baboon","include","Turner_etal_2016_Table1"
