check,variable,code,archive_number,code_2010,species,value_2009_converted,value_2010,diff,tolerance,status
A value audit vs deSousa_etal_2010_Table1,left V1,ggy,YN82-140,YN82–140,Gorilla gorilla,4.044,4,0.0440000000000005,0.05,match
A value audit vs deSousa_etal_2010_Table1,left V1,hld,Disco,Disco 3/97,Hylobates lar,2.292,2.3,-0.00799999999999956,0.05,match
A value audit vs deSousa_etal_2010_Table1,left V1,hs5,54491,54491,Homo sapiens,7.587,7.6,-0.0129999999999999,0.05,match
A value audit vs deSousa_etal_2010_Table1,left V1,hs6,6895,6895,Homo sapiens,7.013,7,0.0129999999999999,0.05,match
A value audit vs deSousa_etal_2010_Table1,left V1,mf2,ma22,ma22,Macaca fascicularis,1.357,1.4,-0.0429999999999999,0.05,match
A value audit vs deSousa_etal_2010_Table1,left V1,ouy,YN85-38,YN85–38,Pongo pygmaeus,3.504,3.5,0.004,0.05,match
A value audit vs deSousa_etal_2010_Table1,left V1,ppz,Zahlia,Zahlia 1/97,Pan paniscus,5.687,5.7,-0.0129999999999999,0.05,match
A value audit vs deSousa_etal_2010_Table1,left V1,ptb,Bathsheba,Bathsheba 4/97,Pan troglodytes,4.705,4.7,0.00499999999999989,0.05,match
A value audit vs deSousa_etal_2010_Table1,left V1,ptd,1548,1548,Pan troglodytes,2.799,2.8,-0.00099999999999989,0.05,match
A value audit vs deSousa_etal_2010_Table1,left LGN,ggy,YN82-140,YN82–140,Gorilla gorilla,0.15,0.2,-0.05,0.05,match
A value audit vs deSousa_etal_2010_Table1,left LGN,hld,Disco,Disco 3/97,Hylobates lar,0.09,0.1,-0.01,0.05,match
A value audit vs deSousa_etal_2010_Table1,left LGN,hs5,54491,54491,Homo sapiens,0.186,0.2,-0.014,0.05,match
A value audit vs deSousa_etal_2010_Table1,left LGN,hs6,6895,6895,Homo sapiens,0.156,0.2,-0.044,0.05,match
A value audit vs deSousa_etal_2010_Table1,left LGN,mf2,ma22,ma22,Macaca fascicularis,0.046,0.046,0,0.05,match
A value audit vs deSousa_etal_2010_Table1,left LGN,ouy,YN85-38,YN85–38,Pongo pygmaeus,0.092,0.1,-0.00800000000000001,0.05,match
A value audit vs deSousa_etal_2010_Table1,left LGN,ppz,Zahlia,Zahlia 1/97,Pan paniscus,0.13,0.1,0.03,0.05,match
A value audit vs deSousa_etal_2010_Table1,left LGN,ptb,Bathsheba,Bathsheba 4/97,Pan troglodytes,0.168,0.2,-0.032,0.05,match
A value audit vs deSousa_etal_2010_Table1,left LGN,ptd,1548,1548,Pan troglodytes,0.086,0.1,-0.014,0.05,match
A value audit vs deSousa_etal_2010_Table1,neocortex,ggy,YN82-140,YN82–140,Gorilla gorilla,254,254.3,-0.300000000000011,0.5,match
A value audit vs deSousa_etal_2010_Table1,neocortex,hld,Disco,Disco 3/97,Hylobates lar,77,77,0,0.5,match
A value audit vs deSousa_etal_2010_Table1,neocortex,hs5,54491,54491,Homo sapiens,974,,,0.5,2009 only
A value audit vs deSousa_etal_2010_Table1,neocortex,hs6,6895,6895,Homo sapiens,974,,,0.5,2009 only
A value audit vs deSousa_etal_2010_Table1,neocortex,mf2,ma22,ma22,Macaca fascicularis,,,,0.5,both missing
A value audit vs deSousa_etal_2010_Table1,neocortex,ouy,YN85-38,YN85–38,Pongo pygmaeus,269,268.5,0.5,0.5,match
A value audit vs deSousa_etal_2010_Table1,neocortex,ppz,Zahlia,Zahlia 1/97,Pan paniscus,279,214.4,64.6,0.5,MISMATCH
A value audit vs deSousa_etal_2010_Table1,neocortex,ptb,Bathsheba,Bathsheba 4/97,Pan troglodytes,263,262.8,0.199999999999989,0.5,match
A value audit vs deSousa_etal_2010_Table1,neocortex,ptd,1548,1548,Pan troglodytes,198,198.3,-0.300000000000011,0.5,match
A value audit vs deSousa_etal_2010_Table1,brain mass,ggy,YN82-140,YN82–140,Gorilla gorilla,376,376,0,0.5,match
A value audit vs deSousa_etal_2010_Table1,brain mass,hld,Disco,Disco 3/97,Hylobates lar,120,120,0,0.5,match
A value audit vs deSousa_etal_2010_Table1,brain mass,hs5,54491,54491,Homo sapiens,1350,1350,0,0.5,match
