"species_as_published","species","body_mass_g","body_mass_ref","orientation_pinwheel_density","orientation_pinwheel_density_ref","orientation_column_spacing","orientation_column_spacing_ref"
"Mouse","Mus musculus",25,"12",0,,0,
"Mouse lemurs","Microcebus murinus",60,"18",3.15,"18",0.54,"18"
"Galago","not specified",150,"9",3.15,"9",0.49,"9"
"Tree shrew","not specified",200,"12",3.12,"9",0.47,"9"
"Ferret","Mustela putorius furo",800,"12",3.15,"9",0.51,"9"
"Squirrel monkey","Saimiri sciureus",1100,"9",2.9,"85, 86",0.51,"85, 86"
"Cat","Felis catus",3250,"12",3.09,"52",1.1,"36, 71, 86"
"Wallaby","Macropus eugenii",4800,"own data",2.62,"own data",1.43,"own data"
"Macaque","not specified",8000,"12",3.75,"70, 86",0.68,"70, 86"
