"Code","Definition","Structure","Measure","Stat","role","taxon","Reference","Note","Source Note"
"source","repository item identifier","","Source","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"doi","digital object identifier","","DOI","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"source_table","printed source table","","Source table","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"taxon_level","taxonomic aggregation level","","Taxon level","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"species_printed","species or taxon label printed in the paper","","Species","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"Species","accepted project taxon name","","Species","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"specimen_id","reported or curator-assigned specimen identifier","","Specimen","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"observation_level","individual versus single-specimen or species summary","","Observation level","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"n_specimens","number of specimens represented","","Count","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"age_class","reported life-history age class","","Age class","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"age_detail","reported age detail","","Age","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"sex","reported sex","","Sex","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"hemisphere","hemisphere sampled","","Hemisphere","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"region_printed","cortical-region label printed in the paper","Regional cortex","Region","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"region","standardized cortical region","Regional cortex","Region","","primary","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"m1_compatible","TRUE only for primary motor cortex","Regional cortex","M1 compatibility","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"layer_printed","layer label printed in the paper","Regional cortex","Layer","","primary","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"layer","standardized layer or total cortex","Regional cortex","Layer","","primary","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"layer_status","present, absent, or not applicable","Regional cortex","Layer status","","primary","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"measure","absolute or proportional thickness","Regional cortex","Measure","","primary","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"statistic","statistic represented by value","Regional cortex","Statistic","","primary","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"value","standardized numeric measurement","Regional cortex","Thickness","value","primary","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","printed table value or standardized percent"
"unit","standardized measurement unit","Regional cortex","Unit","","primary","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"uncertainty_type","type of uncertainty printed","Regional cortex","Uncertainty","","primary","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"uncertainty_value","standardized uncertainty magnitude","Regional cortex","Uncertainty","value","primary","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","printed table value or standardized percent"
"n_sampling_locations","number of reported sampling locations","Regional cortex","Count","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"sampling_detail","sampling and aggregation details","","Sampling","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"value_basis","relationship of value to printed source","","Value basis","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"source_location","table and PDF location","","Source location","","info","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
"curation_note","curatorial warning or clarification","","Note","","note","Giraffa camelopardalis","Jacobs_etal_2015_Table1","","metadata or curation"
