# Reference only - NOT a registered registry item. Table 2. Progression indices in the dugong and the dolphin.
# Platanista column is NOT this paper's own data - copied from Kamiya & Pirlot (1980), a different registry item.
component,Dugong,Platanista
N,1121,3903
RH,208,123
S,182,132
D,294,719
St,319,739
H,51,99
M,100,432
C,246,671
O,133,325
Brain,313,842
