"scope","region","order","layer_or_compartment","measure","statistic","value","unit","error_type","error_value","value_printed","unit_printed","n_species","source_location","source_context","conflict_group_id","compatibility","source"
"main analysis","primary somatosensory cortex","all","supragranular layers II/III","absolute thickness","mean",624.4,"um",NA,NA,624.4,"um",14,"Results p.74","Grand mean across the species analysis",NA,"exact paper summary; not species-level","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","infragranular layers V/VI","absolute thickness","mean",740.7,"um",NA,NA,740.7,"um",14,"Results p.74","Grand mean across the species analysis",NA,"exact paper summary; not species-level","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Primate","supragranular layers II/III","absolute thickness","mean",867.9,"um",NA,NA,867.9,"um",5,"Results p.74","Order mean stated in narrative","s1_supra_absolute","exact paper summary; conflicts with digitized Figure 3 order mean","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Carnivore","supragranular layers II/III","absolute thickness","mean",567.1,"um",NA,NA,567.1,"um",3,"Results p.74","Order mean stated in narrative","s1_supra_absolute","exact paper summary; conflicts with digitized Figure 3 order mean","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Rodent","supragranular layers II/III","absolute thickness","mean",438.2,"um",NA,NA,438.2,"um",6,"Results p.74","Order mean stated in narrative","s1_supra_absolute","exact paper summary; conflicts with digitized Figure 3 order mean","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Primate","infragranular layers V/VI","absolute thickness","mean",670.3,"um",NA,NA,670.3,"um",5,"Results p.74","Order mean stated in narrative","s1_infra_absolute","exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Carnivore","infragranular layers V/VI","absolute thickness","mean",645.9,"um",NA,NA,645.9,"um",3,"Results p.74","Order mean stated in narrative","s1_infra_absolute","exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Rodent","infragranular layers V/VI","absolute thickness","mean",906,"um",NA,NA,906,"um",6,"Results p.74","Order mean stated in narrative","s1_infra_absolute","exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Primate","supragranular layers II/III","proportional thickness","mean",0.44,"proportion",NA,NA,44,"percent",5,"Results p.74","Order mean stated in narrative","supragranular_order_proportions","exact paper summary; differs from abstract/discussion","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Carnivore","supragranular layers II/III","proportional thickness","mean",0.35,"proportion",NA,NA,35,"percent",3,"Results p.74","Order mean stated in narrative","supragranular_order_proportions","exact paper summary; differs from abstract/discussion","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Rodent","supragranular layers II/III","proportional thickness","mean",0.26,"proportion",NA,NA,26,"percent",6,"Results p.74","Order mean stated in narrative","supragranular_order_proportions","exact paper summary; differs from abstract/discussion","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Primate","infragranular layers V/VI","proportional thickness","mean",0.34,"proportion",NA,NA,34,"percent",5,"Results p.74","Order mean stated in narrative",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Carnivore","infragranular layers V/VI","proportional thickness","mean",0.39,"proportion",NA,NA,39,"percent",3,"Results p.74","Order mean stated in narrative",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","Rodent","infragranular layers V/VI","proportional thickness","mean",0.54,"proportion",NA,NA,54,"percent",6,"Results p.74","Order mean stated in narrative",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer I","absolute thickness","mean",188.79,"um",NA,NA,188.79,"um",14,"Results pp.74-75","Paper-reported grand mean",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer I","absolute thickness","range_min",164.79,"um",NA,NA,164.79,"um",14,"Results pp.74-75","Paper calls 164.79-202.57 a range; level of range is not made explicit",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer I","absolute thickness","range_max",202.57,"um",NA,NA,202.57,"um",14,"Results pp.74-75","Paper calls 164.79-202.57 a range; level of range is not made explicit",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer IV","absolute thickness","mean",206.67,"um",NA,NA,206.67,"um",14,"Results pp.74-75","Paper-reported grand mean",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer IV","absolute thickness","range_min",167.22,"um",NA,NA,167.22,"um",14,"Results pp.74-75","Paper calls 167.22-234.37 a range; level of range is not made explicit",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer IV","absolute thickness","range_max",234.37,"um",NA,NA,234.37,"um",14,"Results pp.74-75","Paper calls 167.22-234.37 a range; level of range is not made explicit",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer I","proportional thickness","mean",0.107,"proportion",NA,NA,0.107,"proportion",14,"Results pp.74-75","Paper-reported grand mean",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer I","proportional thickness","range_min",0.098,"proportion",NA,NA,0.098,"proportion",14,"Results pp.74-75","Paper-reported range",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer I","proportional thickness","range_max",0.121,"proportion",NA,NA,0.121,"proportion",14,"Results pp.74-75","Paper-reported range",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer IV","proportional thickness","mean",0.119,"proportion",NA,NA,0.119,"proportion",14,"Results pp.74-75","Paper-reported grand mean",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer IV","proportional thickness","range_min",0.1,"proportion",NA,NA,0.1,"proportion",14,"Results pp.74-75","Paper-reported range",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"main analysis","primary somatosensory cortex","all","layer IV","proportional thickness","range_max",0.135,"proportion",NA,NA,0.135,"proportion",14,"Results pp.74-75","Paper-reported range",NA,"exact paper summary","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary motor cortex","all","total cortex","absolute thickness","mean",2151.26,"um",NA,NA,2151.26,"um",13,"Results p.77","Regional subset includes every species except mouse",NA,"exact M1-compatible summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","premotor cortex","all","total cortex","absolute thickness","mean",1978.2,"um",NA,NA,1978.2,"um",13,"Results p.77","Regional subset includes every species except mouse",NA,"exact regional summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary somatosensory cortex","all","total cortex","absolute thickness","mean",1861.1,"um",NA,NA,1861.1,"um",13,"Results p.77","Regional subset includes every species except mouse",NA,"exact regional summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary motor cortex","all","layer IV","proportional thickness","mean",0.042,"proportion",NA,NA,0.042,"proportion",13,"Results p.77","Regional mean",NA,"exact M1-compatible summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","premotor cortex","all","layer IV","proportional thickness","mean",0.067,"proportion",NA,NA,0.067,"proportion",13,"Results p.77","Regional mean",NA,"exact regional summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary somatosensory cortex","all","layer IV","proportional thickness","mean",0.13,"proportion",NA,NA,0.13,"proportion",13,"Results p.77","Regional mean",NA,"exact regional summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary motor cortex","all","layer I","proportional thickness","mean",0.11,"proportion",NA,NA,0.11,"proportion",13,"Results p.77","Regional mean",NA,"exact M1-compatible summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","premotor cortex","all","layer I","proportional thickness","mean",0.13,"proportion",NA,NA,0.13,"proportion",13,"Results p.77","Regional mean",NA,"exact regional summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary somatosensory cortex","all","layer I","proportional thickness","mean",0.112,"proportion",NA,NA,0.112,"proportion",13,"Results p.77","Regional mean",NA,"exact regional summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary motor cortex","Primate","combined pyramidal layers II/III plus V/VI","proportional thickness","mean",0.885,"proportion",NA,NA,0.885,"proportion",5,"Results p.77","Order-by-region mean",NA,"exact M1-compatible order summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary motor cortex","Carnivore","combined pyramidal layers II/III plus V/VI","proportional thickness","mean",0.817,"proportion",NA,NA,0.817,"proportion",3,"Results p.77","Order-by-region mean",NA,"exact M1-compatible order summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary motor cortex","Rodent","combined pyramidal layers II/III plus V/VI","proportional thickness","mean",0.838,"proportion",NA,NA,0.838,"proportion",5,"Results p.77","Mouse excluded from the six-rodent regional subset",NA,"exact M1-compatible order summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary somatosensory cortex","Primate","combined pyramidal layers II/III plus V/VI","proportional thickness","mean",0.775,"proportion",NA,NA,0.775,"proportion",5,"Results p.77","Order-by-region mean",NA,"exact regional summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary somatosensory cortex","Carnivore","combined pyramidal layers II/III plus V/VI","proportional thickness","mean",0.736,"proportion",NA,NA,0.736,"proportion",3,"Results p.77","Order-by-region mean",NA,"exact regional summary; not species-level","Hutsler_etal_2005_ReportedValues"
"regional analysis","primary somatosensory cortex","Rodent","combined pyramidal layers II/III plus V/VI","proportional thickness","mean",0.763,"proportion",NA,NA,0.763,"proportion",5,"Results p.77","Mouse excluded from the six-rodent regional subset",NA,"exact regional summary; not species-level","Hutsler_etal_2005_ReportedValues"
"abstract/discussion","three cortical regions; aggregation not specified","Primate","supragranular layers II/III","proportional thickness","mean",0.46,"proportion","SEM",0.03,46,"percent",NA,"Abstract p.71 and Discussion p.77","Same values repeated in abstract and discussion","supragranular_order_proportions","exact quote-level summary; conflicts with Results p.74","Hutsler_etal_2005_ReportedValues"
"abstract/discussion","three cortical regions; aggregation not specified","Carnivore","supragranular layers II/III","proportional thickness","mean",0.36,"proportion","SEM",0.03,36,"percent",NA,"Abstract p.71 and Discussion p.77","Same values repeated in abstract and discussion","supragranular_order_proportions","exact quote-level summary; conflicts with Results p.74","Hutsler_etal_2005_ReportedValues"
"abstract/discussion","three cortical regions; aggregation not specified","Rodent","supragranular layers II/III","proportional thickness","mean",0.19,"proportion","SEM",0.04,19,"percent",NA,"Abstract p.71 and Discussion p.77","Same values repeated in abstract and discussion","supragranular_order_proportions","exact quote-level summary; conflicts with Results p.74","Hutsler_etal_2005_ReportedValues"
