"order_printed","region_printed","region","layer_or_compartment","n_species","absolute_thickness_um","proportional_thickness","digitization_uncertainty_um","digitization_uncertainty_proportion","reported_sensory_absolute_um","reported_sensory_proportion","value_basis","caption_flag","source","digitized_minus_reported_sensory_um","digitized_minus_reported_sensory_proportion"
"Primate","Motor","primary motor cortex","supragranular layers II/III",5,1250,0.498,10,0.005,NA,NA,"digitized from Figure 6 bars","Axes and bars indicate A=absolute and B=proportional supragranular II/III; printed caption is internally inconsistent.","Hutsler_etal_2005_Figure6",NA,NA
"Primate","Premotor","premotor cortex","supragranular layers II/III",5,1120,0.474,10,0.005,NA,NA,"digitized from Figure 6 bars","Axes and bars indicate A=absolute and B=proportional supragranular II/III; printed caption is internally inconsistent.","Hutsler_etal_2005_Figure6",NA,NA
"Primate","Sensory","primary somatosensory cortex","supragranular layers II/III",5,885,0.441,10,0.005,867.9,0.44,"digitized from Figure 6 bars","Axes and bars indicate A=absolute and B=proportional supragranular II/III; printed caption is internally inconsistent.","Hutsler_etal_2005_Figure6",17.1,0.001
"Carnivore","Motor","primary motor cortex","supragranular layers II/III",3,750,0.394,10,0.005,NA,NA,"digitized from Figure 6 bars","Axes and bars indicate A=absolute and B=proportional supragranular II/III; printed caption is internally inconsistent.","Hutsler_etal_2005_Figure6",NA,NA
"Carnivore","Premotor","premotor cortex","supragranular layers II/III",3,595,0.326,10,0.005,NA,NA,"digitized from Figure 6 bars","Axes and bars indicate A=absolute and B=proportional supragranular II/III; printed caption is internally inconsistent.","Hutsler_etal_2005_Figure6",NA,NA
"Carnivore","Sensory","primary somatosensory cortex","supragranular layers II/III",3,565,0.335,10,0.005,567.1,0.35,"digitized from Figure 6 bars","Axes and bars indicate A=absolute and B=proportional supragranular II/III; printed caption is internally inconsistent.","Hutsler_etal_2005_Figure6",-2.10000000000002,-0.015
"Rodent","Motor","primary motor cortex","supragranular layers II/III",5,505,0.243,10,0.005,NA,NA,"digitized from Figure 6 bars","Axes and bars indicate A=absolute and B=proportional supragranular II/III; printed caption is internally inconsistent.","Hutsler_etal_2005_Figure6",NA,NA
"Rodent","Premotor","premotor cortex","supragranular layers II/III",5,485,0.229,10,0.005,NA,NA,"digitized from Figure 6 bars","Axes and bars indicate A=absolute and B=proportional supragranular II/III; printed caption is internally inconsistent.","Hutsler_etal_2005_Figure6",NA,NA
"Rodent","Sensory","primary somatosensory cortex","supragranular layers II/III",5,470,0.255,10,0.005,438.2,0.26,"digitized from Figure 6 bars","Axes and bars indicate A=absolute and B=proportional supragranular II/III; printed caption is internally inconsistent.","Hutsler_etal_2005_Figure6",31.8,-0.005
