"order_printed","common_name_printed","scientific_name_printed","species_sci","region","total_cortical_thickness_um","supragranular_II_III_thickness_um","infragranular_V_VI_thickness_um","supragranular_II_III_proportion","infragranular_V_VI_proportion","digitization_uncertainty_um","digitization_uncertainty_proportion","value_basis","digitization_flag","qa_note","source"
"Primate","Human","Homo sapiens","Homo sapiens","primary somatosensory cortex",2840,1450,930,0.513,0.33,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Primate","Gorilla","Gorilla gorilla","Gorilla gorilla","primary somatosensory cortex",2540,1250,860,0.496,0.338,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Primate","Chimpanzee","Pan troglodytes","Pan troglodytes","primary somatosensory cortex",2160,1090,730,0.5,0.338,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Primate","Rhesus Macaque","Macaca mulatta","Macaca mulatta","primary somatosensory cortex",2180,1000,880,0.454,0.401,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Primate","Squirrel Monkey","Saimiri sciureus","Saimiri sciureus","primary somatosensory cortex",1660,840,600,0.492,0.363,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Carnivore","Dog","Canis (lupus) familiaris","Canis lupus familiaris","primary somatosensory cortex",1850,690,810,0.361,0.439,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Carnivore","Ferret","Mustela furo","Mustela putorius furo","primary somatosensory cortex",1600,670,640,0.408,0.408,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Carnivore","Cat","Felis silvestris catus","Felis catus","primary somatosensory cortex",1640,670,580,0.395,0.363,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Rodent","Woodchuck","Marmota monax","Marmota monax","primary somatosensory cortex",2520,690,1440,0.273,0.574,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Rodent","Porcupine","Erethizon dorsatum","Erethizon dorsatum","primary somatosensory cortex",2620,580,1600,0.227,0.616,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Rodent","Capybara","Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","primary somatosensory cortex",1930,610,1180,0.298,0.622,25,0.01,"digitized from Figure 3 bars","Layer IV segment is visually indistinguishable from the boundary line; no positive thickness assigned.","Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Rodent","Rat","Rattus rattus norwegicus","Rattus norvegicus","primary somatosensory cortex",1520,500,770,0.311,0.506,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Rodent","Guinea Pig","Cavia porcellus","Cavia porcellus","primary somatosensory cortex",1620,430,860,0.261,0.536,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
"Rodent","Mouse","Mus musculus","Mus musculus","primary somatosensory cortex",1030,330,500,0.298,0.502,25,0.01,"digitized from Figure 3 bars",NA,"Figure 3-derived order means do not reproduce several narrative/Figure 6 summaries; retain separately.","Hutsler_etal_2005_Figure3"
