order_printed,common_name_printed,scientific_name_printed,n_specimens,source_printed
Primate,Human,Homo sapiens,3,Dartmouth Hitchcock Medical Center
Primate,Gorilla,Gorilla gorilla,1,Harvard Univ.
Primate,Chimpanzee,Pan troglodytes,3,Harvard Univ. (1); Yakovlev Collection (2)
Primate,Rhesus Macaque,Macaca mulatta,4,UC Davis (1); Yakovlev Collection (3)
Primate,Squirrel Monkey,Saimiri sciureus,2,Yakovlev Collection
Carnivore,Dog,Canis (lupus) familiaris,3,Harvard Univ.
Carnivore,Ferret,Mustela furo,1,Smith College
Carnivore,Cat,Felis silvestris catus,2,UC Davis (1); Yakovlev Collection (1)
Rodent,Woodchuck,Marmota monax,1,Harvard Univ.
Rodent,Porcupine,Erethizon dorsatum,1,Harvard Univ.
Rodent,Capybara,Hydrochoerus hydrochaeris,3,Yakovlev Collection
Rodent,Rat,Rattus rattus norwegicus,3,"Pfizer, Inc."
Rodent,Guinea Pig,Cavia porcellus,2,Harvard Univ. (1); Yakovlev Collection (1)
Rodent,Mouse,Mus musculus,3,"Pfizer, Inc."
