"observation_id","source","Species","specimen_id","observation_level","age_class","total_cortex_um","sum_layers_um","total_minus_sum_layers_um","n_numeric_layers","layer_IV_status","check_note"
"Jacobs_etal_2015_Table1|Giraffa camelopardalis|subadult|no_specimen_id|species summary","Jacobs_etal_2015_Table1","Giraffa camelopardalis",,"species summary","subadult",1591,1591,0,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
"Jacobs_etal_2016_Table1|Giraffa camelopardalis|newborn|newborn_giraffe_1|single-specimen summary","Jacobs_etal_2016_Table1","Giraffa camelopardalis","newborn_giraffe_1","single-specimen summary","newborn",2859,2859,0,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
"Jacobs_etal_2016_Table1|Loxodonta africana|newborn|newborn_elephant_1|single-specimen summary","Jacobs_etal_2016_Table1","Loxodonta africana","newborn_elephant_1","single-specimen summary","newborn",1913,1914,-1,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
"Johnson_etal_2016_Table1|Panthera tigris altaica|adult|ST|single-specimen summary","Johnson_etal_2016_Table1","Panthera tigris altaica","ST","single-specimen summary","adult",2239,2239,0,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
"Johnson_etal_2016_Table1|Neofelis nebulosa|adult|no_specimen_id|species summary","Johnson_etal_2016_Table1","Neofelis nebulosa",,"species summary","adult",1898,1899,-1,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
"Peruffo_etal_2019_Table2|Ovis aries|adult|Peruffo2019_sheep_1|individual","Peruffo_etal_2019_Table2","Ovis aries","Peruffo2019_sheep_1","individual","adult",1729,1729,0,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
"Peruffo_etal_2019_Table2|Ovis aries|adult|Peruffo2019_sheep_2|individual","Peruffo_etal_2019_Table2","Ovis aries","Peruffo2019_sheep_2","individual","adult",1818,1818,0,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
"Peruffo_etal_2019_Table2|Ovis aries|adult|Peruffo2019_sheep_3|individual","Peruffo_etal_2019_Table2","Ovis aries","Peruffo2019_sheep_3","individual","adult",1956,1956,0,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
"Peruffo_etal_2019_Table2|Ovis aries|adult|Peruffo2019_sheep_4|individual","Peruffo_etal_2019_Table2","Ovis aries","Peruffo2019_sheep_4","individual","adult",1645,1646,-1,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
"Peruffo_etal_2019_Table2|Ovis aries|adult|Peruffo2019_sheep_5|individual","Peruffo_etal_2019_Table2","Ovis aries","Peruffo2019_sheep_5","individual","adult",1888,1888,0,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
"Peruffo_etal_2019_Table2|Ovis aries|adult|Peruffo2019_sheep_6|individual","Peruffo_etal_2019_Table2","Ovis aries","Peruffo2019_sheep_6","individual","adult",1952,1952,0,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
"Peruffo_etal_2019_Table2|Ovis aries|adult|no_specimen_id|species mean","Peruffo_etal_2019_Table2","Ovis aries",,"species mean","adult",1838,1838,0,5,"absent","Layer and total means can differ slightly because papers round and/or average them independently."
