Citation (APA 7th-Annotated),sequence,DOI if different from article or doi Alt ,Item number,end,Publication name,1st Author,other author(s),year,DOI (or Alt),Item name,Item encoded,Item in AUTO Public TSV FileList,Item full original title,Note: related Item(s) included in folder,Progress stage,Online Database,Snapshot,Adjustment made,"Data readable file, can use this",Source Type,Source format,Source URL direct access,Source URL link,Main Trait(s),Source type,Team,Method,Possible Traits,Note,Subcategory,Flags pre-addressed,Flags possible,Flags active (skips),Taxon group,Data role (primary/secondary/both),Measure type
"Jacobs, B., Lee, L., Schall, M., Raghanti, M. A., Lewandowski, A. H., Kottwitz, J. J., Roberts, J. F., Hof, P. R., & Sherwood, C. C. (2016). Neocortical neuronal morphology in the newborn giraffe (Giraffa camelopardalis tippelskirchi) and African elephant (Loxodonta africana). Journal of Comparative Neurology, 524, 257-287. https://doi.org/10.1002/cne.23841",,,Table 1,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,Laminar and Cortical Thickness (mean +/- SD; um),,FINISHED,added,Jacobs_etal_2016_Table1_snapshot.csv,Y,Jacobs_etal_2016_Table1.csv,pdf,table,https://www.coloradocollege.edu/dotAsset/f0f0cd15-dac1-4695-9a39-6f7eba5810f5.pdf,https://doi.org/10.1002/cne.23841,cortical and laminar thickness,primary,Jacobs/Sherwood,Nissl cytoarchitecture; 10 sampling locations per region,,Newborn values retained separately from subadult/adult data.,regional cortex,age; specimen aggregation,Do not pool ages or regions,,Giraffe and African elephant,primary,cortical layer thickness
"Johnson, C. B., Schall, M., Tennison, M. E., Garcia, M. E., Shea-Shumsky, N. B., Raghanti, M. A., Lewandowski, A. H., Bertelsen, M. F., Waller, L. C., Walsh, T., Roberts, J. F., Hof, P. R., Sherwood, C. C., Manger, P. R., & Jacobs, B. (2016). Neocortical neuronal morphology in the Siberian tiger (Panthera tigris altaica) and the clouded leopard (Neofelis nebulosa). Journal of Comparative Neurology, 524, 3641-3665. https://doi.org/10.1002/cne.24022",,,Table 1,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,Laminar and Cortical Thickness of prefrontal primary motor and primary visual cortex,,FINISHED,added,Johnson_etal_2016_Table1_snapshot.csv,Y,Johnson_etal_2016_Table1.csv,pdf,table,https://www.coloradocollege.edu/dotAsset/17493d76-5085-4a01-a757-d992278a9eaf.pdf,https://doi.org/10.1002/cne.24022,cortical and laminar thickness,primary,Jacobs/Sherwood,Nissl cytoarchitecture; 10 sampling locations per region,,One tiger versus a two-animal clouded-leopard summary retained explicitly.,regional cortex,specimen aggregation,Do not treat species SD as between-animal SD,,Felidae,primary,cortical layer thickness
"Peruffo, A., Corain, L., Bombardi, C., Centelleghe, C., Grisan, E., Graic, J.-M., Bontempi, P., Grandis, A., & Cozzi, B. (2019). The motor cortex of the sheep: laminar organization, projections and diffusion tensor imaging of the intracranial pyramidal and extrapyramidal tracts. Brain Structure and Function, 224, 1933-1946. https://doi.org/10.1007/s00429-019-01885-x",,,Table 2,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,<formula - drag down in Excel>,Thickness of the whole cortex and of the single layers,,FINISHED,added,Peruffo_etal_2019_Table2_snapshot.csv,Y,Peruffo_etal_2019_Table2.csv,pdf,table,https://link.springer.com/content/pdf/10.1007/s00429-019-01885-x.pdf,https://doi.org/10.1007/s00429-019-01885-x,M1 cortical and laminar thickness,primary,Peruffo/Cozzi,Nissl cytoarchitecture and computerized analysis,,Six individuals and the printed mean retained; mean is merge_default.,regional M1,individual versus mean,Do not count individuals and mean together,,Ovis aries,primary,cortical layer thickness
