Code,Definition,Structure,Measure,Stat,role,Note
source,repository item identifier,,Source,,info,
doi,digital object identifier,,DOI,,info,
source_table,printed source table,,Source table,,info,
taxon_level,species order or cross-species summary,,Taxon level,,primary,Prevents Hutsler group summaries from entering species tables
species_printed,species or taxon label printed in source,,Species,,info,
Species,accepted project taxon name,,Species,,primary,Blank for group summaries
specimen_id,reported or curator-assigned specimen identifier,,Specimen,,primary,
observation_level,individual versus single-specimen species or group summary,,Observation level,,primary,
n_specimens,number of specimens represented,,Count,,primary,
age_class,reported age class,,Age class,,primary,
age_detail,reported age detail,,Age,,primary,
sex,reported sex,,Sex,,info,
hemisphere,hemisphere sampled,,Hemisphere,,info,
region_printed,cortical-region wording printed in source,Regional cortex,Region,,info,
region,standardized cortical region,Regional cortex,Region,,primary,
m1_compatible,TRUE only for primary motor cortex,Regional cortex,M1 compatibility,,primary,
layer_printed,layer wording printed in source,Regional cortex,Layer,,info,
layer,standardized layer or total cortex,Regional cortex,Layer,,primary,
layer_status,present absent or not applicable,Regional cortex,Layer status,,primary,Absence is not encoded as numerical zero
measure,absolute or proportional thickness,Regional cortex,Measure,,primary,
statistic,point or published summary statistic,Regional cortex,Statistic,,primary,
value,standardized measurement,Regional cortex,Thickness,value,primary,
unit,um or proportion,Regional cortex,Unit,,primary,
uncertainty_type,printed uncertainty type,Regional cortex,Uncertainty,,primary,
uncertainty_value,printed uncertainty magnitude,Regional cortex,Uncertainty,value,primary,
n_sampling_locations,reported sampling-location count,Regional cortex,Count,,info,
sampling_detail,sampling and aggregation details,,Sampling,,info,
value_basis,printed derived or text-supported value basis,,Value basis,,info,
source_location,table page or results location,,Source location,,info,
curation_note,curatorial warning or clarification,,Note,,note,
merge_default,TRUE for the one source summary selected by default,,Merge status,,primary,Individual sheep and Hutsler group summaries are retained but false
status,active species row or active group summary,,Status,,info,
observation_id,stable within-merge observation key,,Observation identifier,,primary,
