paper_folder,table,column,row_index,raw_value,matched_on,n_entities,entity_ids,alias_types,alias_scopes,short_handle,match_class,match_rate,tier,resolves_individual,layer
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,0,SN207/84,raw,1,BARGER-HOMO-SN207-84,printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,1,Bathsheba,raw,1,ZILLES-PAN-WPZ-486,house_name; printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,2,Schimp,raw,1,ZILLES-PAN-PAN1,house_name; printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,3,YN89-278,raw,1,ZILLES-PAN-YN89-278,printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,4,Zahlia,raw,1,ZILLES-PANPAN-ZAHLIA,house_name; printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,5,YN86-137,raw,1,ZILLES-PANPAN-YN86-137,printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,6,YN82-140,raw,1,ZILLES-GORILLA-YN82-140,printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,7,Harry,raw,1,PONGO-HARRY,house_name; printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,8,Briggs,raw,1,PONGO-BRIGGS,house_name; printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,9,YN85-38,raw,1,PONGO-YN85-38,printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,10,Disco,raw,1,ZILLES-HYLOBATES-GPZ-5542,house_name; printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,11,YN81-146,raw,1,ZILLES-HYLOBATES-YN81-146,printed_identifier,individual,False,matched_unique,1.0,A_register_now,True,public_crosswalk_only
Baron_etal_1983,Baron_etal_1983_Table1.csv,code_Baron1983,72,3551,raw,1,STEPHAN-GORILLA-A375,accession_lot; printed_identifier,individual; lot,False,matched_unique,0.5394736842105263,B_review_then_register,True,public_crosswalk_only
Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1.csv,Individual,7,Zahliaa,footnote_stripped,1,ZILLES-PANPAN-ZAHLIA,house_name; printed_identifier,individual,False,matched_unique,0.4883720930232558,B_review_then_register,True,public_crosswalk_only
Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1.csv,Individual,14,YN82-140a,footnote_stripped,1,ZILLES-GORILLA-YN82-140,printed_identifier,individual,False,matched_unique,0.4883720930232558,B_review_then_register,True,public_crosswalk_only
