paper_folder,matches,identifier_kind,individuals_determined,species_accessions_matched,species_label_disagreements,registered
MacLeod__2000,96,specimen-level handle,57,0,0,False
Baron_etal_1983,41,species accession (Art. Nr.),13,41,3,False
Matano_etal_1985_a,43,species accession (Art. Nr.),13,43,6,False
Matano_etal_1985_b,43,species accession (Art. Nr.),13,43,5,False
Stephan_etal_1984,36,species accession (Art. Nr.),10,36,6,False
deSousa_etal_2009,18,specimen-level handle,9,0,0,False
Kochiyama_etal_2018,8,specimen-level handle,8,0,0,False
Bauernfeind_etal_2013,21,specimen-level handle,7,0,0,False
Collins_etal_2010,166,specimen-level handle,166,0,0,True
Smaers_etal_2011,50,specimen-level handle,36,0,0,True
Smaers_etal_2010,33,specimen-level handle,33,0,0,True
Barger_etal_2007,12,specimen-level handle,12,0,0,True
Young_etal_2013_b,8,specimen-level handle,8,0,0,True
deSousa_etal_2010,24,specimen-level handle,7,0,0,True
Turner_etal_2016,2,specimen-level handle,2,0,0,True
