Species,Mean,StDev,Layers,Layer_Mean,Layer_StDev
Human,14.18,1.2898,"L II, III",13.79,1.2523
Human,,,L IV,15.09,1.4133
Human,,,"L V, VI",14.13,1.6680
Chimpanzee,18.63,1.5534,"L II, III",17.60,1.6308
Chimpanzee,,,L IV,19.37,0.4601
Chimpanzee,,,"L V, VI",18.93,1.8171
Bonobo,16.98,2.4222,"L II, III",16.66,2.2067
Bonobo,,,L IV,18.05,1.1332
Bonobo,,,"L V, VI",16.67,2.8779
Gorilla,14.62,2.2562,"L II, III",12.89,2.0245
Gorilla,,,L IV,16.71,0.4613
Gorilla,,,"L V, VI",15.32,2.3750
Orangutan,18.55,1.1185,"L II, III",17.90,2.1738
Orangutan,,,L IV,19.68,0.3295
Orangutan,,,"L V, VI",18.06,1.8529
Gibbon,13.33,2.1650,"L II, III",11.61,1.4600
Gibbon,,,L IV,15.94,1.0521
Gibbon,,,"L V, VI",13.82,2.9277
Macaque,18.36,1.6833,"L II, III",18.11,1.6899
Macaque,,,L IV,18.73,0.6068
Macaque,,,"L V, VI",18.21,2.1988
