accepted_name,source_publication,variant_name
Didelphis marsupialis,Pirlot1981,Didelphis m. marsupialis
Didelphis marsupialis,Pirlot1981,Didelphis m. aurita
Didelphis azarae,Pirlot1981,Didelphis azarae
Didelphis virginiana,Pirlot1981,Didelphis virginiana
Philander opossum,Pirlot1981,Philander opossum
Marmosa murina,Pirlot1981,Marmosa (Marmosa) murina
Caluromys lanatus,Pirlot1981,Caluromys lanatus
Antechinus flavipes,Pirlot1981,Antechinus flavipes (x)
Sminthopsis murina,Pirlot1981,Sminthopsis murina
Sarcophilus harrisii,Pirlot1981,Sarcophilus harrisii
Isoodon obesulus,Pirlot1981,Isoodon obesulus
Perameles nasuta,Pirlot1981,Perameles nasura
Caenolestes obscurus,Pirlot1981,Caenolestes obscurus
Lestoros inca,Pirlot1981,Lestoros inca
Petaurus breviceps,Pirlot1981,Petaurus breviceps
Petaurus norfolcensis,Pirlot1981,Petaurus norfolcensis
Petauroides volans,Pirlot1981,Schoinobates volans
Pseudocheirus peregrinus,Pirlot1981,Pseudocheirus peregrinus
Trichosurus vulpecula,Pirlot1981,Trichosurus vulpecula
Potorous tridactylus,Pirlot1981,Potorous tridactylus
Setonix brachyurus,Pirlot1981,Setonix brachyurus
Thylogale billardierii,Pirlot1981,Thylogale billardieri
Macropus eugenii,Pirlot1981,Macropus eugenii
Notamacropus rufogriseus,Pirlot1981,Macropus rufogriseus
Macropus giganteus,Pirlot1981,Macropus giganteus
Vombatus ursinus,Pirlot1981,Vombatus mitchelli (ursinus ?)
Didelphis marsupialis,Pirlot1981_TableII,Didelphis marsupialis
Didelphis marsupialis,Pirlot1981_TableII,Didelphis aurita
Didelphis virginiana,Pirlot1981_TableII,Didelphis virginiana
Caluromys lanatus,Pirlot1981_TableII,Caluromys
Philander opossum,Pirlot1981_TableII,Philander
Perameles nasuta,Pirlot1981_TableII,Perameles
Isoodon obesulus,Pirlot1981_TableII,Isoodon
Antechinus flavipes,Pirlot1981_TableII,Antechinus
Sminthopsis murina,Pirlot1981_TableII,Sminthopsis
Sarcophilus harrisii,Pirlot1981_TableII,Sarcophilus
Petaurus breviceps,Pirlot1981_TableII,Petaurus
Petauroides volans,Pirlot1981_TableII,Schoinobates
Pseudocheirus peregrinus,Pirlot1981_TableII,Pseudocheirus
Trichosurus vulpecula,Pirlot1981_TableII,Trichosurus
Potorous tridactylus,Pirlot1981_TableII,Potorus
Macropus eugenii,Pirlot1981_TableII,Macropus eugenii
Setonix brachyurus,Pirlot1981_TableII,Setonix
Thylogale billardierii,Pirlot1981_TableII,Thylogale
Notamacropus rufogriseus,Pirlot1981_TableII,Macropus rufogriseus
Macropus giganteus,Pirlot1981_TableII,Macropus giganteus
Vombatus ursinus,Pirlot1981_TableII,Vombatus
Lestoros inca,Pirlot1981_TableII,Lestoros
Caenolestes obscurus,Pirlot1981_TableII,Caenolestes
Ornithorhynchus anatinus,PirlotNelson1978,Ornithorhynchus anatinus
Tachyglossus aculeatus,PirlotNelson1978,Tachyglossus aculeatus
Didelphis marsupialis,PirlotNelson1978,Didelphis marsupialis
Helarctos malayanus,KamiyaPirlot1988,Helarctos
Ailuropoda melanoleuca,KamiyaPirlot1988,Ailuropoda
Ursus americanus,KamiyaPirlot1988,Ursus
Ailuropoda melanoleuca,PirlotJiao1985,panda
Procyon lotor,PirlotJiao1985,raccoon
Ursus americanus,PirlotJiao1985,bear
Platanista gangetica,KamiyaPirlot1980,Platanista gangetica
