Species,Variable,Value,Source,Team,n_dec_cells,ref_ids,dec_taxa
Gorilla beringei,Neocortex_grey_matter_Vol.mm3,159055.42348933523,DeCasien2019_MOESM3_meanvalue,DeCasien,14,65,Gorilla_beringei
Gorilla gorilla graueri,Neocortex_grey_matter_Vol.mm3,161965.41666666666,DeCasien2019_MOESM3_meanvalue,DeCasien,3,65,Gorilla_gorilla_graueri
Gorilla sp,Neocortex_grey_matter_Vol.mm3,164054.249228397,DeCasien2019_MOESM3_meanvalue,DeCasien,17,62;63;65,Gorilla_gorilla_gorilla
