table,printed_notes_verbatim
Table 1,"Visual acuity is expressed in cycles per degree, and reflects the highest acuity attainable using established behavioral testing protocols (primarily conditioned responses to grating stimuli). All tests were undertaken in air (versus under water) unless otherwise specified. Activity pattern follows the cited source, or sources cited in Nowak (1991) and Rowe (1996). Species that are active exclusively or nearly exclusively during the day or night are classified as diurnal and nocturnal, respectively. Species that are active throughout a 24-h cycle, or have multiple peaks of activity that occur at both day and night have been classified as cathemeral."
Table 2,"Visual acuity is expressed in cycles per degree, and reflects the highest acuity theoretically attainable based upon the morphology of the eye and the microanatomy of the retina. All calculations were made for vision in air (versus under water) unless otherwise specified. Note that the methods used by different authors to calculate anatomical acuity may vary slightly -- see cited references for the specific procedure used with each species. Activity pattern source and definitions are the same as for Table 1."
