"individual","measure_printed","snapshot_value","export_value","difference","match"
"M1","Brain weight",135,135,0,TRUE
"M1","Total brain volume",130308,130308,0,TRUE
"M1","Remaining parts",1827,1827,0,TRUE
"M1","Ventricle",2240,2240,0,TRUE
"M1","Pure brain volume",126242,126242,0,TRUE
"M1","Medulla oblongata",6501,6501,0,TRUE
"M1","Cerebellum",13688,13688,0,TRUE
"M1","Mesencephalon",6442,6442,0,TRUE
"M1","Diencephalon",8929,8929,0,TRUE
"M1","Telencephalon",90683,90683,0,TRUE
"M1","Neocortex",74495,74495,0,TRUE
"M1","Corpus striatum",4668,4668,0,TRUE
"M1","Allocortex",11520,11520,0,TRUE
"M1","Olfactory Allocortex",5044,5044,0,TRUE
"M1","Bulbus olfactorius + B. olf. accessorius",467,467,0,TRUE
"M1","Regio retrobulbaris",218,218,0,TRUE
"M1","Regio praepiriformis",1754,1754,0,TRUE
"M1","Regio periamygdalaris + Nucleus amygdalae",1094,1094,0,TRUE
"M1","Tuberculum olfactorium",251,251,0,TRUE
"M1","Basal nuclei + Commissura anterior",1261,1261,0,TRUE
"M1","Limbic structures",6476,6476,0,TRUE
"M1","Septum",764,764,0,TRUE
"M1","Septum nuclei",556,556,0,TRUE
"M1","Diagonal band",208,208,0,TRUE
"M1","Hippocampus",4576,4576,0,TRUE
"M1","Schizocortex",1136,1136,0,TRUE
"M2","Brain weight",132.4,132.4,0,TRUE
"M2","Total brain volume",127799,127799,0,TRUE
"M2","Remaining parts",2417,2417,0,TRUE
"M2","Ventricle",3097,3097,0,TRUE
"M2","Pure brain volume",122286,122286,0,TRUE
"M2","Medulla oblongata",6689,6689,0,TRUE
"M2","Cerebellum",13563,13563,0,TRUE
"M2","Mesencephalon",5865,5865,0,TRUE
"M2","Diencephalon",8807,8807,0,TRUE
"M2","Telencephalon",87381,87381,0,TRUE
"M2","Neocortex",71231,71231,0,TRUE
"M2","Corpus striatum",4195,4195,0,TRUE
"M2","Allocortex",11955,11955,0,TRUE
"M2","Olfactory Allocortex",5185,5185,0,TRUE
"M2","Bulbus olfactorius + B. olf. accessorius",567,567,0,TRUE
"M2","Regio retrobulbaris",239,239,0,TRUE
"M2","Regio praepiriformis",1775,1775,0,TRUE
"M2","Regio periamygdalaris + Nucleus amygdalae",1179,1179,0,TRUE
"M2","Tuberculum olfactorium",307,307,0,TRUE
"M2","Basal nuclei + Commissura anterior",1119,1119,0,TRUE
"M2","Limbic structures",6770,6770,0,TRUE
"M2","Septum",772,772,0,TRUE
"M2","Septum nuclei",568,568,0,TRUE
"M2","Diagonal band",205,205,0,TRUE
"M2","Hippocampus",4613,4613,0,TRUE
"M2","Schizocortex",1385,1385,0,TRUE
"M3","Brain weight",132.5,132.5,0,TRUE
"M3","Total brain volume",127896,127896,0,TRUE
"M3","Remaining parts",2736,2736,0,TRUE
"M3","Ventricle",3409,3409,0,TRUE
"M3","Pure brain volume",121751,121751,0,TRUE
"M3","Medulla oblongata",5677,5677,0,TRUE
"M3","Cerebellum",12723,12723,0,TRUE
"M3","Mesencephalon",5745,5745,0,TRUE
"M3","Diencephalon",8920,8920,0,TRUE
"M3","Telencephalon",88686,88686,0,TRUE
"M3","Neocortex",72655,72655,0,TRUE
"M3","Corpus striatum",4296,4296,0,TRUE
"M3","Allocortex",11736,11736,0,TRUE
"M3","Olfactory Allocortex",4936,4936,0,TRUE
"M3","Bulbus olfactorius + B. olf. accessorius",564,564,0,TRUE
"M3","Regio retrobulbaris",238,238,0,TRUE
"M3","Regio praepiriformis",1636,1636,0,TRUE
"M3","Regio periamygdalaris + Nucleus amygdalae",1174,1174,0,TRUE
"M3","Tuberculum olfactorium",255,255,0,TRUE
"M3","Basal nuclei + Commissura anterior",1096,1096,0,TRUE
"M3","Limbic structures",6773,6773,0,TRUE
"M3","Septum",638,638,0,TRUE
"M3","Septum nuclei",466,466,0,TRUE
"M3","Diagonal band",171,171,0,TRUE
"M3","Hippocampus",4920,4920,0,TRUE
"M3","Schizocortex",1216,1216,0,TRUE
"M4","Brain weight",132.2,132.2,0,TRUE
"M4","Total brain volume",127606,127606,0,TRUE
"M4","Remaining parts",2488,2488,0,TRUE
"M4","Ventricle",2625,2625,0,TRUE
"M4","Pure brain volume",122493,122493,0,TRUE
"M4","Medulla oblongata",5588,5588,0,TRUE
"M4","Cerebellum",13879,13879,0,TRUE
"M4","Mesencephalon",5579,5579,0,TRUE
"M4","Diencephalon",8174,8174,0,TRUE
"M4","Telencephalon",89273,89273,0,TRUE
"M4","Neocortex",73980,73980,0,TRUE
"M4","Corpus striatum",4042,4042,0,TRUE
"M4","Allocortex",11251,11251,0,TRUE
"M4","Olfactory Allocortex",5186,5186,0,TRUE
"M4","Bulbus olfactorius + B. olf. accessorius",570,570,0,TRUE
"M4","Regio retrobulbaris",267,267,0,TRUE
"M4","Regio praepiriformis",1642,1642,0,TRUE
"M4","Regio periamygdalaris + Nucleus amygdalae",1223,1223,0,TRUE
"M4","Tuberculum olfactorium",246,246,0,TRUE
"M4","Basal nuclei + Commissura anterior",1238,1238,0,TRUE
