accepted_species,suborder,Sey_QICA,Boy_QICA,ratio_Sey_over_Boy,Boy_QVA,Boy_QTOT,VA_share_of_QTOT,Sey_QICA_vs_Boy_QTOT_ratio
Cacajao calvus,Haplorrhini,0.9782974733053,0.379,2.581,0.422,0.802,0.526,1.22
Callithrix jacchus,Haplorrhini,0.039232562402625,0.041,0.957,0.093,0.134,0.694,0.293
Callithrix pygmaea,Haplorrhini,0.091481249515379,0.025,3.659,0.059,0.084,0.702,1.089
Galago senegalensis,Strepsirrhini,6.9164450888737e-4,4e-4,1.729,0.042,0.043,0.977,0.016
Gorilla sp.,Haplorrhini,2.28092010298721,1.564,1.458,2.602,4.166,0.625,0.548
Homo sapiens,Haplorrhini,7.52383091451836,10.014,0.751,2.831,12.845,0.22,0.586
Hylobates lar,Haplorrhini,0.561080822885906,0.962,0.583,0.316,1.278,0.247,0.439
Lemur catta,Strepsirrhini,0.0179083235069442,0.003,5.969,0.368,0.372,0.989,0.048
Lophocebus albigena,Haplorrhini,0.776297665792409,0.464,1.673,0.396,0.86,0.46,0.903
Loris tardigradus,Strepsirrhini,0.00252255205438265,0.001,2.523,0.047,0.048,0.979,0.053
Macaca fascicularis,Haplorrhini,0.423559662781656,0.529,0.801,0.286,0.815,0.351,0.52
Mandrillus leucophaeus,Haplorrhini,1.50459457326379,0.673,2.236,0.717,1.39,0.516,1.082
Nasalis larvatus,Haplorrhini,0.749892468967037,0.439,1.708,0.466,0.905,0.515,0.829
Nycticebus coucang,Strepsirrhini,0.0158563854128686,0.002,7.928,0.172,0.174,0.989,0.091
Pan troglodytes,Haplorrhini,2.21766166974772,1.921,1.154,1.512,3.433,0.44,0.646
Pongo sp.,Haplorrhini,2.09394714685686,1.518,1.379,2.467,3.985,0.619,0.525
Saimiri sciureus,Haplorrhini,0.13175628993772,0.134,0.983,0.198,0.333,0.595,0.396
