accepted_species,suborder,in_Seymour2015,in_Boyer2019,overlap,BM_g_Seymour,BM_g_Boyer,ECV_ml_Seymour,ECV_ml_Boyer,Sey_QICA_mLs,Boy_QICA_mLs,Boy_QVA_mLs,Boy_QTOT_mLs,QICA_ratio_Sey_over_Boy,QTOT_best_mLs,QTOT_source,notes
Acrobates pygmaeus,Diprotodontia,Y,N,N,14,NA,0.25,NA,0.00896494218860162,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Aepyprymnus rufescens,Diprotodontia,Y,N,N,2500,NA,13.32,NA,0.103804725262374,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Alouatta sp.,Haplorrhini,N,Y,N,NA,5753,NA,52.75,NA,0.349,0.561,0.911,NA,0.911,Boyer2019_QTOT(ICA+VA),
Aotus trivirgatus,Haplorrhini,N,Y,N,NA,989,NA,16.85,NA,0.104,0.189,0.293,NA,0.293,Boyer2019_QTOT(ICA+VA),
Archaeolemur majori,Strepsirrhini,N,Y,N,NA,18200,NA,93,NA,0.011,1.606,1.617,NA,1.617,Boyer2019_QTOT(ICA+VA),
Ateles geoffroyi,Haplorrhini,N,Y,N,NA,7453,NA,106.59,NA,0.898,0.571,1.469,NA,1.469,Boyer2019_QTOT(ICA+VA),
Avahi laniger,Strepsirrhini,N,Y,N,NA,1206,NA,9.86,NA,0.002,0.169,0.171,NA,0.171,Boyer2019_QTOT(ICA+VA),
Babakotia radofilai,Strepsirrhini,N,Y,N,NA,16000,NA,48,NA,0.009,0.877,0.886,NA,0.886,Boyer2019_QTOT(ICA+VA),
Bettongia lesueur,Diprotodontia,Y,N,N,1597,NA,9.2,NA,0.0785629630653295,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Cacajao calvus,Haplorrhini,Y,Y,Y,3165,2935,100,76,0.9782974733053,0.379,0.422,0.802,2.581,0.802,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Callicebus moloch,Haplorrhini,N,Y,N,NA,1070,NA,17.78,NA,0.119,0.145,0.264,NA,0.264,Boyer2019_QTOT(ICA+VA),
Callithrix jacchus,Haplorrhini,Y,Y,Y,371.5,318,6.6,7.43,0.039232562402625,0.041,0.093,0.134,0.957,0.134,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Callithrix pygmaea,Haplorrhini,Y,Y,Y,116,110,7,4.02,0.091481249515379,0.025,0.059,0.084,3.659,0.084,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Cebus capucinus,Haplorrhini,N,Y,N,NA,2436,NA,67.02,NA,0.329,0.276,0.605,NA,0.605,Boyer2019_QTOT(ICA+VA),
Cercartetus concinnus,Diprotodontia,Y,N,N,17,NA,0.28,NA,0.00446221131154591,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Cercartetus nanus,Diprotodontia,Y,N,N,70,NA,0.55,NA,0.00570987116634245,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
