"student_species","paper_species","column","status","student_value","paper_value"
"Megaderma lyra","Megaderma lyra","VA","agree","1.50","1.5"
"Megaderma lyra","Megaderma lyra","MT","agree","A","A"
"Meriones unguiculatus","Meriones unguiculatus","VA","agree","1.80","1.8"
"Meriones unguiculatus","Meriones unguiculatus","MT","agree","B","B"
"Mesocricetus auratus","Mesocricetus auratus","VA","agree","0.50","0.5"
"Mesocricetus auratus","Mesocricetus auratus","MT","agree","B","B"
"Microcebus murinus","Microcebus murinus","VA","agree","4.20","4.2"
"Microcebus murinus","Microcebus murinus","MT","agree","A","A"
"Mus musculus","Mus musculus","VA","agree","0.50","0.5"
"Mus musculus","Mus musculus","MT","agree","B","B"
"Mustela nivalis","Mustela nivalis","VA","agree","2.20","2.2"
"Mustela nivalis","Mustela nivalis","MT","agree","",""
"Mustela putorius","Mustela putorius furo","VA","agree","3.57","3.57"
"Mustela putorius","Mustela putorius furo","MT","agree","B","B"
"Myotis daubentonii","Myotis dabentonii","VA","agree","0.10","0.1"
"Myotis daubentonii","Myotis dabentonii","MT","agree","B","B"
"Myotis mystacinus","Myotis mystacinus","VA","agree","0.10","0.1"
"Myotis mystacinus","Myotis mystacinus","MT","agree","B","B"
"Myrmecobius fasciatus","Myrmecobius fasciatus","VA","agree","5.20","5.2"
"Myrmecobius fasciatus","Myrmecobius fasciatus","MT","agree","B","B"
"Nyctophilus gouldi","Nyctophilus gouldi","VA","agree","0.60","0.6"
"Nyctophilus gouldi","Nyctophilus gouldi","MT","agree","A","A"
"Odobenus rosmarus","Odobenus rosmarus","VA","agree","3.80","3.8"
"Odobenus rosmarus","Odobenus rosmarus","MT","agree","A","A"
"Oryctolagus cuniculus","Oryctolagus cuniculus","VA","agree","3.00","3"
"Oryctolagus cuniculus","Oryctolagus cuniculus","MT","agree","B","B"
"Otolemur crassicaudatus","Otolemur crassicaudatus","VA","agree","4.80","4.8"
"Otolemur crassicaudatus","Otolemur crassicaudatus","MT","agree","B","B"
"Ovis aries","Ovis aries","VA","agree","5.61","5.61"
"Ovis aries","Ovis aries","MT","agree","B","B"
"Pan troglodytes","Pan troglodytes","VA","agree","64.28","64.28"
"Pan troglodytes","Pan troglodytes","MT","agree","B","B"
"Peromyscus maniculatus","Peromyscus maniculatus","VA","agree","0.56","0.56"
"Peromyscus maniculatus","Peromyscus maniculatus","MT","agree","B","B"
"Phascolarctos cinereus","Phascolarctos cinereus","VA","agree","2.40","2.4"
"Phascolarctos cinereus","Phascolarctos cinereus","MT","agree","A","A"
"Phyllostomus hastatus","Phyllostomus hastatus","VA","MISMATCH","0.17","0.167"
"Phyllostomus hastatus","Phyllostomus hastatus","MT","agree","B","B"
"Plecotus auritus","Plecotus auritus","VA","agree","1.00","1"
"Plecotus auritus","Plecotus auritus","MT","agree","B","B"
"Pteropus giganteus","Pteropus giganteus","VA","agree","1.70","1.7"
"Pteropus giganteus","Pteropus giganteus","MT","agree","B","B"
"Pteropus poliocephalus","Pteropus poliocephalus","VA","agree","5.50","5.5"
"Pteropus poliocephalus","Pteropus poliocephalus","MT","agree","A","A"
"Pteropus scapulatus","Pteropus scapulatus","VA","agree","4.00","4"
"Pteropus scapulatus","Pteropus scapulatus","MT","agree","A","A"
"Rattus norvegicus","Rattus norvegicus","VA","agree","1.60","1.6"
"Rattus norvegicus","Rattus norvegicus","MT","agree","B","B"
"Rhinolophus rouxii","Rhinolophus rouxi","VA","agree","0.40","0.4"
"Rhinolophus rouxii","Rhinolophus rouxi","MT","agree","A","A"
"Rousettus madagascariensis","Rousettus madagascariensis","VA","agree","3.00","3"
"Rousettus madagascariensis","Rousettus madagascariensis","MT","agree","A","A"
"Saguinus midas","Saguinus midas","VA","agree","24.87","24.87"
"Saguinus midas","Saguinus midas","MT","agree","A","A"
"Saimiri sciureus","Saimiri sciureus","VA","agree","40.50","40.5"
"Saimiri sciureus","Saimiri sciureus","MT","agree","B","B"
"Sarcophilus harrisii","Sarcrophilus harrisii","VA","agree","4.75","4.75"
"Sarcophilus harrisii","Sarcrophilus harrisii","MT","agree","A","A"
"Sciurus carolinensis","Sciurus caroliniensis","VA","agree","3.90","3.9"
"Sciurus carolinensis","Sciurus caroliniensis","MT","agree","B","B"
"Sciurus niger","Sciurus niger","VA","agree","3.90","3.9"
"Sciurus niger","Sciurus niger","MT","agree","B","B"
"Setonix brachyurus","Setonyx brachyurus","VA","agree","4.00","4"
"Setonix brachyurus","Setonyx brachyurus","MT","agree","A","A"
"Sminthopsis crassicaudata","Sminthopsis crassicaudata","VA","agree","2.36","2.36"
"Sminthopsis crassicaudata","Sminthopsis crassicaudata","MT","agree","B","B"
"Spermophilus beecheyi","Spermophilus beecheyi","VA","agree","4.00","4"
"Spermophilus beecheyi","Spermophilus beecheyi","MT","agree","B","B"
"Suricata suricatta","Suricata suricatta","VA","agree","6.30","6.3"
"Suricata suricatta","Suricata suricatta","MT","agree","B","B"
"Sus scrofa","Sus scrofa","VA","agree","9.92","9.92"
"Sus scrofa","Sus scrofa","MT","agree","A","A"
"Tachyglossus aculeatus","Tachyglossus aculeatus","VA","agree","1.69","1.69"
"Tachyglossus aculeatus","Tachyglossus aculeatus","MT","agree","A","A"
"Taphozous georgianus","Taphozous georgianus","VA","agree","1.30","1.3"
"Taphozous georgianus","Taphozous georgianus","MT","agree","A","A"
"Tarsipes rostratus","Tarsipes rostratus","VA","agree","0.63","0.63"
"Tarsipes rostratus","Tarsipes rostratus","MT","agree","B","B"
"Tarsius syrichta","Tarsius syrichta","VA","agree","8.89","8.89"
"Tarsius syrichta","Tarsius syrichta","MT","agree","A","A"
"Trichosurus vulpecula","Trichosurus vulpecula","VA","agree","4.80","4.8"
"Trichosurus vulpecula","Trichosurus vulpecula","MT","agree","A","A"
"Tupaia belangeri","Tupaia belangeri","VA","agree","2.40","2.4"
"Tupaia belangeri","Tupaia belangeri","MT","agree","B","B"
"Tupaia glis","Tupaia glis","VA","agree","4.70","4.7"
"Tupaia glis","Tupaia glis","MT","agree","B","B"
