"check_value_id","check_species","check_value","VK2014_value_for_species","offset_audit_status","adjudication","value_belongs_to_VK_species"
"SensoryData_r002_visual_acuity_max","Acinonyx jubatus","23.02","23.02","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r004_visual_acuity_max","Alouatta caraya","2.8","59.61","MISMATCH","CONFIRMED_displaced","Agouti paca"
"SensoryData_r006_visual_acuity_max","Aonyx cinerea","59.61","","MISMATCH","CONFIRMED_displaced","Alouatta caraya"
"SensoryData_r009_visual_acuity_max","Aotus trivirgatus","8.3","10","MISMATCH","CONFIRMED_displaced","Aotus azarae"
"SensoryData_r010_visual_acuity_max","Artibeus cinereus","10","1.4","MISMATCH","CONFIRMED_displaced","Aotus trivirgatus"
"SensoryData_r011_visual_acuity_max","Artibeus jamaicensis","1.4","0.167","MISMATCH","CONFIRMED_displaced","Artibeus cinereus"
"SensoryData_r012_visual_acuity_max","Balaenoptera acutorostrata","0.167","","MISMATCH","CONFIRMED_displaced","Artibeus jamaicensis"
"SensoryData_r014_visual_acuity_max","Callithrix jacchus","10.31","30","MISMATCH","CONFIRMED_displaced","Bos taurus"
"SensoryData_r015_visual_acuity_max","Callorhinus ursinus","30","","MISMATCH","CONFIRMED_displaced","Callithrix jacchus"
"SensoryData_r017_visual_acuity_max","Camelus dromedarius","10","10.4","MISMATCH","CONFIRMED_displaced","Aotus trivirgatus"
"SensoryData_r018_visual_acuity_max","Canis lupus familiaris","10.4","","MISMATCH","CONFIRMED_displaced","Camelus dromedarius"
"SensoryData_r020_visual_acuity_max","Capra hircus","14.57","8.43","MISMATCH","CONFIRMED_displaced","Canis lupus"
"SensoryData_r021_visual_acuity_max","Carollia perspicillata","8.43","0.94","MISMATCH","CONFIRMED_displaced","Capra hircus"
"SensoryData_r023_visual_acuity_max","Cebus apella","0.94","54.75","MISMATCH","CONFIRMED_displaced","Carollia perspicillata"
"SensoryData_r027_visual_acuity_max","Cheirogaleus medius","54.75","2.84","MISMATCH","CONFIRMED_displaced","Cebus apella"
"SensoryData_r029_visual_acuity_max","Chlorocebus aethiops","2.84","55.23","MISMATCH","CONFIRMED_displaced","Cheirogaleus medius"
