Species,VENs,Pyramidal neurons,Fusiform neurons,VEN index
T. truncatus,"4,449 ± 524","3,323 ± 310","1,436 ± 175",1.34
G. griseus,"3,186 ± 479","2,923 ± 298","1,460 ± 158",1.09
D. leucas,"3,406 ± 468","2,710 ± 347","1,248 ± 150",1.26
M. novaeangliae,"6,189 ± 948","3,558 ± 393","1,662 ± 231",1.74
