"species","species_as_published","brain_mass_mg","brain_mass_g_as_published","body_mass_g","eq_as_published","eq_recomputed","source"
"Tursiops truncatus","T. truncatus",1824000,1824,209530,4.14,4.14,"Butti_etal_2009"
"Grampus griseus","G. griseus",2387000,2387,328000,4.01,4.01,"Butti_etal_2009"
"Delphinapterus leucas","D. leucas",2083000,2083,636000,2.24,2.24,"Butti_etal_2009"
"Megaptera novaeangliae","M. novaeangliae",6411000,6411,39295000,0.44,0.44,"Butti_etal_2009"
