accepted_name,source_publication,variant_name
Sus scrofa domesticus,Kazu2014,Sus scrofa domesticus
Antidorcas marsupialis,Kazu2014,Antidorcas marsupialis
Damaliscus pygargus phillipsi,Kazu2014,Damaliscus dorcas phillipsi
Tragelaphus strepsiceros,Kazu2014,Tragelaphus stripceros
Giraffa camelopardalis,Kazu2014,Giraffa camelopardalis
