Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,species binomial as published,,Species,,primary,Primates + Tupaia/Pteropus outgroups,Sherwood_etal_2003_Table1,,
n,individuals sampled histologically,,,n,info,,Sherwood_etal_2003_Table1,,
motor_pyramid_soma_um3_mean,M1 infragranular non-specialized pyramidal soma volume,M1,soma volume,mean um3,primary,,Sherwood_etal_2003_Table1,planar rotator; ~225 neurons/region/individual,
betz_soma_um3_mean,Betz cell soma volume,M1,soma volume,mean um3,primary,,Sherwood_etal_2003_Table1,,
visual_pyramid_soma_um3_mean,V1 infragranular pyramidal soma volume,V1,soma volume,mean um3,primary,,Sherwood_etal_2003_Table1,,
meynert_soma_um3_mean,Meynert cell soma volume,V1,soma volume,mean um3,primary,,Sherwood_etal_2003_Table1,,
neocortex_vol_mm3,neocortex volume from literature,neocortex,volume,value mm3,secondary,,Sherwood_etal_2003_Table1,default Stephan et al. 1981; per-cell ref col,
brain_weight_g,species mean brain weight from literature,brain,mass,value g,secondary,,Sherwood_etal_2003_Table1,default Harvey et al. 1987,
body_weight_g,species mean body weight from literature,body,mass,value g,secondary,,Sherwood_etal_2003_Table1,default Fleagle 1999,
EQ,encephalization quotient (Martin 1981 expected),brain,EQ,index,derived-in-source,,Sherwood_etal_2003_Table1,,
diet_category,IN/FR/FO,,,,secondary,,Sherwood_etal_2003_Table1,default Clutton-Brock & Harvey 1980,
habitat_category,ARB/TER,,,,secondary,,Sherwood_etal_2003_Table1,,
group_size,social group size,,,,secondary,,Sherwood_etal_2003_Table1,default Rowe 1996; 10=Dunbar 1992,
dexterity_index,Heffner & Masterton 1983 dexterity index,,dexterity,index,secondary,,Sherwood_etal_2003_Table1,cross-links Heffner_Masterton_1983 folder,
*_ref,resolved literature source per value (header default unless superscript override),,,,provenance,,Sherwood_etal_2003_Table1,SD/CV cols omitted here: same study data,
note,role split + provenance,,,,provenance,,Sherwood_etal_2003_Table1,,
source,registry item key,,,,provenance,,Sherwood_etal_2003_Table1,,
