"source","doi","source_table","taxon_level","species_printed","Species","specimen_id","observation_level","n_specimens","age_class","age_detail","sex","hemisphere","region_printed","region","m1_compatible","layer_printed","layer","layer_status","measure","statistic","value","unit","uncertainty_type","uncertainty_value","n_sampling_locations","sampling_detail","value_basis","source_location","curation_note"
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer I","I","present","absolute thickness","mean",379,"um","SD",17,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer II","II","present","absolute thickness","mean",180,"um","SD",33,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer III","III","present","absolute thickness","mean",516,"um","SD",59,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer IV","IV","absent","absolute thickness","mean",,"um",,,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed absence (-)","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them; layer IV is explicitly absent in M1."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer V","V","present","absolute thickness","mean",157,"um","SD",24,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Layer VI","VI","present","absolute thickness","mean",359,"um","SD",57,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Motor","primary motor cortex",TRUE,"Total cortical thickness","total cortex","not applicable","absolute thickness","mean",1591,"um","SD",90,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Visual","primary visual cortex",FALSE,"Layer I","I","present","absolute thickness","mean",255,"um","SD",19,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Visual","primary visual cortex",FALSE,"Layer II","II","present","absolute thickness","mean",134,"um","SD",12,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Visual","primary visual cortex",FALSE,"Layer III","III","present","absolute thickness","mean",293,"um","SD",24,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Visual","primary visual cortex",FALSE,"Layer IV","IV","present","absolute thickness","mean",180,"um","SD",19,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Visual","primary visual cortex",FALSE,"Layer V","V","present","absolute thickness","mean",176,"um","SD",16,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Visual","primary visual cortex",FALSE,"Layer VI","VI","present","absolute thickness","mean",287,"um","SD",15,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
"Jacobs_etal_2015_Table1","10.1007/s00429-014-0830-9","Table 1","species","Giraffa camelopardalis","Giraffa camelopardalis",,"species summary",3,"subadult","2-4 years","male","right","Visual","primary visual cortex",FALSE,"Total cortical thickness","total cortex","not applicable","absolute thickness","mean",1325,"um","SD",36,10,"Layer measurements averaged across 10 Nissl-stained sections from each cortical region; Table 1 does not expose specimen-level thicknesses.","printed value","Table 1, PDF page 6 (journal page 2856)","The study includes three specimens but does not state how the 10 thickness sections were distributed among them."
