"student_species","column","status","student_value","paper_value"
"dolphin","sound_localization_threshold_deg","agree","1.1","1.1"
"dolphin","delta_t_us","agree","80","80"
"dolphin","field_of_best_vision_deg","both_missing","",""
"dolphin","visual_acuity_cdeg","both_missing","",""
"elephant","sound_localization_threshold_deg","agree","1.2","1.2"
"elephant","delta_t_us","agree","3350","3350"
"elephant","field_of_best_vision_deg","both_missing","",""
"elephant","visual_acuity_cdeg","both_missing","",""
"man","sound_localization_threshold_deg","agree","1.3","1.3"
"man","delta_t_us","agree","875","875"
"man","field_of_best_vision_deg","agree","0.7","0.7"
"man","visual_acuity_cdeg","agree","67","67"
"seal","sound_localization_threshold_deg","agree","3.2","3.2"
"seal","delta_t_us","agree","378","378"
"seal","field_of_best_vision_deg","both_missing","",""
"seal","visual_acuity_cdeg","agree","3.6","3.6"
"opossum","sound_localization_threshold_deg","agree","4.6","4.6"
"opossum","delta_t_us","agree","273","273"
"opossum","field_of_best_vision_deg","agree","15.8","15.8"
"opossum","visual_acuity_cdeg","agree","1.8","1.8"
"pig","sound_localization_threshold_deg","agree","4.6","4.6"
"pig","delta_t_us","agree","498","498"
"pig","field_of_best_vision_deg","agree","11.6","11.6"
"pig","visual_acuity_cdeg","agree","8","8"
"Japanese macaque","sound_localization_threshold_deg","agree","5","5"
"Japanese macaque","delta_t_us","agree","424","424"
"Japanese macaque","field_of_best_vision_deg","agree","4.3","4.3"
"Japanese macaque","visual_acuity_cdeg","agree","46.8","46.8"
"cat","sound_localization_threshold_deg","agree","5.7","5.7"
"cat","delta_t_us","agree","258","258"
"cat","field_of_best_vision_deg","agree","4.9","4.9"
"cat","visual_acuity_cdeg","agree","9","9"
"dog","sound_localization_threshold_deg","agree","8","8"
"dog","delta_t_us","agree","435","435"
"dog","field_of_best_vision_deg","agree","5.1","5.1"
"dog","visual_acuity_cdeg","agree","8.3","8.3"
"ferret","sound_localization_threshold_deg","agree","8.5","8.5"
"ferret","delta_t_us","agree","180","180"
"ferret","field_of_best_vision_deg","both_missing","",""
"ferret","visual_acuity_cdeg","both_missing","",""
"sea lion","sound_localization_threshold_deg","agree","8.8","8.8"
"sea lion","delta_t_us","agree","392","392"
"sea lion","field_of_best_vision_deg","both_missing","",""
"sea lion","visual_acuity_cdeg","agree","4.3","4.3"
"norway rat domestic","sound_localization_threshold_deg","agree","11.1","11.1"
"norway rat domestic","delta_t_us","agree","150","150"
"norway rat domestic","field_of_best_vision_deg","both_missing","",""
"norway rat domestic","visual_acuity_cdeg","both_missing","",""
"least weasel","sound_localization_threshold_deg","agree","12","12"
"least weasel","delta_t_us","agree","76","76"
"least weasel","field_of_best_vision_deg","agree","23","23"
"least weasel","visual_acuity_cdeg","agree","2.2","2.2"
"norway rat wild","sound_localization_threshold_deg","agree","12.8","12.8"
"norway rat wild","delta_t_us","agree","130","130"
"norway rat wild","field_of_best_vision_deg","agree","52.8","52.8"
"norway rat wild","visual_acuity_cdeg","agree","1.5","1.5"
"goat","sound_localization_threshold_deg","agree","18","18"
"goat","delta_t_us","agree","680","680"
"goat","field_of_best_vision_deg","both_missing","",""
"goat","visual_acuity_cdeg","agree","12.5","12.5"
"wood rat","sound_localization_threshold_deg","agree","19","19"
"wood rat","delta_t_us","agree","115","115"
"wood rat","field_of_best_vision_deg","agree","156.2","156.2"
"wood rat","visual_acuity_cdeg","agree","2.3","2.3"
"hedgehog","sound_localization_threshold_deg","agree","19","19"
"hedgehog","delta_t_us","agree","167","167"
"hedgehog","field_of_best_vision_deg","both_missing","",""
"hedgehog","visual_acuity_cdeg","both_missing","",""
"spiny mouse","sound_localization_threshold_deg","agree","19","19"
"spiny mouse","delta_t_us","agree","64","64"
"spiny mouse","field_of_best_vision_deg","both_missing","",""
"spiny mouse","visual_acuity_cdeg","both_missing","",""
"grasshopper mouse","sound_localization_threshold_deg","agree","19.3","19.3"
"grasshopper mouse","delta_t_us","agree","61","61"
"grasshopper mouse","field_of_best_vision_deg","agree","68.5","68.5"
"grasshopper mouse","visual_acuity_cdeg","agree","2.3","2.3"
"horse","sound_localization_threshold_deg","agree","25","25"
"horse","delta_t_us","agree","684","684"
"horse","field_of_best_vision_deg","both_missing","",""
"horse","visual_acuity_cdeg","both_missing","",""
"cow","sound_localization_threshold_deg","agree","30","30"
"cow","delta_t_us","agree","1281","1281"
"cow","field_of_best_vision_deg","agree","132","132"
"cow","visual_acuity_cdeg","agree","12.4","12.4"
"gerbil","sound_localization_threshold_deg","agree","27","27"
"gerbil","delta_t_us","agree","87","87"
"gerbil","field_of_best_vision_deg","agree","200","200"
"gerbil","visual_acuity_cdeg","agree","2","2"
"kangaroo rat","sound_localization_threshold_deg","agree","27","27"
"kangaroo rat","delta_t_us","agree","90","90"
"kangaroo rat","field_of_best_vision_deg","both_missing","",""
"kangaroo rat","visual_acuity_cdeg","both_missing","",""
"gopher","sound_localization_threshold_deg","agree","90","90"
"gopher","delta_t_us","agree","111","111"
"gopher","field_of_best_vision_deg","agree","166","166"
"gopher","visual_acuity_cdeg","agree","1.7","1.7"
