"check_value_id","check_species","check_trait","check_value","status","paper_value","paper_species_row"
"SensoryData_r003_interaural_distance_functional","Acomys cahirinus","interaural_distance_functional","64","agree","64","spiny mouse"
"SensoryData_r003_binocular_field","Acomys cahirinus","binocular_field","75","agree","75","spiny mouse"
"SensoryData_r003_trophic_level","Acomys cahirinus","trophic_level","5","agree","5","spiny mouse"
"SensoryData_r013_sound_localization_threshold","Bos taurus","sound_localization_threshold","30","agree","30","cow"
"SensoryData_r013_field_of_best_vision_width","Bos taurus","field_of_best_vision_width","132","agree","132","cow"
"SensoryData_r013_binocular_field","Bos taurus","binocular_field","20","agree","20","cow"
"SensoryData_r013_trophic_level","Bos taurus","trophic_level","5","agree","5","cow"
"SensoryData_r018_sound_localization_threshold","Canis lupus familiaris","sound_localization_threshold","8","agree","8","dog"
"SensoryData_r018_field_of_best_vision_width","Canis lupus familiaris","field_of_best_vision_width","5.1","agree","5.1","dog"
"SensoryData_r018_binocular_field","Canis lupus familiaris","binocular_field","75","agree","75","dog"
"SensoryData_r018_trophic_level","Canis lupus familiaris","trophic_level","1","agree","1","dog"
"SensoryData_r020_interaural_distance_functional","Capra hircus","interaural_distance_functional","680","agree","680","goat"
"SensoryData_r020_sound_localization_threshold","Capra hircus","sound_localization_threshold","18","agree","18","goat"
"SensoryData_r020_binocular_field","Capra hircus","binocular_field","23","agree","23","goat"
"SensoryData_r020_trophic_level","Capra hircus","trophic_level","5","agree","5","goat"
"SensoryData_r041_sound_localization_threshold","Delphinus delphis","sound_localization_threshold","1.1","species_not_in_paper","",""
"SensoryData_r041_trophic_level","Delphinus delphis","trophic_level","1","species_not_in_paper","",""
"SensoryData_r045_sound_localization_threshold","Didelphis virginiana","sound_localization_threshold","4.6","agree","4.6","opossum"
"SensoryData_r045_field_of_best_vision_width","Didelphis virginiana","field_of_best_vision_width","15.8","agree","15.8","opossum"
"SensoryData_r045_binocular_field","Didelphis virginiana","binocular_field","77","agree","77","opossum"
"SensoryData_r045_trophic_level","Didelphis virginiana","trophic_level","4","agree","4","opossum"
"SensoryData_r046_sound_localization_threshold","Dipodomys merriami","sound_localization_threshold","27","agree","27","kangaroo rat"
"SensoryData_r046_binocular_field","Dipodomys merriami","binocular_field","20","agree","20","kangaroo rat"
"SensoryData_r046_trophic_level","Dipodomys merriami","trophic_level","5","agree","5","kangaroo rat"
"SensoryData_r048_sound_localization_threshold","Elephas maximus","sound_localization_threshold","1.2","agree","1.2","elephant"
"SensoryData_r048_binocular_field","Elephas maximus","binocular_field","80","agree","80","elephant"
"SensoryData_r048_trophic_level","Elephas maximus","trophic_level","3","agree","3","elephant"
"SensoryData_r053_sound_localization_threshold","Equus caballus","sound_localization_threshold","25","agree","25","horse"
"SensoryData_r053_binocular_field","Equus caballus","binocular_field","28","agree","28","horse"
"SensoryData_r053_trophic_level","Equus caballus","trophic_level","5","agree","5","horse"
"SensoryData_r059_field_of_best_vision_width","Felis catus","field_of_best_vision_width","4.9","agree","4.9","cat"
"SensoryData_r059_binocular_field","Felis catus","binocular_field","105","agree","105","cat"
"SensoryData_r059_trophic_level","Felis catus","trophic_level","1","agree","1","cat"
"SensoryData_r061_visual_acuity_max","Geomys bursarius","visual_acuity_max","1.7","agree","1.7","gopher"
"SensoryData_r061_sound_localization_threshold","Geomys bursarius","sound_localization_threshold","90","agree","90","gopher"
"SensoryData_r061_field_of_best_vision_width","Geomys bursarius","field_of_best_vision_width","166","agree","166","gopher"
"SensoryData_r061_binocular_field","Geomys bursarius","binocular_field","4","agree","4","gopher"
"SensoryData_r061_trophic_level","Geomys bursarius","trophic_level","5","agree","5","gopher"
"SensoryData_r063_sound_localization_threshold","Hemiechinus auritus","sound_localization_threshold","19","species_not_in_paper","",""
"SensoryData_r063_binocular_field","Hemiechinus auritus","binocular_field","35","species_not_in_paper","",""
"SensoryData_r063_trophic_level","Hemiechinus auritus","trophic_level","2","species_not_in_paper","",""
"SensoryData_r065_interaural_distance_functional","Homo sapiens","interaural_distance_functional","875","agree","875","man"
"SensoryData_r065_sound_localization_threshold","Homo sapiens","sound_localization_threshold","1.3","agree","1.3","man"
"SensoryData_r065_field_of_best_vision_width","Homo sapiens","field_of_best_vision_width","0.7","agree","0.7","man"
"SensoryData_r065_binocular_field","Homo sapiens","binocular_field","105","agree","105","man"
"SensoryData_r065_trophic_level","Homo sapiens","trophic_level","2","agree","2","man"
"SensoryData_r067_trophic_level","Inia geoffrensis","trophic_level","1","species_not_in_paper","",""
"SensoryData_r075_visual_acuity_max","Macaca fuscata","visual_acuity_max","46.8","agree","46.8","macaque"
"SensoryData_r075_field_of_best_vision_width","Macaca fuscata","field_of_best_vision_width","4.3","agree","4.3","macaque"
"SensoryData_r075_binocular_field","Macaca fuscata","binocular_field","111","agree","111","macaque"
"SensoryData_r075_trophic_level","Macaca fuscata","trophic_level","2","agree","2","macaque"
"SensoryData_r086_sound_localization_threshold","Meriones unguiculatus","sound_localization_threshold","27","agree","27","gerbil"
"SensoryData_r086_field_of_best_vision_width","Meriones unguiculatus","field_of_best_vision_width","200","agree","200","gerbil"
"SensoryData_r086_binocular_field","Meriones unguiculatus","binocular_field","48","agree","48","gerbil"
"SensoryData_r086_trophic_level","Meriones unguiculatus","trophic_level","4","agree","4","gerbil"
"SensoryData_r094_sound_localization_threshold","Mustela nivalis","sound_localization_threshold","12","agree","12","least weasel"
"SensoryData_r094_field_of_best_vision_width","Mustela nivalis","field_of_best_vision_width","23","agree","23","least weasel"
"SensoryData_r094_binocular_field","Mustela nivalis","binocular_field","69","agree","69","least weasel"
"SensoryData_r094_trophic_level","Mustela nivalis","trophic_level","1","agree","1","least weasel"
"SensoryData_r095_trophic_level","Mustela putorius","trophic_level","1","agree","1","ferret"
"SensoryData_r100_sound_localization_threshold","Neotoma floridana","sound_localization_threshold","19","agree","19","wood rat"
"SensoryData_r100_field_of_best_vision_width","Neotoma floridana","field_of_best_vision_width","156.2","agree","156.2","wood rat"
"SensoryData_r100_binocular_field","Neotoma floridana","binocular_field","85","agree","85","wood rat"
"SensoryData_r100_trophic_level","Neotoma floridana","trophic_level","5","agree","5","wood rat"
"SensoryData_r106_sound_localization_threshold","Onychomys leucogaster","sound_localization_threshold","19.3","agree","19.3","grasshopper mouse"
"SensoryData_r106_field_of_best_vision_width","Onychomys leucogaster","field_of_best_vision_width","68.5","agree","68.5","grasshopper mouse"
"SensoryData_r106_binocular_field","Onychomys leucogaster","binocular_field","52","agree","52","grasshopper mouse"
"SensoryData_r106_trophic_level","Onychomys leucogaster","trophic_level","2","agree","2","grasshopper mouse"
"SensoryData_r118_interaural_distance_functional","Phoca vitulina","interaural_distance_functional","378","agree","378","seal"
"SensoryData_r118_sound_localization_threshold","Phoca vitulina","sound_localization_threshold","3.2","agree","3.2","seal"
"SensoryData_r118_trophic_level","Phoca vitulina","trophic_level","1","agree","1","seal"
"SensoryData_r133_sound_localization_threshold","Rattus norvegicus","sound_localization_threshold","11.1","agree","11.1","norway rat domestic"
"SensoryData_r133_binocular_field","Rattus norvegicus","binocular_field","76","agree","76","norway rat domestic"
"SensoryData_r133_trophic_level","Rattus norvegicus","trophic_level","4","agree","4","norway rat domestic"
"SensoryData_r134_visual_acuity_max","Rattus norvegicus","visual_acuity_max","1.5","agree","1.5","norway rat wild"
"SensoryData_r134_sound_localization_threshold","Rattus norvegicus","sound_localization_threshold","12.8","agree","12.8","norway rat wild"
"SensoryData_r134_field_of_best_vision_width","Rattus norvegicus","field_of_best_vision_width","52.8","agree","52.8","norway rat wild"
"SensoryData_r134_binocular_field","Rattus norvegicus","binocular_field","35","agree","35","norway rat wild"
"SensoryData_r134_trophic_level","Rattus norvegicus","trophic_level","4","agree","4","norway rat domestic"
"SensoryData_r154_sound_localization_threshold","Sus scrofa","sound_localization_threshold","4.6","agree","4.6","pig"
"SensoryData_r154_field_of_best_vision_width","Sus scrofa","field_of_best_vision_width","11.6","agree","11.6","pig"
"SensoryData_r154_binocular_field","Sus scrofa","binocular_field","47","agree","47","pig"
"SensoryData_r154_trophic_level","Sus scrofa","trophic_level","2","agree","2","pig"
"SensoryData_r165_trophic_level","Tursiops truncatus","trophic_level","1","agree","1","dolphin"
"SensoryData_r166_sound_localization_threshold","Tursiops truncatus","sound_localization_threshold","1.1","agree","1.1","dolphin"
"SensoryData_r168_sound_localization_threshold","Zalophus californianus","sound_localization_threshold","8.8","agree","8.8","sea lion"
"SensoryData_r168_trophic_level","Zalophus californianus","trophic_level","1","agree","1","sea lion"
