Species,species_as_published,canonical_structure,structure_as_published,mass_mg,mass_g,mass_se_mg,n,sex,unit_original,conversion_factor_to_mg,role,derivation,source,citation,mapping_gap
Oryctolagus cuniculus,Oryctolagus cuniculus,RoB,Rest of brain (RoB),3272.0,3.272,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Dendrohyrax dorsalis,Dendrohyrax dorsalis,RoB,Rest of brain (RoB),3328.0,3.328,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Macaca fascicularis,Macaca fascicularis,RoB,Rest of brain (RoB),4294.0,4.294,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Procavia capensis,Procavia capensis,RoB,Rest of brain (RoB),4317.0,4.317,625.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Saimiri sciureus,Saimiri sciureus,RoB,Rest of brain (RoB),5004.0,5.004,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
,Dasyprocta prymnolopha,RoB,Rest of brain (RoB),5972.0,5.972,514.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Macaca radiata,Macaca radiata,RoB,Rest of brain (RoB),7448.0,7.448,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Sapajus apella,Cebus apella,RoB,Rest of brain (RoB),8430.0,8.43,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Macaca mulatta,Macaca mulatta,RoB,Rest of brain (RoB),9204.0,9.204,871.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Sus scrofa domesticus,Sus scrofa domesticus,RoB,Rest of brain (RoB),13850.0,13.85,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Papio cynocephalus,Papio anubis cynocephalus,RoB,Rest of brain (RoB),17235.0,17.235,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Hydrochoerus hydrochaeris,Hydrochoerus hydrochaeris,RoB,Rest of brain (RoB),19927.0,19.927,270.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Antidorcas marsupialis,Antidorcas marsupialis,RoB,Rest of brain (RoB),25810.0,25.81,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Damaliscus pygargus phillipsi,Damaliscus dorcas phillipsi,RoB,Rest of brain (RoB),30006.0,30.006,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Tragelaphus strepsiceros,Tragelaphus strepsiceros,RoB,Rest of brain (RoB),61716.0,61.716,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Giraffa camelopardalis,Giraffa camelopardalis,RoB,Rest of brain (RoB),70680.0,70.68,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Homo sapiens,Homo sapiens,RoB,Rest of brain (RoB),117660.0,117.66,45420.0,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Loxodonta africana,Loxodonta africana,RoB,Rest of brain (RoB),564674.0,564.674,,,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table3.csv,Herculano-Houzel et al. (2015),
Callithrix jacchus,Callithrix jacchus,OlfactoryBulb,Olfactory bulb,8.0,0.008,14.0,5.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Sorex fumeus,Sorex fumeus,OlfactoryBulb,Olfactory bulb,12.0,0.012,2.0,3.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Mus musculus,Mus musculus,OlfactoryBulb,Olfactory bulb,14.0,0.014,4.0,4.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Heterocephalus glaber,Heterocephalus glaber,OlfactoryBulb,Olfactory bulb,21.0,0.021,1.0,3.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Blarina brevicauda,Blarina brevicauda,OlfactoryBulb,Olfactory bulb,26.0,0.026,3.0,5.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Microcebus murinus,Microcebus murinus,OlfactoryBulb,Olfactory bulb,30.0,0.03,8.0,2.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Condylura cristata,Condylura cristata,OlfactoryBulb,Olfactory bulb,40.0,0.04,5.0,4.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Parascalops breweri,Parascalops breweri,OlfactoryBulb,Olfactory bulb,49.0,0.049,8.0,3.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Elephantulus myurus,Elephantulus myurus,OlfactoryBulb,Olfactory bulb,50.0,0.05,10.0,2.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Aotus trivirgatus,Aotus trivirgatus,OlfactoryBulb,Olfactory bulb,50.0,0.05,12.0,6.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Mesocricetus auratus,Mesocricetus auratus,OlfactoryBulb,Olfactory bulb,55.0,0.055,11.0,2.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Rattus norvegicus,Rattus norvegicus,OlfactoryBulb,Olfactory bulb,74.0,0.074,22.0,5.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Scalopus aquaticus,Scalopus aquaticus,OlfactoryBulb,Olfactory bulb,82.0,0.082,5.0,3.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Macaca mulatta,Macaca mulatta,OlfactoryBulb,Olfactory bulb,88.0,0.088,,1.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Tupaia glis,Tupaia glis,OlfactoryBulb,Olfactory bulb,100.0,0.1,32.0,16.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Cavia porcellus,Cavia porcellus,OlfactoryBulb,Olfactory bulb,103.0,0.103,13.0,2.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Proechimys guyannensis,Proechimys cayennensis,OlfactoryBulb,Olfactory bulb,132.0,0.132,,1.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Oryctolagus cuniculus,Oryctolagus cuniculus,OlfactoryBulb,Olfactory bulb,156.0,0.156,,1.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Petrodromus tetradactylus,Petrodromus tetradactylus,OlfactoryBulb,Olfactory bulb,159.0,0.159,9.0,2.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Otolemur garnettii,Otolemur garnettii,OlfactoryBulb,Olfactory bulb,200.0,0.2,16.0,11.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Sciurus carolinensis,Sciurus carolinensis,OlfactoryBulb,Olfactory bulb,212.0,0.212,22.0,9.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Procavia capensis,Procavia capensis,OlfactoryBulb,Olfactory bulb,286.0,0.286,,1.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
,Dasyprocta prymnolopha,OlfactoryBulb,Olfactory bulb,737.0,0.737,162.0,3.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Sus scrofa domesticus,Sus scrofa domesticus,OlfactoryBulb,Olfactory bulb,822.0,0.822,,1.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Antidorcas marsupialis,Antidorcas marsupialis,OlfactoryBulb,Olfactory bulb,1200.0,1.2,,1.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Hydrochoerus hydrochaeris,Hydrochoerus hydrochaeris,OlfactoryBulb,Olfactory bulb,1302.0,1.302,31.0,2.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Giraffa camelopardalis,Giraffa camelopardalis,OlfactoryBulb,Olfactory bulb,2052.0,2.052,,1.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Tragelaphus strepsiceros,Tragelaphus strepsiceros,OlfactoryBulb,Olfactory bulb,5546.0,5.546,,1.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Loxodonta africana,Loxodonta africana,OlfactoryBulb,Olfactory bulb,41886.0,41.886,,1.0,pooled/unspecified,g,1000,primary,measured,HerculanoHouzel_etal_2015_Table4.csv,Herculano-Houzel et al. (2015),
Bathyergus suillus,Bathyergus suillus,OlfactoryBulb,Olfactory bulbs,139.85999999999999,0.13985999999999998,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Olfactory bulbs_p.C.Brain(0.037) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,OlfactoryCortices,Olfactory cortices,182.574,0.18257400000000001,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Olfactory cortices_p.C.Brain(0.0483) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,Neocortex,Neocortex,1069.74,1.06974,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Neocortex_p.C.Brain(0.283) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,EntorhinalCortex,Entorhinal cortex,102.06,0.10206,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Entorhinal cortex_p.C.Brain(0.027) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,Hippocampus,Hippocampus,205.63199999999998,0.20563199999999998,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Hippocampus_p.C.Brain(0.0544) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,Amygdala,Amygdala,52.541999999999994,0.05254199999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Amygdala_p.C.Brain(0.0139) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,Striatum,Striatum,263.844,0.26384399999999997,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Striatum_p.C.Brain(0.0698) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,Septum,Septum,36.666,0.036666,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Septum_p.C.Brain(0.0097) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,Thalamus,Thalamus,182.574,0.18257400000000001,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Thalamus_p.C.Brain(0.0483) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,Hypothalamus,Hypothalamus,89.964,0.089964,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Hypothalamus_p.C.Brain(0.0238) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,Cerebellum,Cerebellum,722.358,0.722358,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Cerebellum_p.C.Brain(0.1911) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,Tectum,Tectum,72.576,0.07257599999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Tectum_p.C.Brain(0.0192) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,Tegmentum,Tegmentum,165.186,0.165186,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Tegmentum_p.C.Brain(0.0437) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Bathyergus suillus,Bathyergus suillus,Medulla,Medulla oblongata,389.34,0.38933999999999996,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(3.78) x Medulla oblongata_p.C.Brain(0.103) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,OlfactoryBulb,Olfactory bulbs,39.269999999999996,0.03927,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Olfactory bulbs_p.C.Brain(0.0462) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,OlfactoryCortices,Olfactory cortices,52.87,0.05287,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Olfactory cortices_p.C.Brain(0.0622) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,Neocortex,Neocortex,194.73499999999999,0.194735,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Neocortex_p.C.Brain(0.2291) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,EntorhinalCortex,Entorhinal cortex,26.435,0.026435,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Entorhinal cortex_p.C.Brain(0.0311) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,Hippocampus,Hippocampus,62.305,0.062305,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Hippocampus_p.C.Brain(0.0733) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,Amygdala,Amygdala,14.535,0.014535,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Amygdala_p.C.Brain(0.0171) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,Striatum,Striatum,63.07,0.06307,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Striatum_p.C.Brain(0.0742) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,Septum,Septum,11.219999999999999,0.011219999999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Septum_p.C.Brain(0.0132) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,Thalamus,Thalamus,41.055,0.041055,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Thalamus_p.C.Brain(0.0483) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,Hypothalamus,Hypothalamus,26.52,0.02652,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Hypothalamus_p.C.Brain(0.0312) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,Cerebellum,Cerebellum,128.01000000000002,0.12801,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Cerebellum_p.C.Brain(0.1506) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,Tectum,Tectum,18.445,0.018445,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Tectum_p.C.Brain(0.0217) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,Tegmentum,Tegmentum,36.12500000000001,0.036125000000000004,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Tegmentum_p.C.Brain(0.0425) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus,Cryptomys hottentotus,Medulla,Medulla oblongata,83.895,0.083895,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.85) x Medulla oblongata_p.C.Brain(0.0987) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,OlfactoryBulb,Olfactory bulbs,58.28,0.05828,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Olfactory bulbs_p.C.Brain(0.047) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,OlfactoryCortices,Olfactory cortices,81.22,0.08122,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Olfactory cortices_p.C.Brain(0.0655) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,Neocortex,Neocortex,339.76,0.33976,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Neocortex_p.C.Brain(0.274) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,EntorhinalCortex,Entorhinal cortex,45.01199999999999,0.045011999999999996,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Entorhinal cortex_p.C.Brain(0.0363) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,Hippocampus,Hippocampus,84.19600000000001,0.08419600000000001,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Hippocampus_p.C.Brain(0.0679) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,Amygdala,Amygdala,20.708000000000002,0.020708,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Amygdala_p.C.Brain(0.0167) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,Striatum,Striatum,88.412,0.088412,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Striatum_p.C.Brain(0.0713) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,Septum,Septum,14.508000000000001,0.014508,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Septum_p.C.Brain(0.0117) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,Thalamus,Thalamus,57.164,0.057164,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Thalamus_p.C.Brain(0.0461) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,Hypothalamus,Hypothalamus,32.984,0.032984,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Hypothalamus_p.C.Brain(0.0266) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,Cerebellum,Cerebellum,184.388,0.184388,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Cerebellum_p.C.Brain(0.1487) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,Tectum,Tectum,24.924,0.024923999999999998,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Tectum_p.C.Brain(0.0201) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus natalensis,Cryptomys natalensis,Tegmentum,Tegmentum,44.019999999999996,0.04402,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Tegmentum_p.C.Brain(0.0355) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
