Species,Amygdala_Mass.mg,Cerebellum_Mass.mg,CerebralCortex_Mass.mg,EntorhinalCortex_Mass.mg,Hippocampus_Mass.mg,Hypothalamus_Mass.mg,Medulla_Mass.mg,Mesencephalon_Mass.mg,Neocortex_Mass.mg,OlfactoryBulb_Mass.mg,OlfactoryCortices_Mass.mg,RoB_Mass.mg,Septum_Mass.mg,SpinalCord_Mass.mg,Striatum_Mass.mg,Tectum_Mass.mg,Tegmentum_Mass.mg,Thalamus_Mass.mg
Amblysomus hottentotus,,84.0,439.0,,,,,,,,,289.0,,,,,,
Antidorcas marsupialis,,11458.0,68806.0,,,,,,,1200.0,,25810.0,,,,,,
Aotus trivirgatus,,1732.0,10617.0,,,,,,,50.0,,3104.0,,,,,,
Bathyergus suillus,52.541999999999994,722.358,,102.06,205.63199999999998,89.964,389.34,,1069.74,139.85999999999999,182.574,,36.666,,263.844,72.576,165.186,182.574
Blarina brevicauda,,37.0,197.0,,,,,,,26.0,,113.0,,,,,,
Callimico goeldii,,,12984.0,,,,,,,,,2086.0,,,,,,
Callithrix jacchus,,730.0,5561.0,,,,,,,8.0,,1489.0,,,,,,
Canis lupus familiaris,,7231.0,,,,,3838.5,1980.0,,1507.5,,,,13696.0,,,,
Cavia porcellus,,516.0,1938.0,,,,,,,103.0,,1218.0,,,,,,
Condylura cristata,,138.0,420.0,,,,,,,40.0,,244.0,,,,,,
Cryptomys hottentotus,14.535,128.01000000000002,,26.435,62.305,26.52,83.895,,194.73499999999999,39.269999999999996,52.87,,11.219999999999999,,63.07,18.445,36.12500000000001,41.055
Cryptomys hottentotus natalensis,20.708000000000002,184.388,,45.01199999999999,84.19600000000001,32.984,102.672,,339.76,58.28,81.22,,14.508000000000001,,88.412,24.924,44.019999999999996,57.164
Cryptomys hottentotus pretoriae,21.735,199.8,,48.599999999999994,100.71000000000001,35.1,127.03500000000001,,335.88,60.21000000000001,81.27,,15.66,,90.31500000000001,27.135,50.355000000000004,61.155
Damaliscus pygargus phillipsi,,13402.0,111310.0,,,,,,,,,30006.0,,,,,,
Dendrohyrax dorsalis,,1918.0,7560.0,,,,,,,,,3328.0,,,,,,
Elephantulus myurus,,168.0,471.0,,,,,,,50.0,,401.0,,,,,,
Felis catus,,3960.0,,,,,,,,,,,,,,,,
Fukomys anselli,27.000000000000004,209.0,,39.625,85.24999999999999,37.00000000000001,138.0,,304.5,57.875,74.625,,15.5,,87.50000000000001,33.25,62.5,63.875
Fukomys damarensis,23.490999999999996,212.66999999999996,,46.98199999999999,100.63600000000001,41.004999999999995,116.89899999999999,,329.569,62.27199999999999,93.547,,15.567999999999998,,108.28099999999999,28.216999999999995,59.352999999999994,67.83200000000001
Fukomys darlingi,17.343,165.558,,43.66499999999999,80.81099999999999,31.118999999999996,107.133,,288.558,46.248000000000005,82.04099999999998,,17.343,,105.288,26.199,48.461999999999996,53.751
Fukomys mechowii,36.334999999999994,407.42499999999995,,73.53,142.545,62.78,251.98,,652.095,79.33500000000001,138.02999999999997,,25.155,,205.97,42.355,85.57000000000001,120.83
Gallus gallus,,460.0,,,,,,,,,,,,,,,,
Georychus capensis,30.195,264.495,,56.76,120.78,52.8,160.545,,425.865,79.035,102.795,,22.439999999999998,,131.01,36.3,65.505,92.07
Giraffa camelopardalis,,67730.0,398808.0,,,,,,,2052.0,,70680.0,,,,,,
Gorilla gorilla,,37560.0,,,,,,,,,,,,,,,,
Heliophobius argenteocinereus,36.13499999999999,228.525,,59.73,122.09999999999998,44.879999999999995,128.04,,486.74999999999994,64.18499999999999,113.68499999999999,,19.139999999999997,,135.795,30.195,59.894999999999996,95.36999999999999
Heterocephalus glaber,12.716,48.0,184.0,15.180000000000001,33.44,17.776,49.764,,106.30400000000002,21.0,41.36,160.0,4.312,,30.492,10.208,20.328,24.904
Homo sapiens,,154020.0,1232930.0,,,,,,,,,117660.0,,,,,,
Hydrochoerus hydrochaeris,,6632.0,48175.0,,,,,,,1302.0,,19927.0,,,,,,
Loxodonta africana,,1171628.0,2847594.0,,,,,,,41886.0,,564674.0,,,,,,
Macaca fascicularis,,5642.0,36226.0,,,,,,,,,4294.0,,,,,,
Macaca mulatta,,7694.0,69832.0,,,,,,,88.0,,9204.0,,,,,,
Macaca radiata,,5748.0,48274.0,,,,,,,,,7448.0,,,,,,
Mesocricetus auratus,,145.0,446.0,,,,,,,55.0,,375.0,,,,,,
Microcebus murinus,,391.0,908.0,,,,,,,30.0,,500.0,,,,,,
Mus musculus,,56.0,173.0,,,,,,,14.0,,172.0,,,,,,
Oryctolagus cuniculus,,1396.5,4448.0,,,,,,,156.0,,3272.0,,,,,,
Otolemur garnettii,,1196.0,6290.0,,,,,,,200.0,,2131.0,,,,,,
Papio anubis,,15490.0,,,,,,,,,,,,,,,,
Papio cynocephalus,,13745.0,120214.0,,,,,,,,,17235.0,,,,,,
Parascalops breweri,,102.0,429.0,,,,,,,49.0,,228.0,,,,,,
Petrodromus tetradactylus,,304.0,1239.0,,,,,,,159.0,,894.0,,,,,,
Pongo pygmaeus,,35060.0,,,,,,,,,,,,,,,,
Procavia capensis,,2058.0,10478.0,,,,,,,286.0,,4317.0,,,,,,
Proechimys guyannensis,,330.0,924.0,,,,,,,132.0,,824.0,,,,,,
Rattus norvegicus,,272.0,769.0,,,,,,,74.0,,683.0,,,,,,
