Species_Dell2016	System	Nucleus	Protein	Measure_Type	Density	Density_Score	Density_Description
Phocoena phocoena	Catecholaminergic	Diffuse subcoeruleus (A7d)	Calbindin	Neurons	++	2	Moderate density
Phocoena phocoena	Catecholaminergic	Diffuse subcoeruleus (A7d)	Calbindin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Catecholaminergic	Diffuse subcoeruleus (A7d)	Calretinin	Neurons	+	1	Low density
Phocoena phocoena	Catecholaminergic	Diffuse subcoeruleus (A7d)	Calretinin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Catecholaminergic	Diffuse subcoeruleus (A7d)	Parvalbumin	Neurons	+	1	Low density
Phocoena phocoena	Catecholaminergic	Diffuse subcoeruleus (A7d)	Parvalbumin	Terminal_networks	+	1	Low density
Phocoena phocoena	Catecholaminergic	Diffuse locus coeruleus (A6d)	Calbindin	Neurons	++	2	Moderate density
Phocoena phocoena	Catecholaminergic	Diffuse locus coeruleus (A6d)	Calbindin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Catecholaminergic	Diffuse locus coeruleus (A6d)	Calretinin	Neurons	++	2	Moderate density
Phocoena phocoena	Catecholaminergic	Diffuse locus coeruleus (A6d)	Calretinin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Catecholaminergic	Diffuse locus coeruleus (A6d)	Parvalbumin	Neurons	+	1	Low density
Phocoena phocoena	Catecholaminergic	Diffuse locus coeruleus (A6d)	Parvalbumin	Terminal_networks	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, interfascicular (DRif)	Calbindin	Neurons	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, interfascicular (DRif)	Calbindin	Terminal_networks	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, interfascicular (DRif)	Calretinin	Neurons	-	0	Absent
Phocoena phocoena	Serotonergic	Dorsal raphe, interfascicular (DRif)	Calretinin	Terminal_networks	-	0	Absent
Phocoena phocoena	Serotonergic	Dorsal raphe, interfascicular (DRif)	Parvalbumin	Neurons	-	0	Absent
Phocoena phocoena	Serotonergic	Dorsal raphe, interfascicular (DRif)	Parvalbumin	Terminal_networks	-	0	Absent
Phocoena phocoena	Serotonergic	Dorsal raphe, ventral (DRv)	Calbindin	Neurons	++	2	Moderate density
Phocoena phocoena	Serotonergic	Dorsal raphe, ventral (DRv)	Calbindin	Terminal_networks	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, ventral (DRv)	Calretinin	Neurons	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, ventral (DRv)	Calretinin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Serotonergic	Dorsal raphe, ventral (DRv)	Parvalbumin	Neurons	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, ventral (DRv)	Parvalbumin	Terminal_networks	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, dorsal (DRd)	Calbindin	Neurons	++	2	Moderate density
Phocoena phocoena	Serotonergic	Dorsal raphe, dorsal (DRd)	Calbindin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Serotonergic	Dorsal raphe, dorsal (DRd)	Calretinin	Neurons	++	2	Moderate density
Phocoena phocoena	Serotonergic	Dorsal raphe, dorsal (DRd)	Calretinin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Serotonergic	Dorsal raphe, dorsal (DRd)	Parvalbumin	Neurons	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, dorsal (DRd)	Parvalbumin	Terminal_networks	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, lateral (DRl)	Calbindin	Neurons	++	2	Moderate density
Phocoena phocoena	Serotonergic	Dorsal raphe, lateral (DRl)	Calbindin	Terminal_networks	+++	3	High density
Phocoena phocoena	Serotonergic	Dorsal raphe, lateral (DRl)	Calretinin	Neurons	+++	3	High density
Phocoena phocoena	Serotonergic	Dorsal raphe, lateral (DRl)	Calretinin	Terminal_networks	+++	3	High density
Phocoena phocoena	Serotonergic	Dorsal raphe, lateral (DRl)	Parvalbumin	Neurons	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, lateral (DRl)	Parvalbumin	Terminal_networks	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, peripheral (DRp)	Calbindin	Neurons	+++	3	High density
Phocoena phocoena	Serotonergic	Dorsal raphe, peripheral (DRp)	Calbindin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Serotonergic	Dorsal raphe, peripheral (DRp)	Calretinin	Neurons	+++	3	High density
Phocoena phocoena	Serotonergic	Dorsal raphe, peripheral (DRp)	Calretinin	Terminal_networks	+++	3	High density
