"Species","Region","Peak_branching_complexity_mean","Peak_branching_complexity_SD","Basal_dendritic_field_area_1e4um2_mean","Basal_dendritic_field_area_1e4um2_SD","Max_spine_density_per_10um_mean","Max_spine_density_per_10um_SEM"
"Marmoset","Occipital",27.1,4.51,5.17,0.73,6.8,0.62
"Marmoset","Temporal",33.23,4.95,10.71,1.64,16.7,0.8
"Marmoset","Prefrontal",25.46,5.54,7.5,1.4,20.6,0.89
"Macaque","Occipital",21.46,5.47,4.39,1.07,7.3,0.53
"Macaque","Temporal",31.54,5.71,8.19,1.33,23.8,1.56
"Macaque","Prefrontal",32.36,4.41,13.3,1.99,24,0.85
"Human","Occipital",23.47,3.54,8.6,0.94,11.75,0.81
"Human","Temporal",30.9,5.08,15.35,3.12,32.1,1.6
"Human","Prefrontal",43.49,8.4,13.5,1.89,32.5,1.64
