"subnetwork_printed","animal_printed","species_sci","modality_printed","includes_other_areas","n_areas","n_edges","reference_printed","source"
"Tree shrew, visual","Tree shrew","Tupaia belangeri","visual",FALSE,8,22,"Lyon et al., 1998","Changizi_Shimojo_2005_Table3"
"Rat, visual","Rat","Rattus norvegicus","visual",FALSE,9,36,"Coogan and Burkhalter, 1993","Changizi_Shimojo_2005_Table3"
"Macaque, auditory","Macaque","Macaca mulatta","auditory",FALSE,13,56,"Hackett et al., 1998","Changizi_Shimojo_2005_Table3"
"Macaque, auditory","Macaque","Macaca mulatta","auditory",FALSE,16,95,"Young, 1993","Changizi_Shimojo_2005_Table3"
"Macaque, somato-motor","Macaque","Macaca mulatta","somato-motor",FALSE,17,100,"Young, 1993","Changizi_Shimojo_2005_Table3"
"Macaque, auditory +","Macaque","Macaca mulatta","auditory",TRUE,19,123,"Kaas and Hackett, 2000","Changizi_Shimojo_2005_Table3"
"Cat, auditory +","Cat","Felis catus","auditory",TRUE,20,153,"Scannell and Young, 1993","Changizi_Shimojo_2005_Table3"
"Cat, visual +","Cat","Felis catus","visual",TRUE,26,264,"Scannell and Young, 1993","Changizi_Shimojo_2005_Table3"
"Cat, somato-motor +","Cat","Felis catus","somato-motor",TRUE,27,348,"Scannell and Young, 1993","Changizi_Shimojo_2005_Table3"
"Macaque, visual","Macaque","Macaca mulatta","visual",FALSE,30,300,"Young, 1993","Changizi_Shimojo_2005_Table3"
