accepted_name,source_publication,variant_name
Soricidae sp.,Changizi2005,Shrew
"Soricidae sp.",Changizi2005,"Sorex, Blarina, Cryptotis"
Mus musculus,Changizi2005,Mouse
Mus musculus,Changizi2005,Mus musculus
Condylura cristata,Changizi2005,Star-mole
Condylura cristata,Changizi2005,Star-nosed mole
Condylura cristata,Changizi2005,Condylura cristata
Macroderma gigas,Changizi2005,Ghost bat
Macroderma gigas,Changizi2005,Macroderma gigas
Rattus norvegicus,Changizi2005,Rat
Rattus norvegicus,Changizi2005,Rattus rattus
Echinops telfairi,Changizi2005,Tenrec
Echinops telfairi,Changizi2005,Echinops telfairi
Tupaia belangeri,Changizi2005,Tree shrew
Tupaia belangeri,Changizi2005,Tupaia belangeri
Atelerix albiventris,Changizi2005,Hedgehog
Atelerix albiventris,Changizi2005,Atelerix albiventris
Dasyurus hallucatus,Changizi2005,Quoll
Dasyurus hallucatus,Changizi2005,Dasyurus hallucatus
Didelphis marsupialis,Changizi2005,Opossum
Didelphis marsupialis,Changizi2005,Didelphis marsupialis
Mustela putorius furo,Changizi2005,Ferret
Mustela putorius furo,Changizi2005,Mustela putorius
Sciurus carolinensis,Changizi2005,Squirrel
Sciurus carolinensis,Changizi2005,Sciurus carolinensis
Pteropus poliocephalus,Changizi2005,Flying fox
Pteropus poliocephalus,Changizi2005,Pteropus poliocephalus
Callithrix jacchus,Changizi2005,Marmoset
Callithrix jacchus,Changizi2005,Callithrix jacchus
Ornithorhynchus anatinus,Changizi2005,Platypus
Ornithorhynchus anatinus,Changizi2005,Ornithorhyncus anatinus
Tachyglossus aculeatus,Changizi2005,Echidna
Tachyglossus aculeatus,Changizi2005,Tachyglossus aculeatus
Aotus trivirgatus,Changizi2005,Owl monkey
Aotus trivirgatus,Changizi2005,Aotus
Felis catus,Changizi2005,Cat
Felis catus,Changizi2005,Felis domesticus
Macaca mulatta,Changizi2005,Macaque
Macaca mulatta,Changizi2005,Macaca
Galago senegalensis,Changizi2005,Bushbaby
Galago senegalensis,Changizi2005,Galago senegalensis
Saimiri sciureus,Changizi2005,Squirrel monkey
Saimiri sciureus,Changizi2005,Saimiri sciureus
