Code,Definition,Structure,Measure,Unit,role,taxon,Reference,Note,Source Note,footnote,actual_source,actual_source_citation,actual_source_repo_folder
species,Species name as printed in Table A1,,Species,,primary,Mammalia,Lewitus_etal_2013,Abbreviated names remain abbreviated; no taxonomic harmonisation,,,"n/a (key column, not a measurement)",,
brain_weight_g,Brain weight,Brain,Mass,g,secondary,Mammalia,Lewitus_etal_2013,Table footnote a: Stephan et al. 1981,,a,Stephan et al. 1981,"Stephan, H., Frahm, H., and Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol. 35, 1-29. doi:10.1159/000155963",Stephan_etal_1981
neuron_density_per_mm3,Neuron density,,Density,per mm3,secondary,Mammalia,Lewitus_etal_2013,Table footnote b: Lewitus et al. 2012; source paper Lewitus et al. 2012 (Evolution 66:2551) is NOT yet a folder in this repo,,b,Lewitus et al. 2012,"Lewitus, E., Hof, P. R., and Sherwood, C. C. (2012). Phylogenetic comparison of neuron and glia densities in the primary visual cortex and hippocampus of carnivores and primates. Evolution 66, 2551-2563. doi:10.1111/j.1558-5646.2012.01601.x",
astrocyte_density_per_mm3,Astrocyte density,,Density,per mm3,secondary,Mammalia,Lewitus_etal_2013,Table footnote b: Lewitus et al. 2012; source paper Lewitus et al. 2012 (Evolution 66:2551) is NOT yet a folder in this repo,,b,Lewitus et al. 2012,"Lewitus, E., Hof, P. R., and Sherwood, C. C. (2012). Phylogenetic comparison of neuron and glia densities in the primary visual cortex and hippocampus of carnivores and primates. Evolution 66, 2551-2563. doi:10.1111/j.1558-5646.2012.01601.x",
gray_matter_thickness_mm,Gray matter thickness,Gray matter,Thickness,mm,primary,Mammalia,Lewitus_etal_2013,Table footnote c: See Figure 5,,c,"Lewitus et al. 2013, Figure 5","This paper (Lewitus E, Kelava I, Huttner WB 2013, Front Hum Neurosci 7:424), Figure 5",Lewitus_etal_2013
ventricle_1_2_volume_mm3,Ventricle (1 and 2) volume,Ventricle 1 and 2,Volume,mm3,secondary,Mammalia,Lewitus_etal_2013,Table footnote a: Stephan et al. 1981,,a,Stephan et al. 1981,"Stephan, H., Frahm, H., and Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol. 35, 1-29. doi:10.1159/000155963",Stephan_etal_1981
GI,GI,,GI,,secondary,Mammalia,Lewitus_etal_2013,Table footnote d: Lewitus et al. 2013; abbreviation not expanded in Table A1,,d,Lewitus et al. 2013 (arXiv 1304.5412) = Lewitus et al. 2014,"Lewitus E, Kelava I, Kalinka AT, Tomancak P, Huttner WB (2014) An Adaptive Threshold in Mammalian Neocortical Evolution. PLoS Biol 12(11): e1002000. doi:10.1371/journal.pbio.1002000  [cited in Table A1 as the arXiv 1304.5412 preprint]",Lewitus_etal_2014
source,Dataset source,,Source,,primary,Mammalia,Lewitus_etal_2013,,,,"n/a (key column, not a measurement)",,
