Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,species binomial AS PUBLISHED,,Species,,primary,Monotremata + Marsupialia (comparison),Pirlot_Nelson_1978_TABLE3,"Table 3 covers platypus, echidna, and Didelphis marsupialis as a marsupial comparison point (not a monotreme)",
Neo,"Neocortex - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Neocortex,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
Scz,"Schizocortex - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Schizocortex,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
Hip,"Hippocampus - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Hippocampus,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
Sep,"Septum - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Septum,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
Pal,"Palaeocortex-amygdala complex - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Palaeocortex-amygdala complex,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
Bul,"Bulbus olfactorius - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Bulbus olfactorius,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
Str,"Striatum - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Striatum,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
Di,"Diencephalon - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Diencephalon,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
Mes,"Mesencephalon - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Mesencephalon,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
CbI,"Cerebellum - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Cerebellum,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
Med,"Medulla oblongata - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Medulla oblongata,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
Mesocortex,"Mesocortex - column order per Table 3 caption: 'neocortex, schizocortex, hippocampus, septum, paleocortex, bulbus olfactorius, striatum, diencephalon, mesencephalon, cerebellum, medulla oblongata and mesocortex' (p.174-175)",Mesocortex,volume,value mm3 + percent of total brain,primary,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,"reported only for Didelphis marsupialis, not the monotremes (p.176 caption + Table 3)",
source,registry item key,,,,provenance,Monotremata/Marsupialia,Pirlot_Nelson_1978_TABLE3,,
