class,order,family,genus,species,subspecies,common_name,synonymous_class,synonymous_order,synonymous_family,synonymous_genus,synonymous_species,synonymous_subspecies,synonymous_common_name,ref_name
Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,American alligator,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","de Magalhaes and Costa, 2009"
Reptilia,Crocodylia,Crocodylidae,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Ricklefs, 2010b"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","IUCN, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Lance, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Lance, 1989"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Thorbjarnarson and Wang, 2010"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Lance, 2003"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Lance, 2003"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Lance, 2003"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Seymour, 1979"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Seymour, 1979"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Seymour, 1979"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Werner and Griebeler, 2013"
Reptilia,-999,-999,Alligator,mississippensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Thorbjarnarson,  1996"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.",Reptile Incubation book
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.",Reptile Incubation book
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Birchard, G. and D. Marcellini, 1996"
Reptilia,-999,Alligatoridae,Alligator,mississippiensis,-999,American alligator,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Carey, J.R. and D.S. Judge, 2002"
Reptilia,-999,-999,Alligator,mississippiensis,-999,American alligator,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Carey, J.R. and D.S. Judge, 2002"
Reptilia,-999,-999,Alligator,mississippiensis,-999,American alligator,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Carey, J.R. and D.S. Judge, 2002"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Werner, J., 2010"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Lance, 1989"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Lance, 1989"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Elsey, R.M., Woodward, A.R., 2010"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Elsey, R.M., Woodward, A.R., 2010"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Elsey, R.M., Woodward, A.R., 2010"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Elsey, R.M., Woodward, A.R., 2010"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Werner, J., 2010"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Lance, 1989"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Lance, 1989"
Reptilia,-999,-999,Alligator,mississipiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Elsey, R.M., Woodward, A.R., 2010"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Behler, J.L., King, F.W., 1979"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Brazaitis, P., Watanabe, M., 2011"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Brazaitis, P., Watanabe, M., 2011"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Alderton, D., 1991"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Behler, J.L., King, F.W., 1979"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Brazaitis, P., Watanabe, M., 2011"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Brazaitis, P., Watanabe, M., 2011"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Brazaitis, P., Watanabe, M., 2011"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Alderton, D., 1991"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Alderton, D., 1991"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Behler, J.L., King, F.W., 1979"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Behler, J.L., King, F.W., 1979"
Reptilia,-999,-999,Alligator,mississippiensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,-999,"Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.","Brazaitis, P., Watanabe, M., 2011"
Reptilia,Crocodilia,Alligatoridae,Alligator,sinensis,-999,Chinese alligator,Reptilia,Crocodilia,Alligatoridae,Alligator,sinensis,-999,"Chinese alligator, T'o, Yow Lung, Yangtze alligator","de Magalhaes and Costa, 2009"
Reptilia,Crocodylia,Crocodylidae,Alligator,sinensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,sinensis,-999,"Chinese alligator, T'o, Yow Lung, Yangtze alligator","Ricklefs, 2010b"
Reptilia,-999,-999,Alligator,sinensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,sinensis,-999,"Chinese alligator, T'o, Yow Lung, Yangtze alligator","Isberg, S.R., Thomson, P.C., Nicholas, F.W. et al., 2005"
Reptilia,-999,-999,Alligator,sinensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,sinensis,-999,"Chinese alligator, T'o, Yow Lung, Yangtze alligator","Meng, W.Z., Wu, X.B., and L.S. Wu, 2008"
Reptilia,-999,-999,Alligator,sinensis,-999,-999,Reptilia,Crocodilia,Alligatoridae,Alligator,sinensis,-999,"Chinese alligator, T'o, Yow Lung, Yangtze alligator","Meng, W.Z., Wu, X.B., and L.S. Wu, 2008"
