Table note,Full reference,Peer-reviewed publication
*All data for adult.  ,,
"a Stephan et al., 1981.","Stephan, H., Frahm, H., and Baron,
G. (1981). New and revised data
on volumes of brain structures in
insectivores and primates. Folia
Primatol. 35, 1–29. doi: 10.1159/
000155963",
"b Lewitus et al., 2012. ","Lewitus, E., Hof, P. R., and Sherwood,
C. C. (2012). Phylogenetic comparison
of neuron and glia densities
in the primary visual cortex and
hippocampus of carnivores and primates.
Evolution 66, 2551–2563. doi:
10.1111/j.1558-5646.2012.01601.x",
c See Figure 5.,"FIGURE 5 | Gray matter cortical thickness varies with brain regions and
phylogeny. (A) Twelve brain region volumes and GM thickness presented in
a pie-chart matrix of positive (blue gradient) and negative (red gradient)
correlations. Note that all brain region volumes - except BBO, which is a
developmentally and functionally separate region - show very high (R2 > 0.8)
positive correlations, whereas cortical thickness is lowly (R2 < 0.4) correlated
with all brain region volumes. BBO, olfactory bulb; CRB, cerebellum; CT,
cortical thickness; DCP, diencephalon; HPC, hippocampus; LBP, piriform lobe;
MCP, mesencephalon;MDO, medulla oblongata; NHP, neurohypophysis;
NPL, neopallial; SPM, septum; STM, striatum; TCP, telencephalon. Volumetric
data from Stephan et al. (1981). (B) GM thickness is measured as the
average distance between layers I and VI (yellow bars) in a systematic
random sample of the neocortex. (C) A phylogenetic tree of 40 mammal
species (Bininda-Emonds et al. 2007) showing the distribution of brain weight
(log10 + 1) and GM thickness (log10 + 1) across species. GM thickness in all
species was measured with Fiji (Schindelin et al., 2012) on slides from
brainmuseum.org. See Lewitus et al. (2013) and Table A1 for
neuroanatomical data in (C).",
"d Lewitus et al., 2013. ","Lewitus, E., Kelava, I., Kalinka, A. T.,
Tomancak, P., and Huttner, W. B.
(2013). An adaptive threshold in
mammalian neocortical evolution.
arXiv 1304.5412.","Lewitus E, Kelava I, Kalinka AT, Tomancak P, Huttner WB (2014) An Adaptive Threshold in Mammalian Neocortical Evolution. PLoS Biol 12(11): e1002000.
doi:10.1371/journal.pbio.1002000"
