"Genus","procedure","paradigm","rank","note","source"
"Aotus",21,"reversal learning (RL)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Ateles",4,"patterned-string problems (PS)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Ateles",11,"object discrimination learning set (DL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Ateles",19,"reversal learning (RL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Callithrix",10,"object discrimination learning set (DL)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Callithrix",18,"reversal learning (RL)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Callithrix",30,"delayed response (DR)",4,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",3,"detour problems (DP)",4,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",4,"patterned-string problems (PS)",9,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",5,"invisible displacement (ID)",2.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
