Species,Variable,Value,Source,Team,Year,Pick
Solenodon paradoxus,Body_Mass.g,900,Stephan_etal_1981_TableI,Selected_collection,1981,1
Solenodon paradoxus,Brain_Mass.mg,4670,Stephan_etal_1981_TableI,Selected_collection,1981,1
Solenodon paradoxus,Ventricles_Vol.mm3,56.4,Stephan_etal_1981_TableI,Selected_collection,1981,1
Solenodon paradoxus,Total_brain_net_volume_Vol.mm3,4282,Stephan_etal_1981_TableI,Selected_collection,1981,1
Solenodon paradoxus,Medulla_oblongata_Vol.mm3,466,Stephan_etal_1981_TableI,Selected_collection,1981,1
Solenodon paradoxus,Cerebellum_Vol.mm3,753,Stephan_etal_1981_TableI,Selected_collection,1981,1
Solenodon paradoxus,Mesencephalon_Vol.mm3,206,Stephan_etal_1981_TableI,Selected_collection,1981,1
Solenodon paradoxus,Diencephalon_Vol.mm3,269,Stephan_etal_1981_TableI,Selected_collection,1981,1
Solenodon paradoxus,Telencephalon_Vol.mm3,2486,Stephan_etal_1981_TableI,Selected_collection,1981,1
Tenrec ecaudatus,Body_Mass.g,832,Stephan_etal_1981_TableI,Selected_collection,1981,1
Tenrec ecaudatus,Brain_Mass.mg,2570,Stephan_etal_1981_TableI,Selected_collection,1981,1
Tenrec ecaudatus,Ventricles_Vol.mm3,65.3,Stephan_etal_1981_TableI,Selected_collection,1981,1
Tenrec ecaudatus,Total_brain_net_volume_Vol.mm3,2315,Stephan_etal_1981_TableI,Selected_collection,1981,1
Tenrec ecaudatus,Medulla_oblongata_Vol.mm3,313,Stephan_etal_1981_TableI,Selected_collection,1981,1
Tenrec ecaudatus,Cerebellum_Vol.mm3,309,Stephan_etal_1981_TableI,Selected_collection,1981,1
Tenrec ecaudatus,Mesencephalon_Vol.mm3,132,Stephan_etal_1981_TableI,Selected_collection,1981,1
Tenrec ecaudatus,Diencephalon_Vol.mm3,153,Stephan_etal_1981_TableI,Selected_collection,1981,1
Tenrec ecaudatus,Telencephalon_Vol.mm3,1407,Stephan_etal_1981_TableI,Selected_collection,1981,1
Setifer setosus,Body_Mass.g,248,Stephan_etal_1981_TableI,Selected_collection,1981,1
Setifer setosus,Brain_Mass.mg,1510,Stephan_etal_1981_TableI,Selected_collection,1981,1
Setifer setosus,Ventricles_Vol.mm3,21.3,Stephan_etal_1981_TableI,Selected_collection,1981,1
Setifer setosus,Total_brain_net_volume_Vol.mm3,1404,Stephan_etal_1981_TableI,Selected_collection,1981,1
Setifer setosus,Medulla_oblongata_Vol.mm3,183,Stephan_etal_1981_TableI,Selected_collection,1981,1
Setifer setosus,Cerebellum_Vol.mm3,142,Stephan_etal_1981_TableI,Selected_collection,1981,1
Setifer setosus,Mesencephalon_Vol.mm3,75.7,Stephan_etal_1981_TableI,Selected_collection,1981,1
Setifer setosus,Diencephalon_Vol.mm3,99.7,Stephan_etal_1981_TableI,Selected_collection,1981,1
Setifer setosus,Telencephalon_Vol.mm3,903,Stephan_etal_1981_TableI,Selected_collection,1981,1
Hemicentetes semispinosus,Body_Mass.g,110,Stephan_etal_1981_TableI,Selected_collection,1981,1
Hemicentetes semispinosus,Brain_Mass.mg,830,Stephan_etal_1981_TableI,Selected_collection,1981,1
Hemicentetes semispinosus,Ventricles_Vol.mm3,15.5,Stephan_etal_1981_TableI,Selected_collection,1981,1
Hemicentetes semispinosus,Total_brain_net_volume_Vol.mm3,757,Stephan_etal_1981_TableI,Selected_collection,1981,1
Hemicentetes semispinosus,Medulla_oblongata_Vol.mm3,108,Stephan_etal_1981_TableI,Selected_collection,1981,1
Hemicentetes semispinosus,Cerebellum_Vol.mm3,117,Stephan_etal_1981_TableI,Selected_collection,1981,1
Hemicentetes semispinosus,Mesencephalon_Vol.mm3,44.8,Stephan_etal_1981_TableI,Selected_collection,1981,1
Hemicentetes semispinosus,Diencephalon_Vol.mm3,48.5,Stephan_etal_1981_TableI,Selected_collection,1981,1
Hemicentetes semispinosus,Telencephalon_Vol.mm3,438,Stephan_etal_1981_TableI,Selected_collection,1981,1
Echinops telfairi,Body_Mass.g,87.5,Stephan_etal_1981_TableI,Selected_collection,1981,1
Echinops telfairi,Brain_Mass.mg,620,Stephan_etal_1981_TableI,Selected_collection,1981,1
Echinops telfairi,Ventricles_Vol.mm3,8.34,Stephan_etal_1981_TableI,Selected_collection,1981,1
Echinops telfairi,Total_brain_net_volume_Vol.mm3,566,Stephan_etal_1981_TableI,Selected_collection,1981,1
Echinops telfairi,Medulla_oblongata_Vol.mm3,89.9,Stephan_etal_1981_TableI,Selected_collection,1981,1
Echinops telfairi,Cerebellum_Vol.mm3,57.9,Stephan_etal_1981_TableI,Selected_collection,1981,1
Echinops telfairi,Mesencephalon_Vol.mm3,43.8,Stephan_etal_1981_TableI,Selected_collection,1981,1
Echinops telfairi,Diencephalon_Vol.mm3,40.1,Stephan_etal_1981_TableI,Selected_collection,1981,1
Echinops telfairi,Telencephalon_Vol.mm3,335,Stephan_etal_1981_TableI,Selected_collection,1981,1
Oryzorictes hova,Body_Mass.g,44.2,Stephan_etal_1981_TableI,Selected_collection,1981,1
Oryzorictes hova,Brain_Mass.mg,580,Stephan_etal_1981_TableI,Selected_collection,1981,1
Oryzorictes hova,Ventricles_Vol.mm3,4.83,Stephan_etal_1981_TableI,Selected_collection,1981,1
Oryzorictes hova,Total_brain_net_volume_Vol.mm3,538,Stephan_etal_1981_TableI,Selected_collection,1981,1
Oryzorictes hova,Medulla_oblongata_Vol.mm3,61,Stephan_etal_1981_TableI,Selected_collection,1981,1
Oryzorictes hova,Cerebellum_Vol.mm3,81.3,Stephan_etal_1981_TableI,Selected_collection,1981,1
Oryzorictes hova,Mesencephalon_Vol.mm3,26.6,Stephan_etal_1981_TableI,Selected_collection,1981,1
Oryzorictes hova,Diencephalon_Vol.mm3,36.9,Stephan_etal_1981_TableI,Selected_collection,1981,1
Oryzorictes hova,Telencephalon_Vol.mm3,332,Stephan_etal_1981_TableI,Selected_collection,1981,1
Microgale cowani,Body_Mass.g,15.2,Stephan_etal_1981_TableI,Selected_collection,1981,1
Microgale cowani,Brain_Mass.mg,420,Stephan_etal_1981_TableI,Selected_collection,1981,1
Microgale cowani,Ventricles_Vol.mm3,7.12,Stephan_etal_1981_TableI,Selected_collection,1981,1
Microgale cowani,Total_brain_net_volume_Vol.mm3,392,Stephan_etal_1981_TableI,Selected_collection,1981,1
Microgale cowani,Medulla_oblongata_Vol.mm3,45.3,Stephan_etal_1981_TableI,Selected_collection,1981,1
Microgale cowani,Cerebellum_Vol.mm3,49.5,Stephan_etal_1981_TableI,Selected_collection,1981,1
Microgale cowani,Mesencephalon_Vol.mm3,24,Stephan_etal_1981_TableI,Selected_collection,1981,1
Microgale cowani,Diencephalon_Vol.mm3,25.4,Stephan_etal_1981_TableI,Selected_collection,1981,1
Microgale cowani,Telencephalon_Vol.mm3,248,Stephan_etal_1981_TableI,Selected_collection,1981,1
Microgale mergulus,Body_Mass.g,92,Stephan_etal_1981_TableI,Selected_collection,1981,1
