Species_Name,n_sources,Sources
A. l. occidentalis,1,Matano__1986_TableI
Alouatta caraya,1,Bauernfeind_etal_2013_Table1
Alouatta seniculus,14,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Aotus trivirgatus,13,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Atelerix algirus,5,Frahm_etal_1982_Table2; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1
Ateles geoffroyi,14,Bauernfeind_etal_2013_Table1; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Ateles paniscus,1,MacLeod_etal_2003_Table2
Avahi laniger,9,Frahm_etal_1984_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Avahi laniger laniger,1,Matano__1986_TableI
Avahi occidentalis,13,Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
C. medius,1,Matano__1986_TableI
C. mitis,1,Matano__1986_TableI
Callicebus moloch,9,Frahm_etal_1984_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Callimico goeldii,3,Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1988_TABLE1
Callithrix jacchus,12,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Callithrix pygmaea,9,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1988_TABLE1
Cebuella pygmaea,2,Bauernfeind_etal_2013_Table1; Matano__1986_TableI
Cebus albifrons,16,Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Cebus sp.,1,MacLeod_etal_2003_Table2
Cercocebus agilis,1,Bauernfeind_etal_2013_Table1
Cercocebus torquatus,1,MacLeod_etal_2003_Table1
Cercopithecus ascanius,16,deSousa_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Cercopithecus mitis,12,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1; Frahm_etal_1984_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Cercopithecus sp.,1,MacLeod_etal_2003_Table2
Cheirogaleus major,13,Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Cheirogaleus medius,10,Frahm_etal_1984_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Chrysochloris asiatica,3,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Chrysochloris stuhlmanni,3,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Colobus angolensis,2,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1
Crocidura flavescens,9,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1
Crocidura russula,9,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1
Daubentonia madagascariensis,12,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Desmana moschata,3,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Echinops telfairi,11,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Elephantulus fuscipes,3,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Erinaceus europaeus,9,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1
Erythrocebus patas,9,deSousa_etal_2013_Table1; MacLeod_etal_2003_Table2; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1988_TABLE1
Eulemur albifrons,1,Matano__1986_TableI
Eulemur fulvus,13,Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Galago senegalensis,10,Frahm_etal_1984_Table1; Matano__1986_TableI; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Galagoides demidoff,14,Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Galagoides demidovii,1,Matano__1986_TableI
Galemys pyrenaicus,3,Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableXIV
Gorilla gorilla,1,Matano__1986_TableI
Gorilla sp.,18,Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; deSousa_etal_2010_Table1; deSousa_etal_2013_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table1; MacLeod_etal_2003_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Hemicentetes semispinosus,10,Frahm_etal_1982_Table2; Matano_etal_1985_a_Table1; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Hemiechinus auritus,3,Frahm_etal_1982_Table2; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV
Homo sapiens,20,Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; deSousa_etal_2010_Table1; deSousa_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table1; MacLeod_etal_2003_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Smaers_etal_2017_TableS1part1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1988_TABLE1
Homo sapiens sapiens,1,Matano__1986_TableI
